Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Silkeborg Nordkredsen,1. Ans,Partiliste,Socialdemokratiet,260
Silkeborg Nordkredsen,1. Ans,Lars Fibæk,Socialdemokratiet,71
Silkeborg Nordkredsen,1. Ans,Anders Andreasen,Socialdemokratiet,5
Silkeborg Nordkredsen,1. Ans,Karin Gaardsted,Socialdemokratiet,11
Silkeborg Nordkredsen,1. Ans,Mogens Jensen,Socialdemokratiet,20
Silkeborg Nordkredsen,1. Ans,Thomas Jensen,Socialdemokratiet,91
Silkeborg Nordkredsen,1. Ans,Annette Lind,Socialdemokratiet,8
Silkeborg Nordkredsen,1. Ans,Tina Mortensen,Socialdemokratiet,2
Silkeborg Nordkredsen,1. Ans,Mette Nielsen,Socialdemokratiet,8
Silkeborg Nordkredsen,1. Ans,Anne Paulin,Socialdemokratiet,3
Silkeborg Nordkredsen,1. Ans,Peter Kempf Pedersen,Socialdemokratiet,1
Silkeborg Nordkredsen,1. Ans,Per Kamp Stefansen,Socialdemokratiet,0
Silkeborg Nordkredsen,1. Ans,Partiliste,Radikale Venstre,10
Silkeborg Nordkredsen,1. Ans,Signe Driefer,Radikale Venstre,2
Silkeborg Nordkredsen,1. Ans,Josefine Schlosser,Radikale Venstre,2
Silkeborg Nordkredsen,1. Ans,Kathrine Olldag,Radikale Venstre,4
Silkeborg Nordkredsen,1. Ans,Johan Brødsgaard,Radikale Venstre,9
Silkeborg Nordkredsen,1. Ans,Michael Flarup,Radikale Venstre,3
Silkeborg Nordkredsen,1. Ans,Keld Marstrand Wang,Radikale Venstre,0
Silkeborg Nordkredsen,1. Ans,Partiliste,Det Konservative Folkeparti,27
Silkeborg Nordkredsen,1. Ans,Søren Pape Poulsen,Det Konservative Folkeparti,127
Silkeborg Nordkredsen,1. Ans,Lise Bertelsen,Det Konservative Folkeparti,8
Silkeborg Nordkredsen,1. Ans,Mogens Birkelund,Det Konservative Folkeparti,0
Silkeborg Nordkredsen,1. Ans,Ole Gade,Det Konservative Folkeparti,1
Silkeborg Nordkredsen,1. Ans,Bitten Kvist Jakobsen,Det Konservative Folkeparti,1
Silkeborg Nordkredsen,1. Ans,Siff Tang Lassen,Det Konservative Folkeparti,0
Silkeborg Nordkredsen,1. Ans,Michael Norup,Det Konservative Folkeparti,1
