Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Silkeborg Sydkredsen,21. Balle,Partiliste,Socialdemokratiet,511
Silkeborg Sydkredsen,21. Balle,Thomas Jensen,Socialdemokratiet,361
Silkeborg Sydkredsen,21. Balle,Anders Andreasen,Socialdemokratiet,9
Silkeborg Sydkredsen,21. Balle,Lars Fibæk,Socialdemokratiet,3
Silkeborg Sydkredsen,21. Balle,Karin Gaardsted,Socialdemokratiet,7
Silkeborg Sydkredsen,21. Balle,Mogens Jensen,Socialdemokratiet,25
Silkeborg Sydkredsen,21. Balle,Annette Lind,Socialdemokratiet,14
Silkeborg Sydkredsen,21. Balle,Tina Mortensen,Socialdemokratiet,1
Silkeborg Sydkredsen,21. Balle,Mette Nielsen,Socialdemokratiet,8
Silkeborg Sydkredsen,21. Balle,Anne Paulin,Socialdemokratiet,9
Silkeborg Sydkredsen,21. Balle,Peter Kempf Pedersen,Socialdemokratiet,0
Silkeborg Sydkredsen,21. Balle,Per Kamp Stefansen,Socialdemokratiet,0
Silkeborg Sydkredsen,21. Balle,Partiliste,Radikale Venstre,49
Silkeborg Sydkredsen,21. Balle,Johan Brødsgaard,Radikale Venstre,42
Silkeborg Sydkredsen,21. Balle,Josefine Schlosser,Radikale Venstre,9
Silkeborg Sydkredsen,21. Balle,Kathrine Olldag,Radikale Venstre,8
Silkeborg Sydkredsen,21. Balle,Michael Flarup,Radikale Venstre,2
Silkeborg Sydkredsen,21. Balle,Signe Driefer,Radikale Venstre,2
Silkeborg Sydkredsen,21. Balle,Keld Marstrand Wang,Radikale Venstre,3
Silkeborg Sydkredsen,21. Balle,Partiliste,Det Konservative Folkeparti,82
Silkeborg Sydkredsen,21. Balle,Søren Pape Poulsen,Det Konservative Folkeparti,116
Silkeborg Sydkredsen,21. Balle,Lise Bertelsen,Det Konservative Folkeparti,9
Silkeborg Sydkredsen,21. Balle,Mogens Birkelund,Det Konservative Folkeparti,0
Silkeborg Sydkredsen,21. Balle,Ole Gade,Det Konservative Folkeparti,3
Silkeborg Sydkredsen,21. Balle,Bitten Kvist Jakobsen,Det Konservative Folkeparti,1
Silkeborg Sydkredsen,21. Balle,Siff Tang Lassen,Det Konservative Folkeparti,3
Silkeborg Sydkredsen,21. Balle,Michael Norup,Det Konservative Folkeparti,3
Silkeborg Sydkredsen,21. Balle,Lennart Qvist,Det Konservative Folkeparti,2
Silkeborg Sydkredsen,21. Balle,Dina Raabjerg,Det Konservative Folkeparti,3
Silkeborg Sydkredsen,21. Balle,Trine Trærup Roungkvist,Det Konservative Folkeparti,18
Silkeborg Sydkredsen,21. Balle,Gitte Willumsen,Det Konservative Folkeparti,47
Silkeborg Sydkredsen,21. Balle,Partiliste,Nye Borgerlige,63
Silkeborg Sydkredsen,21. Balle,Mogens Aaby,Nye Borgerlige,7
Silkeborg Sydkredsen,21. Balle,Allan Berg,Nye Borgerlige,0
Silkeborg Sydkredsen,21. Balle,Knud Nielsen,Nye Borgerlige,1
Silkeborg Sydkredsen,21. Balle,Hans Rytter,Nye Borgerlige,9
Silkeborg Sydkredsen,21. Balle,Tenna Røberg,Nye Borgerlige,0
Silkeborg Sydkredsen,21. Balle,Partiliste,SF - Socialistisk Folkeparti,172
Silkeborg Sydkredsen,21. Balle,Signe Munk,SF - Socialistisk Folkeparti,124
Silkeborg Sydkredsen,21. Balle,Karsten Filsø,SF - Socialistisk Folkeparti,0
Silkeborg Sydkredsen,21. Balle,Bente Refslund,SF - Socialistisk Folkeparti,28
Silkeborg Sydkredsen,21. Balle,Meritta Bjerregaard,SF - Socialistisk Folkeparti,2
Silkeborg Sydkredsen,21. Balle,Anders Bøge,SF - Socialistisk Folkeparti,1
Silkeborg Sydkredsen,21. Balle,Niels Kristian Larsen,SF - Socialistisk Folkeparti,4
Silkeborg Sydkredsen,21. Balle,Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,8
Silkeborg Sydkredsen,21. Balle,Partiliste,Liberal Alliance,291
Silkeborg Sydkredsen,21. Balle,Carsten Bach,Liberal Alliance,31
Silkeborg Sydkredsen,21. Balle,Lene Foged,Liberal Alliance,18
Silkeborg Sydkredsen,21. Balle,Ragnar Dixen,Liberal Alliance,19
Silkeborg Sydkredsen,21. Balle,Frederik Jacobsen,Liberal Alliance,2
Silkeborg Sydkredsen,21. Balle,Svend Stein Olsen,Liberal Alliance,2
Silkeborg Sydkredsen,21. Balle,Kennet R. Kolby,Liberal Alliance,0
Silkeborg Sydkredsen,21. Balle,Steffen Troldtoft,Liberal Alliance,1
Silkeborg Sydkredsen,21. Balle,Mikkel Rentzø,Liberal Alliance,1
Silkeborg Sydkredsen,21. Balle,Thorbjørn Jacobsen,Liberal Alliance,3
Silkeborg Sydkredsen,21. Balle,Helle Jensen,Liberal Alliance,6
Silkeborg Sydkredsen,21. Balle,Partiliste,KD - Kristendemokraterne,8
Silkeborg Sydkredsen,21. Balle,Marianne Karlsmose,KD - Kristendemokraterne,13
Silkeborg Sydkredsen,21. Balle,Marcus Sommerbirk,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,21. Balle,Jens Kr. Mølby Nielsen,KD - Kristendemokraterne,1
Silkeborg Sydkredsen,21. Balle,Jonas Røjkjær Laustsen,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,21. Balle,Per Asp,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,21. Balle,Steffen Markussen,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,21. Balle,Inge Jensen,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,21. Balle,Børge Rostgaard Winkel,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,21. Balle,Karen-Margrethe Lysholm,KD - Kristendemokraterne,1
Silkeborg Sydkredsen,21. Balle,Partiliste,Moderaterne,294
Silkeborg Sydkredsen,21. Balle,Jeppe Søe,Moderaterne,20
Silkeborg Sydkredsen,21. Balle,Nikolaj Gam-Pedersen,Moderaterne,66
Silkeborg Sydkredsen,21. Balle,Freya Luna Andersen,Moderaterne,11
Silkeborg Sydkredsen,21. Balle,Partiliste,Dansk Folkeparti,46
Silkeborg Sydkredsen,21. Balle,Kuno F. Danielsen,Dansk Folkeparti,20
Silkeborg Sydkredsen,21. Balle,Lone Langballe,Dansk Folkeparti,4
Silkeborg Sydkredsen,21. Balle,Majbritt Birkholm,Dansk Folkeparti,2
Silkeborg Sydkredsen,21. Balle,Mikael Jensen,Dansk Folkeparti,1
Silkeborg Sydkredsen,21. Balle,Jakob Kjærsgaard,Dansk Folkeparti,0
Silkeborg Sydkredsen,21. Balle,Erling Præstekjær,Dansk Folkeparti,1
Silkeborg Sydkredsen,21. Balle,Partiliste,Frie Grønne,5
Silkeborg Sydkredsen,21. Balle,Rishi Balachandran,Frie Grønne,3
Silkeborg Sydkredsen,21. Balle,Ida Lund-Larsen,Frie Grønne,1
Silkeborg Sydkredsen,21. Balle,Partiliste,"Venstre, Danmarks Liberale Parti",183
Silkeborg Sydkredsen,21. Balle,Jacob Vestergaard,"Venstre, Danmarks Liberale Parti",19
Silkeborg Sydkredsen,21. Balle,Ib Bjerregaard,"Venstre, Danmarks Liberale Parti",6
Silkeborg Sydkredsen,21. Balle,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",17
Silkeborg Sydkredsen,21. Balle,Ulrich Fredberg,"Venstre, Danmarks Liberale Parti",217
Silkeborg Sydkredsen,21. Balle,Mads Fuglede,"Venstre, Danmarks Liberale Parti",12
Silkeborg Sydkredsen,21. Balle,Søren Gade,"Venstre, Danmarks Liberale Parti",91
Silkeborg Sydkredsen,21. Balle,Lone Kastberg,"Venstre, Danmarks Liberale Parti",3
Silkeborg Sydkredsen,21. Balle,Carsten Kissmeyer,"Venstre, Danmarks Liberale Parti",16
Silkeborg Sydkredsen,21. Balle,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",32
Silkeborg Sydkredsen,21. Balle,Jarl Matthiesen,"Venstre, Danmarks Liberale Parti",0
Silkeborg Sydkredsen,21. Balle,Kenneth Mikkelsen,"Venstre, Danmarks Liberale Parti",5
Silkeborg Sydkredsen,21. Balle,Partiliste,Danmarksdemokraterne,203
Silkeborg Sydkredsen,21. Balle,Vivi Altenburg,Danmarksdemokraterne,6
Silkeborg Sydkredsen,21. Balle,Morten Vehl,Danmarksdemokraterne,19
Silkeborg Sydkredsen,21. Balle,Dennis Flydtkjær,Danmarksdemokraterne,14
Silkeborg Sydkredsen,21. Balle,Betina Kastbjerg,Danmarksdemokraterne,5
Silkeborg Sydkredsen,21. Balle,Partiliste,Enhedslisten - De Rød-Grønne,88
Silkeborg Sydkredsen,21. Balle,Maria Temponeras,Enhedslisten - De Rød-Grønne,9
Silkeborg Sydkredsen,21. Balle,Charlotte Lindberg,Enhedslisten - De Rød-Grønne,0
Silkeborg Sydkredsen,21. Balle,Christian I. Jacobsen,Enhedslisten - De Rød-Grønne,1
Silkeborg Sydkredsen,21. Balle,Per Møller Jacobsen,Enhedslisten - De Rød-Grønne,0
Silkeborg Sydkredsen,21. Balle,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,3
Silkeborg Sydkredsen,21. Balle,Peter Sig Kristensen,Enhedslisten - De Rød-Grønne,11
Silkeborg Sydkredsen,21. Balle,Frederik Madsen,Enhedslisten - De Rød-Grønne,0
Silkeborg Sydkredsen,21. Balle,Sabrina Christiansen Broch,Enhedslisten - De Rød-Grønne,8
Silkeborg Sydkredsen,21. Balle,Lars Dohn,Enhedslisten - De Rød-Grønne,0
Silkeborg Sydkredsen,21. Balle,Partiliste,Alternativet,53
Silkeborg Sydkredsen,21. Balle,Stine Isaksen,Alternativet,4
Silkeborg Sydkredsen,21. Balle,H.C. Molbech,Alternativet,4
Silkeborg Sydkredsen,21. Balle,Didde Krabbe Johannesen,Alternativet,2
Silkeborg Sydkredsen,21. Balle,Dorte Fløjgaard,Alternativet,2
Silkeborg Sydkredsen,21. Balle,Kirsten Hindbo,Alternativet,0
Silkeborg Sydkredsen,21. Balle,Jørn Grønkjær,Alternativet,2
Silkeborg Sydkredsen,21. Balle,Rasmus Foged,Alternativet,2
Silkeborg Sydkredsen,21. Balle,Lars Holstein,Alternativet,0
Silkeborg Sydkredsen,21. Balle,Karen Predbjørn Klarbæk,(Uden for parti),1
Silkeborg Sydkredsen,22. Bryrup,Partiliste,Socialdemokratiet,236
Silkeborg Sydkredsen,22. Bryrup,Thomas Jensen,Socialdemokratiet,80
Silkeborg Sydkredsen,22. Bryrup,Anders Andreasen,Socialdemokratiet,3
Silkeborg Sydkredsen,22. Bryrup,Lars Fibæk,Socialdemokratiet,0
Silkeborg Sydkredsen,22. Bryrup,Karin Gaardsted,Socialdemokratiet,2
Silkeborg Sydkredsen,22. Bryrup,Mogens Jensen,Socialdemokratiet,10
Silkeborg Sydkredsen,22. Bryrup,Annette Lind,Socialdemokratiet,4
Silkeborg Sydkredsen,22. Bryrup,Tina Mortensen,Socialdemokratiet,3
Silkeborg Sydkredsen,22. Bryrup,Mette Nielsen,Socialdemokratiet,6
Silkeborg Sydkredsen,22. Bryrup,Anne Paulin,Socialdemokratiet,2
Silkeborg Sydkredsen,22. Bryrup,Peter Kempf Pedersen,Socialdemokratiet,0
Silkeborg Sydkredsen,22. Bryrup,Per Kamp Stefansen,Socialdemokratiet,0
Silkeborg Sydkredsen,22. Bryrup,Partiliste,Radikale Venstre,14
Silkeborg Sydkredsen,22. Bryrup,Johan Brødsgaard,Radikale Venstre,10
Silkeborg Sydkredsen,22. Bryrup,Josefine Schlosser,Radikale Venstre,8
Silkeborg Sydkredsen,22. Bryrup,Kathrine Olldag,Radikale Venstre,5
Silkeborg Sydkredsen,22. Bryrup,Michael Flarup,Radikale Venstre,0
Silkeborg Sydkredsen,22. Bryrup,Signe Driefer,Radikale Venstre,0
Silkeborg Sydkredsen,22. Bryrup,Keld Marstrand Wang,Radikale Venstre,0
Silkeborg Sydkredsen,22. Bryrup,Partiliste,Det Konservative Folkeparti,20
Silkeborg Sydkredsen,22. Bryrup,Søren Pape Poulsen,Det Konservative Folkeparti,46
Silkeborg Sydkredsen,22. Bryrup,Lise Bertelsen,Det Konservative Folkeparti,1
Silkeborg Sydkredsen,22. Bryrup,Mogens Birkelund,Det Konservative Folkeparti,0
Silkeborg Sydkredsen,22. Bryrup,Ole Gade,Det Konservative Folkeparti,1
Silkeborg Sydkredsen,22. Bryrup,Bitten Kvist Jakobsen,Det Konservative Folkeparti,0
Silkeborg Sydkredsen,22. Bryrup,Siff Tang Lassen,Det Konservative Folkeparti,0
Silkeborg Sydkredsen,22. Bryrup,Michael Norup,Det Konservative Folkeparti,1
Silkeborg Sydkredsen,22. Bryrup,Lennart Qvist,Det Konservative Folkeparti,0
Silkeborg Sydkredsen,22. Bryrup,Dina Raabjerg,Det Konservative Folkeparti,1
Silkeborg Sydkredsen,22. Bryrup,Trine Trærup Roungkvist,Det Konservative Folkeparti,3
Silkeborg Sydkredsen,22. Bryrup,Gitte Willumsen,Det Konservative Folkeparti,6
Silkeborg Sydkredsen,22. Bryrup,Partiliste,Nye Borgerlige,46
Silkeborg Sydkredsen,22. Bryrup,Mogens Aaby,Nye Borgerlige,9
Silkeborg Sydkredsen,22. Bryrup,Allan Berg,Nye Borgerlige,1
Silkeborg Sydkredsen,22. Bryrup,Knud Nielsen,Nye Borgerlige,2
Silkeborg Sydkredsen,22. Bryrup,Hans Rytter,Nye Borgerlige,0
Silkeborg Sydkredsen,22. Bryrup,Tenna Røberg,Nye Borgerlige,4
Silkeborg Sydkredsen,22. Bryrup,Partiliste,SF - Socialistisk Folkeparti,68
Silkeborg Sydkredsen,22. Bryrup,Signe Munk,SF - Socialistisk Folkeparti,46
Silkeborg Sydkredsen,22. Bryrup,Karsten Filsø,SF - Socialistisk Folkeparti,1
Silkeborg Sydkredsen,22. Bryrup,Bente Refslund,SF - Socialistisk Folkeparti,5
Silkeborg Sydkredsen,22. Bryrup,Meritta Bjerregaard,SF - Socialistisk Folkeparti,0
Silkeborg Sydkredsen,22. Bryrup,Anders Bøge,SF - Socialistisk Folkeparti,1
Silkeborg Sydkredsen,22. Bryrup,Niels Kristian Larsen,SF - Socialistisk Folkeparti,0
Silkeborg Sydkredsen,22. Bryrup,Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,3
Silkeborg Sydkredsen,22. Bryrup,Partiliste,Liberal Alliance,72
Silkeborg Sydkredsen,22. Bryrup,Carsten Bach,Liberal Alliance,3
Silkeborg Sydkredsen,22. Bryrup,Lene Foged,Liberal Alliance,9
Silkeborg Sydkredsen,22. Bryrup,Ragnar Dixen,Liberal Alliance,6
Silkeborg Sydkredsen,22. Bryrup,Frederik Jacobsen,Liberal Alliance,1
Silkeborg Sydkredsen,22. Bryrup,Svend Stein Olsen,Liberal Alliance,1
Silkeborg Sydkredsen,22. Bryrup,Kennet R. Kolby,Liberal Alliance,0
Silkeborg Sydkredsen,22. Bryrup,Steffen Troldtoft,Liberal Alliance,0
Silkeborg Sydkredsen,22. Bryrup,Mikkel Rentzø,Liberal Alliance,0
Silkeborg Sydkredsen,22. Bryrup,Thorbjørn Jacobsen,Liberal Alliance,1
Silkeborg Sydkredsen,22. Bryrup,Helle Jensen,Liberal Alliance,2
Silkeborg Sydkredsen,22. Bryrup,Partiliste,KD - Kristendemokraterne,9
Silkeborg Sydkredsen,22. Bryrup,Marianne Karlsmose,KD - Kristendemokraterne,1
Silkeborg Sydkredsen,22. Bryrup,Marcus Sommerbirk,KD - Kristendemokraterne,1
Silkeborg Sydkredsen,22. Bryrup,Jens Kr. Mølby Nielsen,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,22. Bryrup,Jonas Røjkjær Laustsen,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,22. Bryrup,Per Asp,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,22. Bryrup,Steffen Markussen,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,22. Bryrup,Inge Jensen,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,22. Bryrup,Børge Rostgaard Winkel,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,22. Bryrup,Karen-Margrethe Lysholm,KD - Kristendemokraterne,0
Silkeborg Sydkredsen,22. Bryrup,Partiliste,Moderaterne,90
Silkeborg Sydkredsen,22. Bryrup,Jeppe Søe,Moderaterne,12
Silkeborg Sydkredsen,22. Bryrup,Nikolaj Gam-Pedersen,Moderaterne,14
Silkeborg Sydkredsen,22. Bryrup,Freya Luna Andersen,Moderaterne,6
Silkeborg Sydkredsen,22. Bryrup,Partiliste,Dansk Folkeparti,28
Silkeborg Sydkredsen,22. Bryrup,Kuno F. Danielsen,Dansk Folkeparti,4
Silkeborg Sydkredsen,22. Bryrup,Lone Langballe,Dansk Folkeparti,3
Silkeborg Sydkredsen,22. Bryrup,Majbritt Birkholm,Dansk Folkeparti,3
Silkeborg Sydkredsen,22. Bryrup,Mikael Jensen,Dansk Folkeparti,0
Silkeborg Sydkredsen,22. Bryrup,Jakob Kjærsgaard,Dansk Folkeparti,1
Silkeborg Sydkredsen,22. Bryrup,Erling Præstekjær,Dansk Folkeparti,0
Silkeborg Sydkredsen,22. Bryrup,Partiliste,Frie Grønne,3
Silkeborg Sydkredsen,22. Bryrup,Rishi Balachandran,Frie Grønne,0
Silkeborg Sydkredsen,22. Bryrup,Ida Lund-Larsen,Frie Grønne,1
Silkeborg Sydkredsen,22. Bryrup,Partiliste,"Venstre, Danmarks Liberale Parti",71
Silkeborg Sydkredsen,22. Bryrup,Jacob Vestergaard,"Venstre, Danmarks Liberale Parti",5
Silkeborg Sydkredsen,22. Bryrup,Ib Bjerregaard,"Venstre, Danmarks Liberale Parti",0
