Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Aarhus Østkredsen,10. DOKK1,Partiliste,Socialdemokratiet,513
Aarhus Østkredsen,10. DOKK1,Jens Joel,Socialdemokratiet,76
Aarhus Østkredsen,10. DOKK1,Camilla Fabricius,Socialdemokratiet,29
Aarhus Østkredsen,10. DOKK1,Dorthe Hindborg,Socialdemokratiet,9
Aarhus Østkredsen,10. DOKK1,Daniel Toft Jakobsen,Socialdemokratiet,12
Aarhus Østkredsen,10. DOKK1,Leif Lahn Jensen,Socialdemokratiet,9
Aarhus Østkredsen,10. DOKK1,Malte Larsen,Socialdemokratiet,2
Aarhus Østkredsen,10. DOKK1,Thomas Monberg,Socialdemokratiet,5
Aarhus Østkredsen,10. DOKK1,Thyge Risvig,Socialdemokratiet,0
Aarhus Østkredsen,10. DOKK1,Iben Sønderup,Socialdemokratiet,3
Aarhus Østkredsen,10. DOKK1,Anna Thusgård,Socialdemokratiet,61
Aarhus Østkredsen,10. DOKK1,Nicolai Wammen,Socialdemokratiet,108
Aarhus Østkredsen,10. DOKK1,Partiliste,Radikale Venstre,325
Aarhus Østkredsen,10. DOKK1,Andreas Steenberg,Radikale Venstre,53
Aarhus Østkredsen,10. DOKK1,Frederik Aagaard Sørensen,Radikale Venstre,35
Aarhus Østkredsen,10. DOKK1,Rune Christiansen,Radikale Venstre,15
Aarhus Østkredsen,10. DOKK1,Rebecca Marie Johansson,Radikale Venstre,18
Aarhus Østkredsen,10. DOKK1,Susan Kronborg,Radikale Venstre,17
Aarhus Østkredsen,10. DOKK1,Mia Nybo,Radikale Venstre,34
Aarhus Østkredsen,10. DOKK1,Katrine Robsøe,Radikale Venstre,178
Aarhus Østkredsen,10. DOKK1,Hanne Roed,Radikale Venstre,6
Aarhus Østkredsen,10. DOKK1,Partiliste,Det Konservative Folkeparti,165
Aarhus Østkredsen,10. DOKK1,Mona Juul,Det Konservative Folkeparti,43
Aarhus Østkredsen,10. DOKK1,Isabella Arendt,Det Konservative Folkeparti,9
Aarhus Østkredsen,10. DOKK1,Lotte Friis Böing,Det Konservative Folkeparti,5
Aarhus Østkredsen,10. DOKK1,Kristian Damsgaard,Det Konservative Folkeparti,5
Aarhus Østkredsen,10. DOKK1,Charlotte Green,Det Konservative Folkeparti,10
Aarhus Østkredsen,10. DOKK1,Frederikke Noa Jung,Det Konservative Folkeparti,0
Aarhus Østkredsen,10. DOKK1,Marcus Knuth,Det Konservative Folkeparti,14
Aarhus Østkredsen,10. DOKK1,Anders Krojgaard Lund,Det Konservative Folkeparti,7
Aarhus Østkredsen,10. DOKK1,Klaus Nyengaard,Det Konservative Folkeparti,4
Aarhus Østkredsen,10. DOKK1,Per Urban Olsen,Det Konservative Folkeparti,5
Aarhus Østkredsen,10. DOKK1,Heidi Printzen,Det Konservative Folkeparti,9
Aarhus Østkredsen,10. DOKK1,Søren Vanting,Det Konservative Folkeparti,0
Aarhus Østkredsen,10. DOKK1,Partiliste,Nye Borgerlige,35
Aarhus Østkredsen,10. DOKK1,Lars Boje Mathiesen,Nye Borgerlige,33
Aarhus Østkredsen,10. DOKK1,Jes Halfdan,Nye Borgerlige,2
Aarhus Østkredsen,10. DOKK1,Karina Kirk,Nye Borgerlige,0
Aarhus Østkredsen,10. DOKK1,Jens K. Lundager,Nye Borgerlige,0
Aarhus Østkredsen,10. DOKK1,Lars Axel Nielsen,Nye Borgerlige,0
Aarhus Østkredsen,10. DOKK1,Inger-Marie Tryde,Nye Borgerlige,1
Aarhus Østkredsen,10. DOKK1,Partiliste,SF - Socialistisk Folkeparti,473
Aarhus Østkredsen,10. DOKK1,Kirsten Normann Andersen,SF - Socialistisk Folkeparti,83
Aarhus Østkredsen,10. DOKK1,Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,16
Aarhus Østkredsen,10. DOKK1,Rasmus Nordqvist,SF - Socialistisk Folkeparti,17
Aarhus Østkredsen,10. DOKK1,Sofie Lippert,SF - Socialistisk Folkeparti,109
