Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Favrskovkredsen,1. Hadsten Nord,Partiliste,Socialdemokratiet,577
Favrskovkredsen,1. Hadsten Nord,Daniel Toft Jakobsen,Socialdemokratiet,124
Favrskovkredsen,1. Hadsten Nord,Camilla Fabricius,Socialdemokratiet,34
Favrskovkredsen,1. Hadsten Nord,Dorthe Hindborg,Socialdemokratiet,20
Favrskovkredsen,1. Hadsten Nord,Leif Lahn Jensen,Socialdemokratiet,24
Favrskovkredsen,1. Hadsten Nord,Jens Joel,Socialdemokratiet,34
Favrskovkredsen,1. Hadsten Nord,Malte Larsen,Socialdemokratiet,13
Favrskovkredsen,1. Hadsten Nord,Thomas Monberg,Socialdemokratiet,3
Favrskovkredsen,1. Hadsten Nord,Thyge Risvig,Socialdemokratiet,0
Favrskovkredsen,1. Hadsten Nord,Iben Sønderup,Socialdemokratiet,23
Favrskovkredsen,1. Hadsten Nord,Anna Thusgård,Socialdemokratiet,14
Favrskovkredsen,1. Hadsten Nord,Nicolai Wammen,Socialdemokratiet,137
Favrskovkredsen,1. Hadsten Nord,Partiliste,Radikale Venstre,73
Favrskovkredsen,1. Hadsten Nord,Hanne Roed,Radikale Venstre,18
Favrskovkredsen,1. Hadsten Nord,Andreas Steenberg,Radikale Venstre,14
Favrskovkredsen,1. Hadsten Nord,Frederik Aagaard Sørensen,Radikale Venstre,7
Favrskovkredsen,1. Hadsten Nord,Rune Christiansen,Radikale Venstre,10
Favrskovkredsen,1. Hadsten Nord,Rebecca Marie Johansson,Radikale Venstre,6
Favrskovkredsen,1. Hadsten Nord,Susan Kronborg,Radikale Venstre,5
Favrskovkredsen,1. Hadsten Nord,Mia Nybo,Radikale Venstre,7
Favrskovkredsen,1. Hadsten Nord,Katrine Robsøe,Radikale Venstre,11
Favrskovkredsen,1. Hadsten Nord,Partiliste,Det Konservative Folkeparti,84
Favrskovkredsen,1. Hadsten Nord,Charlotte Green,Det Konservative Folkeparti,64
Favrskovkredsen,1. Hadsten Nord,Isabella Arendt,Det Konservative Folkeparti,11
Favrskovkredsen,1. Hadsten Nord,Lotte Friis Böing,Det Konservative Folkeparti,12
Favrskovkredsen,1. Hadsten Nord,Kristian Damsgaard,Det Konservative Folkeparti,0
Favrskovkredsen,1. Hadsten Nord,Frederikke Noa Jung,Det Konservative Folkeparti,1
Favrskovkredsen,1. Hadsten Nord,Mona Juul,Det Konservative Folkeparti,12
Favrskovkredsen,1. Hadsten Nord,Marcus Knuth,Det Konservative Folkeparti,7
Favrskovkredsen,1. Hadsten Nord,Anders Krojgaard Lund,Det Konservative Folkeparti,1
Favrskovkredsen,1. Hadsten Nord,Klaus Nyengaard,Det Konservative Folkeparti,1
Favrskovkredsen,1. Hadsten Nord,Per Urban Olsen,Det Konservative Folkeparti,4
Favrskovkredsen,1. Hadsten Nord,Heidi Printzen,Det Konservative Folkeparti,1
Favrskovkredsen,1. Hadsten Nord,Søren Vanting,Det Konservative Folkeparti,0
Favrskovkredsen,1. Hadsten Nord,Partiliste,Nye Borgerlige,25
Favrskovkredsen,1. Hadsten Nord,Lars Boje Mathiesen,Nye Borgerlige,96
Favrskovkredsen,1. Hadsten Nord,Jes Halfdan,Nye Borgerlige,1
Favrskovkredsen,1. Hadsten Nord,Karina Kirk,Nye Borgerlige,0
Favrskovkredsen,1. Hadsten Nord,Jens K. Lundager,Nye Borgerlige,0
Favrskovkredsen,1. Hadsten Nord,Lars Axel Nielsen,Nye Borgerlige,1
Favrskovkredsen,1. Hadsten Nord,Inger-Marie Tryde,Nye Borgerlige,0
Favrskovkredsen,1. Hadsten Nord,Partiliste,SF - Socialistisk Folkeparti,136
Favrskovkredsen,1. Hadsten Nord,Kirsten Normann Andersen,SF - Socialistisk Folkeparti,54
Favrskovkredsen,1. Hadsten Nord,Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,19
Favrskovkredsen,1. Hadsten Nord,Rasmus Nordqvist,SF - Socialistisk Folkeparti,6
Favrskovkredsen,1. Hadsten Nord,Sofie Lippert,SF - Socialistisk Folkeparti,8
Favrskovkredsen,1. Hadsten Nord,Anna Brændemose,SF - Socialistisk Folkeparti,7
Favrskovkredsen,1. Hadsten Nord,Morten Siig Henriksen,SF - Socialistisk Folkeparti,6
Favrskovkredsen,1. Hadsten Nord,Charlotte Vindeløv,SF - Socialistisk Folkeparti,7
Favrskovkredsen,1. Hadsten Nord,Søren Lahn Sloth,SF - Socialistisk Folkeparti,8
Favrskovkredsen,1. Hadsten Nord,Partiliste,Liberal Alliance,34
Favrskovkredsen,1. Hadsten Nord,Alex Vanopslagh,Liberal Alliance,218
Favrskovkredsen,1. Hadsten Nord,Jens Meilvang,Liberal Alliance,7
Favrskovkredsen,1. Hadsten Nord,Louise Brown,Liberal Alliance,3
Favrskovkredsen,1. Hadsten Nord,Morten Kolbe Thomsen,Liberal Alliance,0
Favrskovkredsen,1. Hadsten Nord,Lisa Perkins,Liberal Alliance,3
Favrskovkredsen,1. Hadsten Nord,Nicolai Wang,Liberal Alliance,13
Favrskovkredsen,1. Hadsten Nord,Ditte Wedege,Liberal Alliance,1
Favrskovkredsen,1. Hadsten Nord,Line Brændgaard,Liberal Alliance,0
Favrskovkredsen,1. Hadsten Nord,Steffen Georg Jespersen,Liberal Alliance,0
Favrskovkredsen,1. Hadsten Nord,Kurt Vind Christiansen,Liberal Alliance,0
Favrskovkredsen,1. Hadsten Nord,Michael Valentin Ilsø,Liberal Alliance,0
Favrskovkredsen,1. Hadsten Nord,Partiliste,KD - Kristendemokraterne,5
Favrskovkredsen,1. Hadsten Nord,Henrik Hjortshøj,KD - Kristendemokraterne,0
Favrskovkredsen,1. Hadsten Nord,Nils-Erik Mulvad,KD - Kristendemokraterne,0
Favrskovkredsen,1. Hadsten Nord,Rolf Bjerre,KD - Kristendemokraterne,1
Favrskovkredsen,1. Hadsten Nord,Birgit Jakobsen,KD - Kristendemokraterne,1
