Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Partiliste,Socialdemokratiet,882
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Thyge Risvig,Socialdemokratiet,8
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Camilla Fabricius,Socialdemokratiet,32
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Dorthe Hindborg,Socialdemokratiet,12
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Daniel Toft Jakobsen,Socialdemokratiet,350
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Leif Lahn Jensen,Socialdemokratiet,7
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Jens Joel,Socialdemokratiet,8
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Malte Larsen,Socialdemokratiet,2
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Thomas Monberg,Socialdemokratiet,24
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Iben Sønderup,Socialdemokratiet,5
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Anna Thusgård,Socialdemokratiet,8
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Nicolai Wammen,Socialdemokratiet,73
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Partiliste,Radikale Venstre,72
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Rune Christiansen,Radikale Venstre,11
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Rebecca Marie Johansson,Radikale Venstre,2
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Susan Kronborg,Radikale Venstre,4
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Mia Nybo,Radikale Venstre,4
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Katrine Robsøe,Radikale Venstre,5
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Hanne Roed,Radikale Venstre,6
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Andreas Steenberg,Radikale Venstre,7
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Frederik Aagaard Sørensen,Radikale Venstre,4
Hedenstedkredsen,"1. Hedensted, St.Dalby Og Urlev",Partiliste,Det Konservative Folkeparti,162
