Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Horsenskredsen,1. Sønderbro,Partiliste,Socialdemokratiet,735
Horsenskredsen,1. Sønderbro,Thomas Monberg,Socialdemokratiet,420
Horsenskredsen,1. Sønderbro,Camilla Fabricius,Socialdemokratiet,26
Horsenskredsen,1. Sønderbro,Dorthe Hindborg,Socialdemokratiet,17
Horsenskredsen,1. Sønderbro,Daniel Toft Jakobsen,Socialdemokratiet,8
Horsenskredsen,1. Sønderbro,Leif Lahn Jensen,Socialdemokratiet,11
Horsenskredsen,1. Sønderbro,Jens Joel,Socialdemokratiet,10
Horsenskredsen,1. Sønderbro,Malte Larsen,Socialdemokratiet,5
Horsenskredsen,1. Sønderbro,Thyge Risvig,Socialdemokratiet,0
Horsenskredsen,1. Sønderbro,Iben Sønderup,Socialdemokratiet,4
Horsenskredsen,1. Sønderbro,Anna Thusgård,Socialdemokratiet,12
Horsenskredsen,1. Sønderbro,Nicolai Wammen,Socialdemokratiet,67
Horsenskredsen,1. Sønderbro,Partiliste,Radikale Venstre,50
Horsenskredsen,1. Sønderbro,Rune Christiansen,Radikale Venstre,6
Horsenskredsen,1. Sønderbro,Rebecca Marie Johansson,Radikale Venstre,2
Horsenskredsen,1. Sønderbro,Susan Kronborg,Radikale Venstre,3
Horsenskredsen,1. Sønderbro,Mia Nybo,Radikale Venstre,5
Horsenskredsen,1. Sønderbro,Katrine Robsøe,Radikale Venstre,3
Horsenskredsen,1. Sønderbro,Hanne Roed,Radikale Venstre,2
Horsenskredsen,1. Sønderbro,Andreas Steenberg,Radikale Venstre,3
Horsenskredsen,1. Sønderbro,Frederik Aagaard Sørensen,Radikale Venstre,0
Horsenskredsen,1. Sønderbro,Partiliste,Det Konservative Folkeparti,54
Horsenskredsen,1. Sønderbro,Anders Krojgaard Lund,Det Konservative Folkeparti,8
Horsenskredsen,1. Sønderbro,Isabella Arendt,Det Konservative Folkeparti,7
Horsenskredsen,1. Sønderbro,Lotte Friis Böing,Det Konservative Folkeparti,0
Horsenskredsen,1. Sønderbro,Kristian Damsgaard,Det Konservative Folkeparti,1
Horsenskredsen,1. Sønderbro,Charlotte Green,Det Konservative Folkeparti,1
Horsenskredsen,1. Sønderbro,Frederikke Noa Jung,Det Konservative Folkeparti,0
Horsenskredsen,1. Sønderbro,Mona Juul,Det Konservative Folkeparti,25
Horsenskredsen,1. Sønderbro,Marcus Knuth,Det Konservative Folkeparti,21
Horsenskredsen,1. Sønderbro,Klaus Nyengaard,Det Konservative Folkeparti,0
Horsenskredsen,1. Sønderbro,Per Urban Olsen,Det Konservative Folkeparti,0
Horsenskredsen,1. Sønderbro,Heidi Printzen,Det Konservative Folkeparti,1
Horsenskredsen,1. Sønderbro,Søren Vanting,Det Konservative Folkeparti,1
Horsenskredsen,1. Sønderbro,Partiliste,Nye Borgerlige,52
Horsenskredsen,1. Sønderbro,Lars Boje Mathiesen,Nye Borgerlige,99
Horsenskredsen,1. Sønderbro,Jes Halfdan,Nye Borgerlige,0
Horsenskredsen,1. Sønderbro,Karina Kirk,Nye Borgerlige,2
Horsenskredsen,1. Sønderbro,Jens K. Lundager,Nye Borgerlige,1
Horsenskredsen,1. Sønderbro,Lars Axel Nielsen,Nye Borgerlige,0
Horsenskredsen,1. Sønderbro,Inger-Marie Tryde,Nye Borgerlige,3
Horsenskredsen,1. Sønderbro,Partiliste,SF - Socialistisk Folkeparti,145
Horsenskredsen,1. Sønderbro,Kirsten Normann Andersen,SF - Socialistisk Folkeparti,33
Horsenskredsen,1. Sønderbro,Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,4
Horsenskredsen,1. Sønderbro,Rasmus Nordqvist,SF - Socialistisk Folkeparti,4
Horsenskredsen,1. Sønderbro,Sofie Lippert,SF - Socialistisk Folkeparti,6
Horsenskredsen,1. Sønderbro,Anna Brændemose,SF - Socialistisk Folkeparti,4
Horsenskredsen,1. Sønderbro,Morten Siig Henriksen,SF - Socialistisk Folkeparti,3
Horsenskredsen,1. Sønderbro,Charlotte Vindeløv,SF - Socialistisk Folkeparti,13
Horsenskredsen,1. Sønderbro,Søren Lahn Sloth,SF - Socialistisk Folkeparti,3
Horsenskredsen,1. Sønderbro,Partiliste,Liberal Alliance,46
Horsenskredsen,1. Sønderbro,Alex Vanopslagh,Liberal Alliance,218
Horsenskredsen,1. Sønderbro,Jens Meilvang,Liberal Alliance,0
