Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Skanderborgkredsen,1. Ejer Bavnehøj,Partiliste,Socialdemokratiet,212
Skanderborgkredsen,1. Ejer Bavnehøj,Dorthe Hindborg,Socialdemokratiet,45
Skanderborgkredsen,1. Ejer Bavnehøj,Camilla Fabricius,Socialdemokratiet,7
Skanderborgkredsen,1. Ejer Bavnehøj,Daniel Toft Jakobsen,Socialdemokratiet,4
Skanderborgkredsen,1. Ejer Bavnehøj,Leif Lahn Jensen,Socialdemokratiet,6
Skanderborgkredsen,1. Ejer Bavnehøj,Jens Joel,Socialdemokratiet,12
Skanderborgkredsen,1. Ejer Bavnehøj,Malte Larsen,Socialdemokratiet,2
Skanderborgkredsen,1. Ejer Bavnehøj,Thomas Monberg,Socialdemokratiet,4
Skanderborgkredsen,1. Ejer Bavnehøj,Thyge Risvig,Socialdemokratiet,0
Skanderborgkredsen,1. Ejer Bavnehøj,Iben Sønderup,Socialdemokratiet,1
Skanderborgkredsen,1. Ejer Bavnehøj,Anna Thusgård,Socialdemokratiet,6
Skanderborgkredsen,1. Ejer Bavnehøj,Nicolai Wammen,Socialdemokratiet,46
Skanderborgkredsen,1. Ejer Bavnehøj,Partiliste,Radikale Venstre,21
Skanderborgkredsen,1. Ejer Bavnehøj,Mia Nybo,Radikale Venstre,13
Skanderborgkredsen,1. Ejer Bavnehøj,Katrine Robsøe,Radikale Venstre,9
Skanderborgkredsen,1. Ejer Bavnehøj,Hanne Roed,Radikale Venstre,2
Skanderborgkredsen,1. Ejer Bavnehøj,Andreas Steenberg,Radikale Venstre,1
Skanderborgkredsen,1. Ejer Bavnehøj,Frederik Aagaard Sørensen,Radikale Venstre,0
Skanderborgkredsen,1. Ejer Bavnehøj,Rune Christiansen,Radikale Venstre,2
Skanderborgkredsen,1. Ejer Bavnehøj,Rebecca Marie Johansson,Radikale Venstre,4
Skanderborgkredsen,1. Ejer Bavnehøj,Susan Kronborg,Radikale Venstre,7
Skanderborgkredsen,1. Ejer Bavnehøj,Partiliste,Det Konservative Folkeparti,28
Skanderborgkredsen,1. Ejer Bavnehøj,Per Urban Olsen,Det Konservative Folkeparti,1
Skanderborgkredsen,1. Ejer Bavnehøj,Isabella Arendt,Det Konservative Folkeparti,6
Skanderborgkredsen,1. Ejer Bavnehøj,Lotte Friis Böing,Det Konservative Folkeparti,1
Skanderborgkredsen,1. Ejer Bavnehøj,Kristian Damsgaard,Det Konservative Folkeparti,0
Skanderborgkredsen,1. Ejer Bavnehøj,Charlotte Green,Det Konservative Folkeparti,1
Skanderborgkredsen,1. Ejer Bavnehøj,Frederikke Noa Jung,Det Konservative Folkeparti,2
Skanderborgkredsen,1. Ejer Bavnehøj,Mona Juul,Det Konservative Folkeparti,14
Skanderborgkredsen,1. Ejer Bavnehøj,Marcus Knuth,Det Konservative Folkeparti,7
Skanderborgkredsen,1. Ejer Bavnehøj,Anders Krojgaard Lund,Det Konservative Folkeparti,2
Skanderborgkredsen,1. Ejer Bavnehøj,Klaus Nyengaard,Det Konservative Folkeparti,0
Skanderborgkredsen,1. Ejer Bavnehøj,Heidi Printzen,Det Konservative Folkeparti,0
Skanderborgkredsen,1. Ejer Bavnehøj,Søren Vanting,Det Konservative Folkeparti,0
Skanderborgkredsen,1. Ejer Bavnehøj,Partiliste,Nye Borgerlige,25
Skanderborgkredsen,1. Ejer Bavnehøj,Lars Boje Mathiesen,Nye Borgerlige,65
Skanderborgkredsen,1. Ejer Bavnehøj,Karina Kirk,Nye Borgerlige,5
Skanderborgkredsen,1. Ejer Bavnehøj,Jes Halfdan,Nye Borgerlige,1
Skanderborgkredsen,1. Ejer Bavnehøj,Jens K. Lundager,Nye Borgerlige,0
Skanderborgkredsen,1. Ejer Bavnehøj,Lars Axel Nielsen,Nye Borgerlige,0
Skanderborgkredsen,1. Ejer Bavnehøj,Inger-Marie Tryde,Nye Borgerlige,0
Skanderborgkredsen,1. Ejer Bavnehøj,Partiliste,SF - Socialistisk Folkeparti,64
Skanderborgkredsen,1. Ejer Bavnehøj,Kirsten Normann Andersen,SF - Socialistisk Folkeparti,31
Skanderborgkredsen,1. Ejer Bavnehøj,Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,9
