Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
5031. Padborg;A;Socialdemokratiet;Listestemmer;243
5031. Padborg;A;Socialdemokratiet;Tove Larsen;115
5031. Padborg;A;Socialdemokratiet;Steen Valentin;0
5031. Padborg;A;Socialdemokratiet;Jens Egon Jørgensen;2
5031. Padborg;A;Socialdemokratiet;Villy Jakobsen;0
5031. Padborg;A;Socialdemokratiet;Christian Panbo;0
5031. Padborg;A;Socialdemokratiet;Inger Schäfer;1
5031. Padborg;A;Socialdemokratiet;Else Gehrke Hansen;0
5031. Padborg;A;Socialdemokratiet;Bernhard Kolb;0
5031. Padborg;A;Socialdemokratiet;Verner Schrøder;8
5031. Padborg;A;Socialdemokratiet;Viggo Johannsen;0
5031. Padborg;A;Socialdemokratiet;Jørgen Witte;0
5031. Padborg;A;Socialdemokratiet;Svend Hansen Tarp;3
5031. Padborg;A;Socialdemokratiet;Frede Rahr Petersen;0
5031. Padborg;A;Socialdemokratiet;Karsten Meyer Olesen;33
5031. Padborg;A;Socialdemokratiet;Kassem Rachid;2
5031. Padborg;A;Socialdemokratiet;Povl Kylling Petersen;0
5031. Padborg;A;Socialdemokratiet;Frede Bressen;0
5031. Padborg;A;Socialdemokratiet;Jan Toft Jensen;0
5031. Padborg;A;Socialdemokratiet;Peter Søgaard Olesen;7
5031. Padborg;A;Socialdemokratiet;Jan Thomsen;1
5031. Padborg;A;Socialdemokratiet;Torben Laursen;2
5031. Padborg;A;Socialdemokratiet;Perry Jørgensen;0
5031. Padborg;A;Socialdemokratiet;Asger S. Schmidt;0
5031. Padborg;A;Socialdemokratiet;Palle Bo Christensen;0
5031. Padborg;A;Socialdemokratiet;Hartvig Schøn;3
5031. Padborg;A;Socialdemokratiet;Poul Solberg Hansen;0
5031. Padborg;A;Socialdemokratiet;Jonna Holm;0
5031. Padborg;A;Socialdemokratiet;Helle Inkeri Fabricius;0
5031. Padborg;A;Socialdemokratiet;Villy Koch;0
5031. Padborg;A;Socialdemokratiet;Preben Johannsen;38
5031. Padborg;A;Socialdemokratiet;Jens E. Bendtsen;1
5031. Padborg;A;Socialdemokratiet;Angel Ottosen;1
5031. Padborg;B;Det Radikale Venstre;Listestemmer;11
5031. Padborg;B;Det Radikale Venstre;Per Kleis Bønnelycke, Bov;5
5031. Padborg;B;Det Radikale Venstre;Ulla Lendal, Aabenraa;2
5031. Padborg;B;Det Radikale Venstre;Ina Juhl, Tinglev;0
5031. Padborg;B;Det Radikale Venstre;Tue Petersen, Aabenraa;0
5031. Padborg;B;Det Radikale Venstre;Martin Asmussen Bugslag, Aabenraa;0
5031. Padborg;B;Det Radikale Venstre;Jørgen Søby Andersen, Bov;2
5031. Padborg;B;Det Radikale Venstre;Mikael Vinager, Bylderup-Bov;0
5031. Padborg;B;Det Radikale Venstre;Jes P. Asmussen, Aabenraa;0
