Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Listestemmer;477
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Henning G. Jensen, Aalborg;95
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Mai-Britt Iversen, Aalborg;4
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Thomas Kastrup-Larsen, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Sørn Nordhald, Hals;168
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Kristian Schnoor, Sejlflod;4
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Elin Møller, Nibe;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Kaj Poulsen, Aalborg;2
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Anna Kirsten Nielsen, Aalborg;1
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Jane Kempf Bertelsen, Aalborg;1
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Ib Rasmussen, Aalborg;2
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Helle Frederiksen, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Mette Ekstrøm, Aalborg;1
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Helle Lundgreen, Aalborg;1
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Inge Kjær, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Arne B. Schade, Aalborg;3
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Lars Bang Jensen, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Hans Henrik Henriksen, Nibe;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Michel Berg, Aalborg;3
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Brian Bøgh Eriksen, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Poul Erik Lyngdorf, Hals;122
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Arne Staun Sørensen, Nibe;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Sigvart Sigvartsen, Aalborg;3
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Arne Nielsen, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Tonny Kuno Carlsen, Sejlflod;1
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Danni Andersen, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Bente Fjordside, Aalborg;2
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Gunver Zinck Folmand, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Hans Chr. Christiansen, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Jens Chr. Lundsteen, Aalborg;0
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Brian Mortensen, Aalborg;1
8171. Gandrup-Ø. Hassing;A;Socialdemokratiet;Kjeld Kærgaard Jensen, Sejlflod;2
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Listestemmer;25
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Preben Pedersen;3
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Lise Lundgreen;1
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Pia Hesselvig;7
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Daniel Nyboe Andersen;0
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Birgit Rubak;0
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Kristian Molbo Jacobsen;0
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Ingo Pedersen;0
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Lars Thrane;0
8171. Gandrup-Ø. Hassing;B;Det Radikale Venstre;Pia Samsing Bendixen;3
