Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Tapeten;A;Socialdemokratiet;Listestemmer;321
1. Tapeten;A;Socialdemokratiet;Ove E. Dalsgaard;1008
1. Tapeten;A;Socialdemokratiet;Tom Schiermer Nielsen;21
1. Tapeten;A;Socialdemokratiet;Michael Krautwald-Rasmussen;21
1. Tapeten;A;Socialdemokratiet;Lolan Marianne Ottesen;70
1. Tapeten;A;Socialdemokratiet;Lene Wittus Nielsen;15
1. Tapeten;A;Socialdemokratiet;Helle Tiedemann;82
1. Tapeten;A;Socialdemokratiet;Henrik Bolberg;5
1. Tapeten;A;Socialdemokratiet;Jesper Würtzen;15
1. Tapeten;A;Socialdemokratiet;Inge Luiten;4
1. Tapeten;A;Socialdemokratiet;Grethe Larsen;186
1. Tapeten;A;Socialdemokratiet;Tine Landin;39
1. Tapeten;A;Socialdemokratiet;Claus Hall;6
1. Tapeten;A;Socialdemokratiet;Brian Lund Madsen;50
1. Tapeten;A;Socialdemokratiet;Arne Heilmann-Clausen;2
1. Tapeten;A;Socialdemokratiet;Doris Børger;18
1. Tapeten;A;Socialdemokratiet;Frank Schor Jørgensen;9
1. Tapeten;A;Socialdemokratiet;Jørn Larsen;20
1. Tapeten;A;Socialdemokratiet;Inger Christensen;11
1. Tapeten;A;Socialdemokratiet;Alex Zintel Jensen;3
1. Tapeten;A;Socialdemokratiet;Musse Sheikh Ahmed;20
1. Tapeten;A;Socialdemokratiet;Ulla Ingemann Jensen;3
1. Tapeten;A;Socialdemokratiet;Karsten Munk;2
1. Tapeten;A;Socialdemokratiet;Ley Plum;2
1. Tapeten;A;Socialdemokratiet;Jette Heitmann;8
1. Tapeten;A;Socialdemokratiet;Benny Zankel;8
1. Tapeten;A;Socialdemokratiet;Torben James Jensen;2
1. Tapeten;B;Det Radikale Venstre;Listestemmer;31
1. Tapeten;B;Det Radikale Venstre;Jørgen Bragge;6
1. Tapeten;B;Det Radikale Venstre;Jesper Vad;1
1. Tapeten;B;Det Radikale Venstre;Jan Brøns;2
1. Tapeten;B;Det Radikale Venstre;Flemming D. Christensen;0
1. Tapeten;B;Det Radikale Venstre;Solveig Kärk Nielsen;9
1. Tapeten;B;Det Radikale Venstre;Birgitte Enslev Jensen;8
1. Tapeten;C;Det Konservative Folkeparti;Listestemmer;57
1. Tapeten;C;Det Konservative Folkeparti;Birte Passer;77
