Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
5511. Billund;A;Socialdemokratiet;Listestemmer;726
5511. Billund;A;Socialdemokratiet;Kai Bayer, Grindsted;29
5511. Billund;A;Socialdemokratiet;Inger Donslund, Vorbasse;46
5511. Billund;A;Socialdemokratiet;Peter K. Hansen, Grindsted;1
5511. Billund;A;Socialdemokratiet;Frede Nørskov, Billund;154
5511. Billund;A;Socialdemokratiet;Marlene Thomsen, Sdr. Omme;0
5511. Billund;A;Socialdemokratiet;Arne V. Thomsen, Hejnsvig;0
5511. Billund;A;Socialdemokratiet;J. Rasiah, Grindsted;23
5511. Billund;A;Socialdemokratiet;Gitte Ottosen, Grindsted;8
5511. Billund;A;Socialdemokratiet;Kirsten Vagtholm, Billund;188
5511. Billund;A;Socialdemokratiet;Ole Marcussen, Grindsted;86
5511. Billund;A;Socialdemokratiet;Susanne Schmidt, Billund;31
5511. Billund;A;Socialdemokratiet;Sonja Lund, Grindsted;0
5511. Billund;A;Socialdemokratiet;Hans Jessen Andersen, Billund;30
5511. Billund;A;Socialdemokratiet;Flemming Kristensen, Vesterhede;2
5511. Billund;A;Socialdemokratiet;Helge Lauridsen, Sdr. Omme;1
5511. Billund;A;Socialdemokratiet;Flemming Andersen, Vorbasse;1
5511. Billund;A;Socialdemokratiet;Erik Holme Bertelsen, Grindsted;1
5511. Billund;A;Socialdemokratiet;René Jørgensen, Billund;7
5511. Billund;A;Socialdemokratiet;Brian Ågaard, Grindsted;0
5511. Billund;A;Socialdemokratiet;Else Marie Simonsen, St-Krogager;2
5511. Billund;A;Socialdemokratiet;Kurt Larsen, Grindsted;0
5511. Billund;A;Socialdemokratiet;Bodil Ølholm, Grindsted;0
5511. Billund;B;Det Radikale Venstre;Listestemmer;178
5511. Billund;B;Det Radikale Venstre;Henning Kristensen, Billund;80
5511. Billund;B;Det Radikale Venstre;Niels Kristian Refstrup, Billund;44
5511. Billund;B;Det Radikale Venstre;Hans Jørgen Skriver, Grindsted;2
5511. Billund;B;Det Radikale Venstre;Dawn Mortensen, Grindsted;3
5511. Billund;B;Det Radikale Venstre;Ulla Berg Bojesen, Billund;23
5511. Billund;B;Det Radikale Venstre;Henrik Jarl, Morsbøl;0
5511. Billund;B;Det Radikale Venstre;Per Børlum, Grindsted;0
5511. Billund;B;Det Radikale Venstre;Ulla Gudiksen, Sdr. Omme;0
5511. Billund;C;Det Konservative Folkeparti;Listestemmer;428
5511. Billund;C;Det Konservative Folkeparti;Jette Seidenschnur, Grindsted;55
5511. Billund;C;Det Konservative Folkeparti;Kim Gosvig Hansen, Billund;206
5511. Billund;C;Det Konservative Folkeparti;Hans Tüchsen, Sdr. Omme;2
5511. Billund;C;Det Konservative Folkeparti;Niels Helbo, Billund;86
5511. Billund;C;Det Konservative Folkeparti;Flemming Nissen, Filskov;0
5511. Billund;C;Det Konservative Folkeparti;Kåre Bruhn, Billund;21
5511. Billund;C;Det Konservative Folkeparti;Svend Højrup, Hejnsvig;1
5511. Billund;C;Det Konservative Folkeparti;Steen Reher, Billund;23
5511. Billund;C;Det Konservative Folkeparti;Allan Munk Nielsen, Grindsted;5
5511. Billund;C;Det Konservative Folkeparti;Bo Linnet, Sdr. Omme;2
5511. Billund;C;Det Konservative Folkeparti;Martin Jakobsen, Grindsted;0
5511. Billund;C;Det Konservative Folkeparti;Kurt Laursen, Grindsted;0
5511. Billund;I;Ny Politik - tak;Listestemmer;11
5511. Billund;I;Ny Politik - tak;Chresten H. Ibsen, Sdr. Omme;6
5511. Billund;K;Kristendemokraterne;Listestemmer;37
5511. Billund;K;Kristendemokraterne;Flemming Schrøder;8
5511. Billund;K;Kristendemokraterne;Ina Skov Christensen;9
5511. Billund;K;Kristendemokraterne;Bent Thybo Pedersen;2
5511. Billund;K;Kristendemokraterne;Aksel Berg Hansen;9
5511. Billund;O;Dansk Folkeparti;Listestemmer;163
5511. Billund;O;Dansk Folkeparti;Bjarne Jensen;47
5511. Billund;O;Dansk Folkeparti;Chr. Jørgensen;3
5511. Billund;O;Dansk Folkeparti;Ejner Terkelsen;0
5511. Billund;O;Dansk Folkeparti;Ketty Jensen;8
5511. Billund;O;Dansk Folkeparti;H. P. Thomsen;32
5511. Billund;V;Venstre Danmarks Liberale Parti;Listestemmer;1912
5511. Billund;V;Venstre Danmarks Liberale Parti;Ib Kristensen, Grindsted;71
5511. Billund;V;Venstre Danmarks Liberale Parti;Preben Jensen, Billund;1101
5511. Billund;V;Venstre Danmarks Liberale Parti;Poul Sloth, Grindsted;10
5511. Billund;V;Venstre Danmarks Liberale Parti;Søren Klausen, Grindsted;2
5511. Billund;V;Venstre Danmarks Liberale Parti;Klara Lyskjær Noer, Billund;167
5511. Billund;V;Venstre Danmarks Liberale Parti;Laurits Heick, Hejnsvig;3
5511. Billund;V;Venstre Danmarks Liberale Parti;Lotte Mortensen, Billund;136
5511. Billund;V;Venstre Danmarks Liberale Parti;Jørgen Clement, Sdr. Omme;0
5511. Billund;V;Venstre Danmarks Liberale Parti;Lona Linding, Krogager;1
5511. Billund;V;Venstre Danmarks Liberale Parti;Frits S. Kristensen, Vorbasse;1
5511. Billund;V;Venstre Danmarks Liberale Parti;Robert Terkelsen, Filskov;11
5511. Billund;V;Venstre Danmarks Liberale Parti;Ruth Lauridsen, Grindsted;3
5511. Billund;V;Venstre Danmarks Liberale Parti;Visti Lund-Jensen, Billund;59
5511. Billund;V;Venstre Danmarks Liberale Parti;Gudmund Larsen, Grindsted;5
5511. Billund;V;Venstre Danmarks Liberale Parti;Jens Dalgaard, Vorbasse;11
5511. Billund;V;Venstre Danmarks Liberale Parti;Majbrit Rasmussen, Hejnsvig;0
5511. Billund;V;Venstre Danmarks Liberale Parti;Lone Danielsen. Sdr. Omme;0
5511. Billund;V;Venstre Danmarks Liberale Parti;Jørgen Uth, Billund;108
5511. Billund;V;Venstre Danmarks Liberale Parti;Ivar Nørlund, Grindsted;5
5511. Billund;V;Venstre Danmarks Liberale Parti;Lars Hansen, Grindsted;3
5511. Billund;V;Venstre Danmarks Liberale Parti;Lars Thomsen, Billund;105
5511. Billund;V;Venstre Danmarks Liberale Parti;Leif Krarup, Grindsted;0
5511. Billund;V;Venstre Danmarks Liberale Parti;John Axelsen, Billund;5
5511. Billund;V;Venstre Danmarks Liberale Parti;Rita Baarsgaard Hansen, Grindsted;2
5511. Billund;V;Venstre Danmarks Liberale Parti;Laurids Lauridsen, Grindsted;1
5513. Vorbasse;A;Socialdemokratiet;Listestemmer;417
5513. Vorbasse;A;Socialdemokratiet;Kai Bayer, Grindsted;12
5513. Vorbasse;A;Socialdemokratiet;Inger Donslund, Vorbasse;278
5513. Vorbasse;A;Socialdemokratiet;Peter K. Hansen, Grindsted;1
5513. Vorbasse;A;Socialdemokratiet;Frede Nørskov, Billund;22
5513. Vorbasse;A;Socialdemokratiet;Marlene Thomsen, Sdr. Omme;1
5513. Vorbasse;A;Socialdemokratiet;Arne V. Thomsen, Hejnsvig;0
5513. Vorbasse;A;Socialdemokratiet;J. Rasiah, Grindsted;3
5513. Vorbasse;A;Socialdemokratiet;Gitte Ottosen, Grindsted;7
