Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
4231. Bogense;A;Socialdemokratiet;Listestemmer;1026
4231. Bogense;A;Socialdemokratiet;Erik Hansen, Særslev;540
4231. Bogense;A;Socialdemokratiet;Jørgen Simonsen, Roerslev;6
4231. Bogense;A;Socialdemokratiet;Arne Kruse, Bogense;151
4231. Bogense;A;Socialdemokratiet;Gert Rasmussen, Veflinge;6
4231. Bogense;A;Socialdemokratiet;Pia Elisa Longet, Otterup;3
4231. Bogense;A;Socialdemokratiet;Arne Bak, Bogense;30
4231. Bogense;A;Socialdemokratiet;Lene Thillemann, Søndersø;4
4231. Bogense;A;Socialdemokratiet;Klaus Hummelhoff, Lunde;1
4231. Bogense;A;Socialdemokratiet;Ulla Kristensen, Bogense;36
4231. Bogense;A;Socialdemokratiet;Keld Brødsgaard, Skamby;1
4231. Bogense;A;Socialdemokratiet;Poul H. Christensen, Agernæs;1
4231. Bogense;A;Socialdemokratiet;Kim Johansen, Bogense;75
4231. Bogense;A;Socialdemokratiet;John Harfeld, Søndersø;2
4231. Bogense;A;Socialdemokratiet;Ingmar Madsen, Otterup;2
4231. Bogense;A;Socialdemokratiet;Benno Frandsen, Bogense;48
4231. Bogense;A;Socialdemokratiet;Søren Schytte, Søndersø;1
4231. Bogense;A;Socialdemokratiet;Børge Nielsen, Otterup;3
4231. Bogense;A;Socialdemokratiet;Svenn Kopp Pedersen, Bogense;3
4231. Bogense;A;Socialdemokratiet;Torben Skovhus, Morud;0
4231. Bogense;A;Socialdemokratiet;Hanne Merete Rasmussen, Agernæs;0
4231. Bogense;A;Socialdemokratiet;Martin Birch, Harritslev;8
4231. Bogense;A;Socialdemokratiet;Mogens Jørgensen, Morud;0
4231. Bogense;A;Socialdemokratiet;Mette Pahuus Pedersen, Kappendrup;0
4231. Bogense;A;Socialdemokratiet;Viggo Andersen, Morud;0
4231. Bogense;A;Socialdemokratiet;Bodil Reffeldt, Bårdesø;0
4231. Bogense;A;Socialdemokratiet;Karen R. Petersen, Søndersø;7
4231. Bogense;B;Det Radikale Venstre;Listestemmer;86
4231. Bogense;B;Det Radikale Venstre;Hans-Chr. Rasmussen, Otterup;1
4231. Bogense;B;Det Radikale Venstre;Bo Jakobsen, Bogense;67
4231. Bogense;B;Det Radikale Venstre;Kasper Tofte, Søndersø;4
4231. Bogense;B;Det Radikale Venstre;Christian Lund Hansen, Otterup;1
4231. Bogense;B;Det Radikale Venstre;Ebbe Hansen, Otterup;0
