Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Brøndbyvester Skole;A;Socialdemokratiet;Listestemmer;214
1. Brøndbyvester Skole;A;Socialdemokratiet;Ib Terp;305
1. Brøndbyvester Skole;A;Socialdemokratiet;Eva Roed;142
1. Brøndbyvester Skole;A;Socialdemokratiet;Bente Lund Hansen;16
1. Brøndbyvester Skole;A;Socialdemokratiet;Arno Hurup Christiansen;24
1. Brøndbyvester Skole;A;Socialdemokratiet;Gert Raasdal;81
1. Brøndbyvester Skole;A;Socialdemokratiet;Franz Hansen;134
1. Brøndbyvester Skole;A;Socialdemokratiet;Anne-Mette Stampe;32
1. Brøndbyvester Skole;A;Socialdemokratiet;Annelise Petersen;12
1. Brøndbyvester Skole;A;Socialdemokratiet;Anne Hartvig;5
1. Brøndbyvester Skole;A;Socialdemokratiet;Johnny Johannessen;27
1. Brøndbyvester Skole;A;Socialdemokratiet;Aksel L. Borresen;8
1. Brøndbyvester Skole;A;Socialdemokratiet;Anne-Marie Rosenmai;3
1. Brøndbyvester Skole;A;Socialdemokratiet;Mette Aabrink;9
1. Brøndbyvester Skole;A;Socialdemokratiet;Per Arge;0
1. Brøndbyvester Skole;A;Socialdemokratiet;Vagn Mølgård;3
1. Brøndbyvester Skole;A;Socialdemokratiet;Henrik Jessen Petersen;56
1. Brøndbyvester Skole;A;Socialdemokratiet;Michael Buch Barnes;5
1. Brøndbyvester Skole;A;Socialdemokratiet;Diran Zanazanian;7
1. Brøndbyvester Skole;A;Socialdemokratiet;Flemming Larsen;1
1. Brøndbyvester Skole;A;Socialdemokratiet;Freddy Rasmussen;3
1. Brøndbyvester Skole;A;Socialdemokratiet;Preben Bansemer;1
1. Brøndbyvester Skole;B;Det Radikale Venstre;Listestemmer;46
1. Brøndbyvester Skole;B;Det Radikale Venstre;Michael Toft Schmidt;12
1. Brøndbyvester Skole;B;Det Radikale Venstre;Bo Palle Jensen;18
1. Brøndbyvester Skole;B;Det Radikale Venstre;Jakob Barfred;1
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Listestemmer;73
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Carsten B. Nielsen;27
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Jens Arnbjerg;24
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Jesper Svensson;2
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Ulla Ingwar;13
1. Brøndbyvester Skole;D;Centrum-Demokraterne;Listestemmer;0
1. Brøndbyvester Skole;D;Centrum-Demokraterne;Jørgen Christiansen;2
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;Listestemmer;70
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;Vagn Kjær-Hansen;29
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;Per Thomsen;7
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;Jihad Vallentin;9
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;Paul-Erik Schou;4
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;Jeannett Tankred;25
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;John Barber;0
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;Signe Abildå;16
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;Youssef Idiab;3
1. Brøndbyvester Skole;F;Socialistisk Folkeparti;Georg Sørensen;7
1. Brøndbyvester Skole;L;Lavere skatter og afgifter;Listestemmer;5
1. Brøndbyvester Skole;L;Lavere skatter og afgifter;Martin Tidsvilde;2
1. Brøndbyvester Skole;L;Lavere skatter og afgifter;Torben Sørensen;1
1. Brøndbyvester Skole;L;Lavere skatter og afgifter;Anders Pabst Jensen;0
1. Brøndbyvester Skole;O;Dansk Folkeparti;Listestemmer;149
1. Brøndbyvester Skole;O;Dansk Folkeparti;Tom Bech Fredriksen;70
1. Brøndbyvester Skole;O;Dansk Folkeparti;Inge-Lise Juel Hansen;34
1. Brøndbyvester Skole;O;Dansk Folkeparti;Carsten Horn;13
1. Brøndbyvester Skole;O;Dansk Folkeparti;Ole V. Hansen;3
1. Brøndbyvester Skole;O;Dansk Folkeparti;John Riff;4
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Listestemmer;194
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Carsten Thorsen;52
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Bente Ritter;77
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Michael Gatten;60
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Annie Hassenkam;4
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Jess Petersen;17
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Umar Javaid;1
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Anne Gjøl;2
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Frank Bavnild;25
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Poul Wegener Jensen;4
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Henrik Skovborg;5
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Solvejg Daugaard;2
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Birgitta Elgaard;16
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Lars Bak;1
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Helle Olsen;5
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Lottie Ardensø;1
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Bjørn Petersen;2
1. Brøndbyvester Skole;Å;Demokratiske Socialister;Listestemmer;5
1. Brøndbyvester Skole;Å;Demokratiske Socialister;Allan Nielsen;52
