Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
8071. Agersted;A;Socialdemokratiet;Listestemmer;94
8071. Agersted;A;Socialdemokratiet;Arne M. Jensen, Brønderslev;3
8071. Agersted;A;Socialdemokratiet;Peer Thisted, Hjallerup;21
8071. Agersted;A;Socialdemokratiet;Ole Jespersgaard, Ø. Brønderslev;3
8071. Agersted;A;Socialdemokratiet;Eskild Sloth Andersen, Hjallerup;5
8071. Agersted;A;Socialdemokratiet;Kurt Kristensen, Brønderslev;0
8071. Agersted;A;Socialdemokratiet;Marianne Jensen, Dronninglund;6
8071. Agersted;A;Socialdemokratiet;Knud Jørgensen, Brønderslev;0
8071. Agersted;A;Socialdemokratiet;Jette Ramskov, Dronninglund;12
8071. Agersted;A;Socialdemokratiet;Linda Larsen, Brønderslev;0
8071. Agersted;A;Socialdemokratiet;Steen Christensen, Klokkerholm;4
8071. Agersted;A;Socialdemokratiet;Adnan Jedon, Brønderslev;0
8071. Agersted;A;Socialdemokratiet;Jørgen Ingvardsen, Dronninglund;10
8071. Agersted;A;Socialdemokratiet;Johannes Trudslev Pedersen, Thise;0
8071. Agersted;A;Socialdemokratiet;Ole Bruun, Asaa;3
8071. Agersted;A;Socialdemokratiet;Anni Guldberg Madsen, Brønderslev;0
8071. Agersted;A;Socialdemokratiet;Bjarne Lykkenshede, Dronninglund;0
8071. Agersted;A;Socialdemokratiet;Jeppe Bisgaard, Brønderslev;0
8071. Agersted;A;Socialdemokratiet;Hermann Nielsen Raasted, Ørsø;5
8071. Agersted;A;Socialdemokratiet;Per Støve, Brønderslev;0
8071. Agersted;A;Socialdemokratiet;Allan Kjær Nielsen, Thorup;0
8071. Agersted;A;Socialdemokratiet;Jytte Sloth, Manna;0
8071. Agersted;A;Socialdemokratiet;Anders Munkholt Jensen, Brøndersle;1
8071. Agersted;A;Socialdemokratiet;Louis D. V. Jensen, Brønderslev;0
8071. Agersted;A;Socialdemokratiet;Lene Søndergaard, Klæstrup;0
8071. Agersted;A;Socialdemokratiet;Bo Larsen, Serritslev;0
8071. Agersted;A;Socialdemokratiet;Gert Henriksen, Brønderslev;0
8071. Agersted;B;Det Radikale Venstre;Listestemmer;3
8071. Agersted;B;Det Radikale Venstre;Hanne Svensmark, Jerslev;1
8071. Agersted;B;Det Radikale Venstre;Lars Schönberg-Hemme, Koushede;0
8071. Agersted;B;Det Radikale Venstre;Dorte Wittrup Andersen,Brønderslev;0
8071. Agersted;B;Det Radikale Venstre;Per Nielsen, Brønderslev;0
8071. Agersted;B;Det Radikale Venstre;Finn Rosenkilde Hansen, Sterup;0
