Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Jægersborg;A;Socialdemokratiet;Listestemmer;127
1. Jægersborg;A;Socialdemokratiet;Peter Valenius;48
1. Jægersborg;A;Socialdemokratiet;Søren B.Heisel;50
1. Jægersborg;A;Socialdemokratiet;Irene Lütken;51
1. Jægersborg;A;Socialdemokratiet;Wind Nielsen;1
1. Jægersborg;A;Socialdemokratiet;Bent Jakobsen Randbøll;3
1. Jægersborg;A;Socialdemokratiet;Anne Hjorth;11
1. Jægersborg;A;Socialdemokratiet;Leif Erritsø Nielsen;3
1. Jægersborg;A;Socialdemokratiet;Thomas Ellegaard;6
1. Jægersborg;A;Socialdemokratiet;Gitte H.Terndrup;4
1. Jægersborg;A;Socialdemokratiet;Ann Lehmann Erichsen;2
1. Jægersborg;A;Socialdemokratiet;Anne Kathrine Lang;6
1. Jægersborg;A;Socialdemokratiet;Tony Schapiro;0
1. Jægersborg;A;Socialdemokratiet;Uffe Rosenfeldt;1
1. Jægersborg;B;Det Radikale Venstre;Listestemmer;170
1. Jægersborg;B;Det Radikale Venstre;John Philip;125
1. Jægersborg;B;Det Radikale Venstre;Carsten Lambrecht;8
1. Jægersborg;B;Det Radikale Venstre;Rasmus Christensen;10
1. Jægersborg;B;Det Radikale Venstre;Eva Hvidt;26
1. Jægersborg;B;Det Radikale Venstre;Sigurd Diamant;1
1. Jægersborg;B;Det Radikale Venstre;Stine Byskov;6
1. Jægersborg;B;Det Radikale Venstre;Axel Beck;2
1. Jægersborg;B;Det Radikale Venstre;Jens Rikardt Andersen;3
1. Jægersborg;B;Det Radikale Venstre;Torben Jacobsen;2
1. Jægersborg;B;Det Radikale Venstre;Martin Miehe-Renard;10
1. Jægersborg;B;Det Radikale Venstre;Torben Nielsen;0
1. Jægersborg;B;Det Radikale Venstre;Lise Lauritzen Loft;5
1. Jægersborg;B;Det Radikale Venstre;Signe Enemark Olsen;0
1. Jægersborg;B;Det Radikale Venstre;Lauge Stetting;0
1. Jægersborg;B;Det Radikale Venstre;Carl Henrik Brogren;0
1. Jægersborg;B;Det Radikale Venstre;Anders Holbøll;2
1. Jægersborg;B;Det Radikale Venstre;Karen Hjort;1
1. Jægersborg;B;Det Radikale Venstre;Jacob Erle;1
