Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Bagsværd;A;Socialdemokratiet;Listestemmer;350
1. Bagsværd;A;Socialdemokratiet;Karin Søjberg Holst;468
1. Bagsværd;A;Socialdemokratiet;Trine Græse;32
1. Bagsværd;A;Socialdemokratiet;Mette Marie Schmidt;9
1. Bagsværd;A;Socialdemokratiet;Katrine Skov;35
1. Bagsværd;A;Socialdemokratiet;Peter Nielsen;23
1. Bagsværd;A;Socialdemokratiet;Tom Vang Knudsen;8
1. Bagsværd;A;Socialdemokratiet;Erling Schrøder;27
1. Bagsværd;A;Socialdemokratiet;John Brown B. Althoff-Andersen;17
1. Bagsværd;A;Socialdemokratiet;Lars Poulsen;37
1. Bagsværd;A;Socialdemokratiet;Jens Thind-Andersen;8
1. Bagsværd;A;Socialdemokratiet;Kristine Henriksen;8
1. Bagsværd;A;Socialdemokratiet;Khuram Malik;7
1. Bagsværd;A;Socialdemokratiet;Uffe B. Rasmussen;2
1. Bagsværd;A;Socialdemokratiet;Lars Brejnrod;3
1. Bagsværd;A;Socialdemokratiet;Peter Berg Nellemann;9
1. Bagsværd;A;Socialdemokratiet;Ole Rasmussen;14
1. Bagsværd;A;Socialdemokratiet;Sahar A. Zangeneh;3
1. Bagsværd;A;Socialdemokratiet;Eva Nielsen;63
1. Bagsværd;A;Socialdemokratiet;Hüseyin Duygu;7
1. Bagsværd;A;Socialdemokratiet;Jannie Schneider;3
1. Bagsværd;A;Socialdemokratiet;Henrik V. Pedersen;3
1. Bagsværd;A;Socialdemokratiet;Tenna Malberg;2
1. Bagsværd;A;Socialdemokratiet;Ole Juel Larsen;4
1. Bagsværd;A;Socialdemokratiet;Mona Groth;6
1. Bagsværd;A;Socialdemokratiet;Martin Vestager Ottesen;5
1. Bagsværd;B;Det Radikale Venstre;Listestemmer;155
1. Bagsværd;B;Det Radikale Venstre;Lis Smidsholm;56
1. Bagsværd;B;Det Radikale Venstre;Cheri-Mae Marlena Williamson;55
1. Bagsværd;B;Det Radikale Venstre;Arne Hermann;5
1. Bagsværd;B;Det Radikale Venstre;Bjarne Tolboe Christiansen;0
1. Bagsværd;B;Det Radikale Venstre;Ninna Skovbon;6
1. Bagsværd;B;Det Radikale Venstre;Martin Mouritsen;1
1. Bagsværd;B;Det Radikale Venstre;Tonny Munnecke;3
1. Bagsværd;B;Det Radikale Venstre;Ulla Terese Kræmer;1
1. Bagsværd;B;Det Radikale Venstre;Søren Essendrop Boel;0
1. Bagsværd;B;Det Radikale Venstre;Birte Nimb;1
1. Bagsværd;B;Det Radikale Venstre;Kenneth Albrechtsen;2
1. Bagsværd;B;Det Radikale Venstre;Bjørn Stosic Petersen;3
1. Bagsværd;B;Det Radikale Venstre;Abdul Jalloh;2
1. Bagsværd;B;Det Radikale Venstre;Teddy Nielsen;1
1. Bagsværd;B;Det Radikale Venstre;Rikke Mortensen;1
1. Bagsværd;B;Det Radikale Venstre;Alice Bøeg;0
1. Bagsværd;B;Det Radikale Venstre;Søren Kristian Knudsen;0
1. Bagsværd;B;Det Radikale Venstre;Søren Bach;1
1. Bagsværd;B;Det Radikale Venstre;Ib Sperling;1
1. Bagsværd;B;Det Radikale Venstre;Khosrow Habibi-Bibalani;2
1. Bagsværd;B;Det Radikale Venstre;Jens Karlo Jensen;0
