Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Nordvangskolen;A;Socialdemokratiet;Listestemmer;166
1. Nordvangskolen;A;Socialdemokratiet;Søren Enemark;323
1. Nordvangskolen;A;Socialdemokratiet;Peter Sørensen;26
1. Nordvangskolen;A;Socialdemokratiet;Jan Due;22
1. Nordvangskolen;A;Socialdemokratiet;Susanne Nordbjerg Bach;14
1. Nordvangskolen;A;Socialdemokratiet;Hanne Enevoldsen;7
1. Nordvangskolen;A;Socialdemokratiet;Lise Nyegård;5
1. Nordvangskolen;A;Socialdemokratiet;Freddie Rose;51
1. Nordvangskolen;A;Socialdemokratiet;Betina Engelhardt Rasmussen;7
1. Nordvangskolen;A;Socialdemokratiet;Per Hansen;16
1. Nordvangskolen;A;Socialdemokratiet;Özkan Kocak;9
1. Nordvangskolen;A;Socialdemokratiet;Ole Hammer;1
1. Nordvangskolen;A;Socialdemokratiet;Claus Mulvad Riis;0
1. Nordvangskolen;A;Socialdemokratiet;Jørgen Thun Madsen;7
1. Nordvangskolen;A;Socialdemokratiet;Eva Weiss;7
1. Nordvangskolen;B;Det Radikale Venstre;Listestemmer;35
1. Nordvangskolen;B;Det Radikale Venstre;Erik Schmidt Andersen;8
1. Nordvangskolen;B;Det Radikale Venstre;T A Merle Andersen;3
1. Nordvangskolen;B;Det Radikale Venstre;Michael Andersen;3
1. Nordvangskolen;B;Det Radikale Venstre;Per Greisen;2
1. Nordvangskolen;B;Det Radikale Venstre;Arne Kray;0
1. Nordvangskolen;C;Det Konservative Folkeparti;Listestemmer;53
1. Nordvangskolen;C;Det Konservative Folkeparti;Lise Henriksen;63
1. Nordvangskolen;C;Det Konservative Folkeparti;Steen G. Andersen;36
1. Nordvangskolen;C;Det Konservative Folkeparti;Michael Köhl;2
1. Nordvangskolen;C;Det Konservative Folkeparti;Jette Matzen;2
1. Nordvangskolen;C;Det Konservative Folkeparti;Benny Klitbo;2
1. Nordvangskolen;C;Det Konservative Folkeparti;Vibeke Anbro;2
1. Nordvangskolen;C;Det Konservative Folkeparti;Thomas Vallentin;7
1. Nordvangskolen;C;Det Konservative Folkeparti;Erling Linde;4
1. Nordvangskolen;C;Det Konservative Folkeparti;Lisbeth Kejlberg;2
1. Nordvangskolen;C;Det Konservative Folkeparti;Jørgen Brøndberg;0
1. Nordvangskolen;C;Det Konservative Folkeparti;Ib Frølich;2
1. Nordvangskolen;C;Det Konservative Folkeparti;Preben Thuesen;1
1. Nordvangskolen;F;Socialistisk Folkeparti;Listestemmer;36
1. Nordvangskolen;F;Socialistisk Folkeparti;Arne Christensen;17
1. Nordvangskolen;F;Socialistisk Folkeparti;Gitte Wallin Limkilde;30
1. Nordvangskolen;F;Socialistisk Folkeparti;Palle Laustrup;11
1. Nordvangskolen;F;Socialistisk Folkeparti;Anya Jensen;9
1. Nordvangskolen;F;Socialistisk Folkeparti;Jørgen Skaaning;1
1. Nordvangskolen;F;Socialistisk Folkeparti;Edibe Baran;0
1. Nordvangskolen;F;Socialistisk Folkeparti;Henning Richard Jensen;4
1. Nordvangskolen;F;Socialistisk Folkeparti;Mai Laustrup;13
1. Nordvangskolen;F;Socialistisk Folkeparti;Birger Juul;1
1. Nordvangskolen;F;Socialistisk Folkeparti;Sarah Højlund Jensen;3
1. Nordvangskolen;F;Socialistisk Folkeparti;Jens Erik Larsen;3
1. Nordvangskolen;F;Socialistisk Folkeparti;Annie Christiansen;1
1. Nordvangskolen;F;Socialistisk Folkeparti;Niels Christian Juul;2
1. Nordvangskolen;F;Socialistisk Folkeparti;Birgit Knudsen;0
1. Nordvangskolen;F;Socialistisk Folkeparti;Børge Riisager;3
1. Nordvangskolen;G;Glostruplisten;Listestemmer;16
1. Nordvangskolen;G;Glostruplisten;Ove Bjerregaard-Madsen;66
1. Nordvangskolen;G;Glostruplisten;Anni Bjerregaard-Madsen;9
1. Nordvangskolen;G;Glostruplisten;Kit Jensen;3
1. Nordvangskolen;G;Glostruplisten;Kenn Jensen;1
1. Nordvangskolen;G;Glostruplisten;Birger Tolstrup;3
1. Nordvangskolen;O;Dansk Folkeparti;Listestemmer;68
1. Nordvangskolen;O;Dansk Folkeparti;Flemming Ørhem;57
1. Nordvangskolen;O;Dansk Folkeparti;Henning Christensen;2
1. Nordvangskolen;O;Dansk Folkeparti;Keld Raaberg;0
1. Nordvangskolen;O;Dansk Folkeparti;Bent Sørensen;2
1. Nordvangskolen;O;Dansk Folkeparti;Annette Thorsen;5
1. Nordvangskolen;O;Dansk Folkeparti;Frederik Frydendal;0
1. Nordvangskolen;O;Dansk Folkeparti;Heidi Oesten;0
1. Nordvangskolen;O;Dansk Folkeparti;Linda Schiønnemann;0
1. Nordvangskolen;O;Dansk Folkeparti;Allan Jensen;1
1. Nordvangskolen;O;Dansk Folkeparti;Josephine Dandanell;4
1. Nordvangskolen;O;Dansk Folkeparti;Leif Jacobsen;1
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Listestemmer;116
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Leif Olsen;68
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;John Engelhardt;21
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Ina-Maria Nielsen;28
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Peter Molnit;1
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Ole Dam;7
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Preben Thorvig;0
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Anders Lindberg;6
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Jens Meyer Olsen;10
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Rikke Johnsen;2
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Tahmaseb Nejabati;10
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Hans Sørensen;0
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Anker Jacobsen;0
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Ole Møller Andreasen;4
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Claus Jellinggaard;0
1. Nordvangskolen;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;22
1. Nordvangskolen;Ø;Enhedslisten - De Rød-Grønne;Jakob Bartholdy Bruun;8
1. Nordvangskolen;Ø;Enhedslisten - De Rød-Grønne;Kirsten Tranberg;12
1. Nordvangskolen;Ø;Enhedslisten - De Rød-Grønne;Freddy August;1
1. Nordvangskolen;Ø;Enhedslisten - De Rød-Grønne;Flemming Allermand;11
2. Sognegården;A;Socialdemokratiet;Listestemmer;192
2. Sognegården;A;Socialdemokratiet;Søren Enemark;326
2. Sognegården;A;Socialdemokratiet;Peter Sørensen;24
2. Sognegården;A;Socialdemokratiet;Jan Due;14
2. Sognegården;A;Socialdemokratiet;Susanne Nordbjerg Bach;13
2. Sognegården;A;Socialdemokratiet;Hanne Enevoldsen;16
2. Sognegården;A;Socialdemokratiet;Lise Nyegård;7
2. Sognegården;A;Socialdemokratiet;Freddie Rose;17
2. Sognegården;A;Socialdemokratiet;Betina Engelhardt Rasmussen;7
2. Sognegården;A;Socialdemokratiet;Per Hansen;14
2. Sognegården;A;Socialdemokratiet;Özkan Kocak;17
2. Sognegården;A;Socialdemokratiet;Ole Hammer;3
2. Sognegården;A;Socialdemokratiet;Claus Mulvad Riis;4
2. Sognegården;A;Socialdemokratiet;Jørgen Thun Madsen;7
2. Sognegården;A;Socialdemokratiet;Eva Weiss;0
2. Sognegården;B;Det Radikale Venstre;Listestemmer;41
2. Sognegården;B;Det Radikale Venstre;Erik Schmidt Andersen;5
2. Sognegården;B;Det Radikale Venstre;T A Merle Andersen;4
2. Sognegården;B;Det Radikale Venstre;Michael Andersen;5
2. Sognegården;B;Det Radikale Venstre;Per Greisen;1
