Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
2191. Frederiksborgcentret;A;Socialdemokratiet;Listestemmer;2004
2191. Frederiksborgcentret;A;Socialdemokratiet;Nick Hækkerup;1487
2191. Frederiksborgcentret;A;Socialdemokratiet;Mads Lundgren;4
2191. Frederiksborgcentret;A;Socialdemokratiet;Kirsten Jensen;81
2191. Frederiksborgcentret;A;Socialdemokratiet;Lennart Weber;5
2191. Frederiksborgcentret;A;Socialdemokratiet;René Silword;6
2191. Frederiksborgcentret;A;Socialdemokratiet;Ingo Hvid;5
2191. Frederiksborgcentret;A;Socialdemokratiet;Peder Bisgaard;39
2191. Frederiksborgcentret;A;Socialdemokratiet;Niels Gerlach;0
2191. Frederiksborgcentret;A;Socialdemokratiet;Peter Nisbeth;37
2191. Frederiksborgcentret;A;Socialdemokratiet;Marianne Løvdal;25
2191. Frederiksborgcentret;A;Socialdemokratiet;Lis Kammer;7
2191. Frederiksborgcentret;A;Socialdemokratiet;Jamil Abu-Nofal;6
2191. Frederiksborgcentret;A;Socialdemokratiet;Mathias Borritz Milfeldt;9
2191. Frederiksborgcentret;A;Socialdemokratiet;Susanne Kristensen;2
2191. Frederiksborgcentret;A;Socialdemokratiet;Lene Lunde;3
2191. Frederiksborgcentret;A;Socialdemokratiet;Louise Colding Sørensen;6
2191. Frederiksborgcentret;A;Socialdemokratiet;Helle Artagnan Sørensen;9
2191. Frederiksborgcentret;A;Socialdemokratiet;Bo Jørgensen;4
2191. Frederiksborgcentret;A;Socialdemokratiet;Lena Andersen;7
2191. Frederiksborgcentret;A;Socialdemokratiet;Gunde Odgaard;1
2191. Frederiksborgcentret;A;Socialdemokratiet;Mikael Lemberg;8
2191. Frederiksborgcentret;A;Socialdemokratiet;Dejan Zitarevic;10
2191. Frederiksborgcentret;A;Socialdemokratiet;Søren Petersen;10
2191. Frederiksborgcentret;A;Socialdemokratiet;Bleki K. Stojkovic;21
2191. Frederiksborgcentret;A;Socialdemokratiet;Knud List Larsen;7
2191. Frederiksborgcentret;A;Socialdemokratiet;Martin Larsen;2
2191. Frederiksborgcentret;A;Socialdemokratiet;John Støjko;4
2191. Frederiksborgcentret;A;Socialdemokratiet;Søren Baumann;8
2191. Frederiksborgcentret;A;Socialdemokratiet;Jan Richelsen;0
2191. Frederiksborgcentret;A;Socialdemokratiet;Kenneth Bang;0
2191. Frederiksborgcentret;B;Det Radikale Venstre;Listestemmer;122
2191. Frederiksborgcentret;B;Det Radikale Venstre;Mikael Togeby, Hillerød;24
2191. Frederiksborgcentret;B;Det Radikale Venstre;Kåre Regnarsson, Brødeskov;10
2191. Frederiksborgcentret;B;Det Radikale Venstre;Gordon Trier Holm, Hillerød;1
2191. Frederiksborgcentret;B;Det Radikale Venstre;Elisabeth Nærum, Hillerød;12
2191. Frederiksborgcentret;B;Det Radikale Venstre;Karen Tommerup, Skævinge;2
2191. Frederiksborgcentret;B;Det Radikale Venstre;Kim Køhler, Alsønderup;1
2191. Frederiksborgcentret;B;Det Radikale Venstre;Kristoffer Brix Bertelsen,Hillerød;2
2191. Frederiksborgcentret;B;Det Radikale Venstre;Christina Thorholm, Nødebo;2
2191. Frederiksborgcentret;B;Det Radikale Venstre;Hanne Augusta Hansen, Hillerød;1
2191. Frederiksborgcentret;B;Det Radikale Venstre;Iwan Krasilnikoff, Hillerød;4
2191. Frederiksborgcentret;B;Det Radikale Venstre;Hans Endrup Jacobsen, Hillerød;3
2191. Frederiksborgcentret;B;Det Radikale Venstre;Karsten Bille, Nødebo;0
2191. Frederiksborgcentret;B;Det Radikale Venstre;Ole Juul Larsen, Nødebo;0
2191. Frederiksborgcentret;B;Det Radikale Venstre;Arne Jensen, Skævinge;0
2191. Frederiksborgcentret;B;Det Radikale Venstre;Andreas Færk, Hillerød;1
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Listestemmer;339
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Sven-Ove Larsen;102
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Finn Hansen;32
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Lars Ole Skovgaard Larsen;19
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Bente Claudi;48
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Tine Bülow;13
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Klaus Lindvig;15
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Jesper Ravn;3
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Jørgen Raymond;5
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Grete Engel;6
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Christoffer Weber;4
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Ole Abel;1
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Henrik Wiehl;0
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Jan Torp Hansen;0
2191. Frederiksborgcentret;C;Det Konservative Folkeparti;Robert Neble Larsen;4
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Listestemmer;222
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Rikke Macholm, Hillerød;102
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Michael Jensen, Hillerød;10
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Carsten Lauge Pedersen, Uvelse;2
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Peter Langer, Hillerød;7
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Lars Elbrandt, Hillerød;8
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Sus Bendtsen, Uvelse;2
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Nils Anker Kofoed, Hillerød;2
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Ulrik Ravnborg, Hillerød;2
2191. Frederiksborgcentret;F;Socialistisk Folkeparti;Niels Jørgensen, Hillerød;0
2191. Frederiksborgcentret;H;Høje Hillerød;Listestemmer;87
2191. Frederiksborgcentret;H;Høje Hillerød;Hans Støvring;24
2191. Frederiksborgcentret;H;Høje Hillerød;Torben Vinther;9
2191. Frederiksborgcentret;H;Høje Hillerød;Kai Danielsen;3
2191. Frederiksborgcentret;K;Kristendemokraterne;Listestemmer;114
2191. Frederiksborgcentret;K;Kristendemokraterne;Astrid Reuss Schmidt;80
2191. Frederiksborgcentret;K;Kristendemokraterne;Ida Melbye Lund;3
2191. Frederiksborgcentret;K;Kristendemokraterne;Andreas Flensted-Jensen;6
2191. Frederiksborgcentret;K;Kristendemokraterne;Olai Birch;1
2191. Frederiksborgcentret;K;Kristendemokraterne;Michael Mogensen;4
2191. Frederiksborgcentret;K;Kristendemokraterne;Søren Gyes Høiberg;2
2191. Frederiksborgcentret;K;Kristendemokraterne;Carsten Hjorth Pedersen;2
2191. Frederiksborgcentret;M;Det Troværdige Musikparti;Listestemmer;25
2191. Frederiksborgcentret;M;Det Troværdige Musikparti;Martin Devantier, Hillerød;19
2191. Frederiksborgcentret;O;Dansk Folkeparti;Listestemmer;153
2191. Frederiksborgcentret;O;Dansk Folkeparti;Peter Lennø, Hillerød;30
2191. Frederiksborgcentret;O;Dansk Folkeparti;Richard R. Larsen, Hillerød;4
2191. Frederiksborgcentret;O;Dansk Folkeparti;Karin Andersen, Hillerød;18
2191. Frederiksborgcentret;O;Dansk Folkeparti;Harry Westermann, Hillerød;1
2191. Frederiksborgcentret;O;Dansk Folkeparti;Søren Heldt, Hillerød;2
2191. Frederiksborgcentret;O;Dansk Folkeparti;Hans Andersen, Hillerød;7
2191. Frederiksborgcentret;T;Fælleslisten;Listestemmer;292
2191. Frederiksborgcentret;T;Fælleslisten;Tue Tortzen;181
2191. Frederiksborgcentret;T;Fælleslisten;Bente Jakobsen;17
2191. Frederiksborgcentret;T;Fælleslisten;Silas Klein Jensen;29
2191. Frederiksborgcentret;T;Fælleslisten;Susanne Birkemose;11
2191. Frederiksborgcentret;T;Fælleslisten;Hans Peter Bitter;0
2191. Frederiksborgcentret;T;Fælleslisten;Vladimir Vrzogic;3
2191. Frederiksborgcentret;T;Fælleslisten;Hanne Gram;1
2191. Frederiksborgcentret;T;Fælleslisten;Richardt Justesen;1
2191. Frederiksborgcentret;T;Fælleslisten;Sigurd Brinck;5
