Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
3151. Administrationscentret;A;Socialdemokratiet;Listestemmer;967
3151. Administrationscentret;A;Socialdemokratiet;Carsten Fink, Holbæk;335
3151. Administrationscentret;A;Socialdemokratiet;Jørgen Dan Pedersen, Holbæk;31
3151. Administrationscentret;A;Socialdemokratiet;Steen Klink, Tornved;7
3151. Administrationscentret;A;Socialdemokratiet;Birgit Klarskov, Tølløse;13
3151. Administrationscentret;A;Socialdemokratiet;Jørgen Jensen, Svinninge;4
3151. Administrationscentret;A;Socialdemokratiet;Henning Hjelm Hansen, Jernløse;1
3151. Administrationscentret;A;Socialdemokratiet;Jens Kristiansen, Holbæk;31
3151. Administrationscentret;A;Socialdemokratiet;Birgitte Hentze Jensen,Holbæk;62
3151. Administrationscentret;A;Socialdemokratiet;Carsten Bengtsson, Holbæk;47
3151. Administrationscentret;A;Socialdemokratiet;Sine Agerholm, Tornved;24
3151. Administrationscentret;A;Socialdemokratiet;Jørgen Topsøe, Holbæk;33
3151. Administrationscentret;A;Socialdemokratiet;Klaus Nielsen, Holbæk;12
3151. Administrationscentret;A;Socialdemokratiet;Steen-Kristian Eriksen, Tornved;5
3151. Administrationscentret;A;Socialdemokratiet;Ole Brockdorff, Holbæk;45
3151. Administrationscentret;A;Socialdemokratiet;Mogens Justesen, Tornved;1
3151. Administrationscentret;A;Socialdemokratiet;Hans Nørgaard, Jernløse;0
3151. Administrationscentret;A;Socialdemokratiet;Jens Andersen, Holbæk;1
3151. Administrationscentret;A;Socialdemokratiet;Peer B. Høyer, Tølløse;0
3151. Administrationscentret;A;Socialdemokratiet;Jørgen Hass, Svinninge;2
3151. Administrationscentret;A;Socialdemokratiet;Lene Duholm, Svinninge;2
3151. Administrationscentret;A;Socialdemokratiet;Karen Sejerø Sørensen, Svinninge;3
3151. Administrationscentret;A;Socialdemokratiet;Ole Hansen, Tølløse;5
3151. Administrationscentret;A;Socialdemokratiet;Inge Holst, Holbæk;9
3151. Administrationscentret;A;Socialdemokratiet;Finn Padkær, Svinninge;3
3151. Administrationscentret;A;Socialdemokratiet;Per Brinckmann, Holbæk;1
3151. Administrationscentret;A;Socialdemokratiet;Abdi Hassan Noor, Tornved;14
3151. Administrationscentret;A;Socialdemokratiet;Edith Katholm, Tølløse;0
3151. Administrationscentret;A;Socialdemokratiet;Tove Johannessen, Jernløse;0
3151. Administrationscentret;A;Socialdemokratiet;Bjarne Bjørn Larsen, Holbæk;8
3151. Administrationscentret;A;Socialdemokratiet;Torben Joconde, Jernløse;1
3151. Administrationscentret;A;Socialdemokratiet;Marvin Lopez, Holbæk;6
3151. Administrationscentret;A;Socialdemokratiet;Hans Chr. Hansen, Svinninge;0
3151. Administrationscentret;A;Socialdemokratiet;Tom Trædmark, Svinninge;1
3151. Administrationscentret;B;Det Radikale Venstre;Listestemmer;1128
3151. Administrationscentret;B;Det Radikale Venstre;Jørn Sørensen, Holbæk;801
3151. Administrationscentret;B;Det Radikale Venstre;Poul Erik Jensen, Tølløse;6
3151. Administrationscentret;B;Det Radikale Venstre;Anne Møller Ronex, Tornved;4
3151. Administrationscentret;B;Det Radikale Venstre;Ulla Solvang, Svinninge;8
3151. Administrationscentret;B;Det Radikale Venstre;Lone Saaby,Tølløse;2
3151. Administrationscentret;B;Det Radikale Venstre;Erik Aagaard, Svinninge;3
3151. Administrationscentret;B;Det Radikale Venstre;Martin Jungsgaard, Holbæk;59
3151. Administrationscentret;B;Det Radikale Venstre;Niels de Bang, Jernløse;3
3151. Administrationscentret;B;Det Radikale Venstre;Kate Felby, Holbæk;25
3151. Administrationscentret;B;Det Radikale Venstre;Ida Møller, Holbæk;14
3151. Administrationscentret;B;Det Radikale Venstre;Jens Klokhøj, Holbæk;25
3151. Administrationscentret;B;Det Radikale Venstre;Lone Drustrup,Holbæk;10
3151. Administrationscentret;B;Det Radikale Venstre;Knud Munksgaard, Holbæk;11
3151. Administrationscentret;B;Det Radikale Venstre;Inger Schultz Hansen, Tølløse;0
3151. Administrationscentret;B;Det Radikale Venstre;Bo E. Bremer, Tølløse;0
3151. Administrationscentret;B;Det Radikale Venstre;Jeppe Nielsen, Holbæk;16
3151. Administrationscentret;B;Det Radikale Venstre;Lars Friis, Holbæk;3
3151. Administrationscentret;B;Det Radikale Venstre;Bjarne Kærgaard Jensen, Svinninge;5
3151. Administrationscentret;B;Det Radikale Venstre;Torben Elmedal, Holbæk;3
3151. Administrationscentret;B;Det Radikale Venstre;Michael Rasmussen, Holbæk;2
3151. Administrationscentret;B;Det Radikale Venstre;Klaus Oldrup, Holbæk;22
