Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
6011. Ring;A;Socialdemokratiet;Listestemmer;718
6011. Ring;A;Socialdemokratiet;Jan Trøjborg;330
6011. Ring;A;Socialdemokratiet;Jørn Steffensen;1
6011. Ring;A;Socialdemokratiet;Ellen T. Schmidt;240
6011. Ring;A;Socialdemokratiet;Per Andersen;2
6011. Ring;A;Socialdemokratiet;Jytte Holm;4
6011. Ring;A;Socialdemokratiet;Tina Naldal Nielsen;2
6011. Ring;A;Socialdemokratiet;Knud Erik Kristensen;1
6011. Ring;A;Socialdemokratiet;Gudrun Haller;38
6011. Ring;A;Socialdemokratiet;Helle Frost;0
6011. Ring;A;Socialdemokratiet;Peter Sørensen;0
6011. Ring;A;Socialdemokratiet;Lone Ørsted;0
6011. Ring;A;Socialdemokratiet;Preben Andersen;11
6011. Ring;A;Socialdemokratiet;Marianne Wollenberg;3
6011. Ring;A;Socialdemokratiet;Tove Asmussen;1
6011. Ring;A;Socialdemokratiet;Jessie Mogensen;2
6011. Ring;A;Socialdemokratiet;Carrie Harritsø;0
6011. Ring;A;Socialdemokratiet;Hanne Rasmussen;0
6011. Ring;A;Socialdemokratiet;Tommy Lund Christensen;0
6011. Ring;A;Socialdemokratiet;Ole Jensen;0
6011. Ring;A;Socialdemokratiet;Elmer Andreasen;1
6011. Ring;A;Socialdemokratiet;Jens Liljegren;0
6011. Ring;A;Socialdemokratiet;Charlotte Juhl Nielsen;0
6011. Ring;A;Socialdemokratiet;Roald Ravn Rasmussen;0
6011. Ring;A;Socialdemokratiet;Jess Sørensen;0
6011. Ring;A;Socialdemokratiet;Torben Engholm;0
6011. Ring;A;Socialdemokratiet;Tage Carlsen;0
6011. Ring;A;Socialdemokratiet;Jan Rye;0
6011. Ring;A;Socialdemokratiet;Jens Christian Sørensen;0
6011. Ring;A;Socialdemokratiet;Saliem H. Bader;1
6011. Ring;A;Socialdemokratiet;Anne-Marie Bønløkke Larsen;1
6011. Ring;A;Socialdemokratiet;Allan Kristensen;0
6011. Ring;B;Det Radikale Venstre;Listestemmer;74
6011. Ring;B;Det Radikale Venstre;Knud Therkildsen;54
6011. Ring;B;Det Radikale Venstre;Assia Zouaoui;3
6011. Ring;B;Det Radikale Venstre;Helle Lindkvist;1
6011. Ring;B;Det Radikale Venstre;Knud Nielsen;1
6011. Ring;B;Det Radikale Venstre;Peder Kirkeby;0
6011. Ring;B;Det Radikale Venstre;Knud Erik Jørgensen;0
6011. Ring;B;Det Radikale Venstre;Kaare Holst;0
6011. Ring;B;Det Radikale Venstre;Hans Hansen;1
6011. Ring;C;Det Konservative Folkeparti;Listestemmer;238
