Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Selsmoseskolen;A;Socialdemokratiet;Listestemmer;203
1. Selsmoseskolen;A;Socialdemokratiet;Svend-Erik Hermansen;227
1. Selsmoseskolen;A;Socialdemokratiet;Andreas Gysting Frederiksen;20
1. Selsmoseskolen;A;Socialdemokratiet;Conny Annelise Trøjborg Krogh;26
1. Selsmoseskolen;A;Socialdemokratiet;Jette Højerup;11
1. Selsmoseskolen;A;Socialdemokratiet;Annette Menne Johansen;18
1. Selsmoseskolen;A;Socialdemokratiet;Lizzie Birgit Hansen;10
1. Selsmoseskolen;A;Socialdemokratiet;Thomas Bak;25
1. Selsmoseskolen;A;Socialdemokratiet;Kåre Rudi Nygård;20
1. Selsmoseskolen;A;Socialdemokratiet;Naja Menne;19
1. Selsmoseskolen;A;Socialdemokratiet;Erling Eiberg;1
1. Selsmoseskolen;A;Socialdemokratiet;Vibeke Wahl Winther;7
1. Selsmoseskolen;A;Socialdemokratiet;Kemal Bektas;206
1. Selsmoseskolen;A;Socialdemokratiet;Flemming Østergaard Larsen;14
1. Selsmoseskolen;A;Socialdemokratiet;Helge Johnson;1
1. Selsmoseskolen;A;Socialdemokratiet;Ekrem Günbulut;11
1. Selsmoseskolen;A;Socialdemokratiet;Steen Jesper Petersen;4
1. Selsmoseskolen;A;Socialdemokratiet;Asger Birk Jensen;21
1. Selsmoseskolen;A;Socialdemokratiet;Frank Lundorff Rasmussen;3
1. Selsmoseskolen;A;Socialdemokratiet;John Ronald Hansen;1
1. Selsmoseskolen;B;Det Radikale Venstre;Listestemmer;39
1. Selsmoseskolen;B;Det Radikale Venstre;Rikke Madsen;20
1. Selsmoseskolen;B;Det Radikale Venstre;Nadeem Farooq;45
1. Selsmoseskolen;B;Det Radikale Venstre;Fritz Ole Jensenius;1
1. Selsmoseskolen;B;Det Radikale Venstre;Ann Elisabeth Welling;0
1. Selsmoseskolen;B;Det Radikale Venstre;Ole Eivind Lieberkind Petersen;0
1. Selsmoseskolen;B;Det Radikale Venstre;Svend Grønlund;1
1. Selsmoseskolen;B;Det Radikale Venstre;Bjarne H Sørensen;0
1. Selsmoseskolen;B;Det Radikale Venstre;Hans-Christian Sorwad Welling;1
1. Selsmoseskolen;B;Det Radikale Venstre;Hanne Schjørring Olsen;1
1. Selsmoseskolen;B;Det Radikale Venstre;Martin Bertelsen;1
1. Selsmoseskolen;B;Det Radikale Venstre;Signe Bøggild Mommsen;1
1. Selsmoseskolen;C;Det Konservative Folkeparti;Listestemmer;52
1. Selsmoseskolen;C;Det Konservative Folkeparti;Michael Ziegler;74
1. Selsmoseskolen;C;Det Konservative Folkeparti;Laurids Christensen;26
1. Selsmoseskolen;C;Det Konservative Folkeparti;Bjarne Kogsbøll;1
1. Selsmoseskolen;C;Det Konservative Folkeparti;Merete Elizabeth Scheelsbeck;24
1. Selsmoseskolen;C;Det Konservative Folkeparti;Pia David;2
1. Selsmoseskolen;C;Det Konservative Folkeparti;Vagn Arnold Sørensen;5
1. Selsmoseskolen;C;Det Konservative Folkeparti;Lone Simonsen;4
1. Selsmoseskolen;C;Det Konservative Folkeparti;Kirsten Poulsgaard Böhm;1
1. Selsmoseskolen;C;Det Konservative Folkeparti;Thomas Damkier Hansen;2
1. Selsmoseskolen;C;Det Konservative Folkeparti;Helle Skipper Hansen;8
1. Selsmoseskolen;C;Det Konservative Folkeparti;Allan Olsen;3
1. Selsmoseskolen;C;Det Konservative Folkeparti;Henning Karstensen;1
