Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Listestemmer;55
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Ole Bjørstorp;139
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Jørn Hjøllund;6
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Merete Amdisen;6
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Birgit Nielsen;31
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Bent Skov;8
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Mogens Havnsøe Petersen;2
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Henrik Olsen;7
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Claus Mortensen;2
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Ketty Keller;3
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Kurt Telander;3
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Carsten L. Nielsen;0
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Anna Hjøllund Gaarn-Larsen;3
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Sengül Deniz;5
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Thomas Guldager;1
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Seyit Ahmet Özkan;0
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Ahmet Degirmenci;0
1. Ishøj Forsamlingshus;A;Socialdemokratiet;Allan Pøhl;1
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Listestemmer;28
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Benny C. Hansen;24
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Bjarne Gosvig;1
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Flemming Ibsen;0
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Palle Norman Jensen;6
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Jette Lyman;4
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Peder Christian Haarbye;0
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Lars Nyhuus;19
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Mogens Everdahl;2
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Herbert Olsen;1
1. Ishøj Forsamlingshus;C;Det Konservative Folkeparti;Bente Everdahl;1
1. Ishøj Forsamlingshus;F;Socialistisk Folkeparti;Listestemmer;35
1. Ishøj Forsamlingshus;F;Socialistisk Folkeparti;Niels Borre;67
1. Ishøj Forsamlingshus;F;Socialistisk Folkeparti;Bilal Inekci;3
1. Ishøj Forsamlingshus;F;Socialistisk Folkeparti;Birgitte Pedersen;12
1. Ishøj Forsamlingshus;F;Socialistisk Folkeparti;Thorvald Karlsen;0
1. Ishøj Forsamlingshus;F;Socialistisk Folkeparti;Erkan Yapici;0
1. Ishøj Forsamlingshus;F;Socialistisk Folkeparti;Erik Nejrup;2
1. Ishøj Forsamlingshus;F;Socialistisk Folkeparti;Klaus Siversen;0
1. Ishøj Forsamlingshus;F;Socialistisk Folkeparti;Kenneth Nørgaard;0
1. Ishøj Forsamlingshus;I;Ishøj Borgerliste;Listestemmer;7
1. Ishøj Forsamlingshus;I;Ishøj Borgerliste;Lena Gyngsø Jensen;2
1. Ishøj Forsamlingshus;I;Ishøj Borgerliste;Hans Skytte;0
1. Ishøj Forsamlingshus;I;Ishøj Borgerliste;Karin Russel;15
