Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
4391. Kerteminde 1;A;Socialdemokratiet;Listestemmer;654
4391. Kerteminde 1;A;Socialdemokratiet;Palle Hansborg-Sørensen, Munkebo;333
4391. Kerteminde 1;A;Socialdemokratiet;Jens-Arne Hansen, Kerteminde;49
4391. Kerteminde 1;A;Socialdemokratiet;Arne Krydsfeldt, Langeskov;4
4391. Kerteminde 1;A;Socialdemokratiet;Kate Nielsen, Munkebo;3
4391. Kerteminde 1;A;Socialdemokratiet;Britt Pedersen, Kerteminde;26
4391. Kerteminde 1;A;Socialdemokratiet;Bente Østerbye Olesen, Langeskov;2
4391. Kerteminde 1;A;Socialdemokratiet;Finn Hellum, Munkebo;0
4391. Kerteminde 1;A;Socialdemokratiet;Michael Gammelgaard, Kerteminde;43
4391. Kerteminde 1;A;Socialdemokratiet;Lenna Vogn Petersen, Kerteminde;3
4391. Kerteminde 1;A;Socialdemokratiet;Jan Johansen, Munkebo;1
4391. Kerteminde 1;A;Socialdemokratiet;Jacob Peder Dauerhøj, Kerteminde;49
4391. Kerteminde 1;A;Socialdemokratiet;Annette Outze, Langeskov;1
4391. Kerteminde 1;A;Socialdemokratiet;Marianne Høj, Munkebo;2
4391. Kerteminde 1;A;Socialdemokratiet;Claus Larsen, Kerteminde;11
4391. Kerteminde 1;A;Socialdemokratiet;Solgerd Ejdesgaard Jensen, Langesk;0
4391. Kerteminde 1;A;Socialdemokratiet;Jan Hansen, Munkebo;1
4391. Kerteminde 1;A;Socialdemokratiet;Søren Grønhøj, Munkebo;2
4391. Kerteminde 1;A;Socialdemokratiet;John Eriksen, Munkebo;2
4391. Kerteminde 1;B;Det Radikale Venstre;Listestemmer;116
4391. Kerteminde 1;B;Det Radikale Venstre;Lisbet Stemann Funk, Kerteminde;58
4391. Kerteminde 1;B;Det Radikale Venstre;Solveig Gaarsmand, Munkebo;8
4391. Kerteminde 1;B;Det Radikale Venstre;Michael Gordon, Kerteminde;7
4391. Kerteminde 1;B;Det Radikale Venstre;Dorte Schach Jakobsen, Kerteminde;14
4391. Kerteminde 1;B;Det Radikale Venstre;Poul Borch Nielsen, Rynkeby;0
4391. Kerteminde 1;B;Det Radikale Venstre;Karin Meisl-Joensen, Kerteminde;2
4391. Kerteminde 1;B;Det Radikale Venstre;Laila Finsen, Kerteminde;7
4391. Kerteminde 1;B;Det Radikale Venstre;Frederik Christensen, Kerteminde;4
4391. Kerteminde 1;C;Det Konservative Folkeparti;Listestemmer;794
4391. Kerteminde 1;C;Det Konservative Folkeparti;Else Møller;520
4391. Kerteminde 1;C;Det Konservative Folkeparti;Erling Knudsen;2
4391. Kerteminde 1;C;Det Konservative Folkeparti;Jesper Schmidt-Nielsen;118
4391. Kerteminde 1;C;Det Konservative Folkeparti;Kurt Andersen;16
4391. Kerteminde 1;C;Det Konservative Folkeparti;Lars Ole Valsøe;23
4391. Kerteminde 1;C;Det Konservative Folkeparti;Bo Høyer Larsen;0
4391. Kerteminde 1;C;Det Konservative Folkeparti;Peter Schmidt;1
4391. Kerteminde 1;C;Det Konservative Folkeparti;Charlotte Møgelmose Bach;13
4391. Kerteminde 1;C;Det Konservative Folkeparti;Kurt M. Poulsen;2
4391. Kerteminde 1;C;Det Konservative Folkeparti;Bodil Greve Schmidt;1
4391. Kerteminde 1;C;Det Konservative Folkeparti;Povl Mors;28
