Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
5091. Aller;A;Socialdemokratiet;Listestemmer;51
5091. Aller;A;Socialdemokratiet;Per Bødker Andersen;15
5091. Aller;A;Socialdemokratiet;Knud Erik Dinesen;15
5091. Aller;A;Socialdemokratiet;Poul Erik Jensen;2
5091. Aller;A;Socialdemokratiet;Annie Terp Thomsen;1
5091. Aller;A;Socialdemokratiet;Bent Ginnerskov Jensen;0
5091. Aller;A;Socialdemokratiet;Frank Smits;6
5091. Aller;A;Socialdemokratiet;Hardy Thorup;0
5091. Aller;A;Socialdemokratiet;Ole Kristensen;0
5091. Aller;A;Socialdemokratiet;Iver Schriver;0
5091. Aller;A;Socialdemokratiet;Christian Haugh;0
5091. Aller;A;Socialdemokratiet;Dan Nielsen;0
5091. Aller;A;Socialdemokratiet;Gunnar Storm Thomsen;0
5091. Aller;A;Socialdemokratiet;Hanne Dam;1
5091. Aller;A;Socialdemokratiet;Ann-Marie Christensen;0
5091. Aller;A;Socialdemokratiet;Gerrit Toet;0
5091. Aller;A;Socialdemokratiet;Rigmor Grøn;0
5091. Aller;A;Socialdemokratiet;Dorte Byrfelt;0
5091. Aller;A;Socialdemokratiet;Kjeld B. Larsen;0
5091. Aller;A;Socialdemokratiet;Kristian Sølvsten Grøn;4
5091. Aller;A;Socialdemokratiet;Kristian Fink;0
5091. Aller;A;Socialdemokratiet;Rifet Begic;0
5091. Aller;A;Socialdemokratiet;Henning Nøhr;0
5091. Aller;A;Socialdemokratiet;Jørgen Sall;0
5091. Aller;A;Socialdemokratiet;Karl Johan Kruse;0
5091. Aller;A;Socialdemokratiet;Keld Ullerup;0
5091. Aller;A;Socialdemokratiet;Hans-Peder Kromann Larsen;0
5091. Aller;A;Socialdemokratiet;Erik Lund;0
5091. Aller;A;Socialdemokratiet;Ole Skov Hansen;0
5091. Aller;A;Socialdemokratiet;Jan Lauritzen;0
5091. Aller;A;Socialdemokratiet;Thorkild Jensen;0
5091. Aller;A;Socialdemokratiet;Johan Norup;0
5091. Aller;A;Socialdemokratiet;Gert Verner Jørgensen;0
5091. Aller;A;Socialdemokratiet;Jens Peder Roed;0
5091. Aller;B;Det Radikale Venstre;Listestemmer;15
5091. Aller;B;Det Radikale Venstre;Henrik Larsen, Kolding;0
5091. Aller;B;Det Radikale Venstre;H. C. Jensen, Christiansfeld;5
5091. Aller;B;Det Radikale Venstre;Marlene B. Lorentzen, Kolding;0
5091. Aller;B;Det Radikale Venstre;Finn Hyldgård Jensen, Hejls;3
5091. Aller;B;Det Radikale Venstre;Pernille Stenkil Hansen, Kolding;0
5091. Aller;B;Det Radikale Venstre;Ingelise Jellesen, Strandhuse;0
5091. Aller;B;Det Radikale Venstre;Poul Erik Jespersen, Vamdrup;0
5091. Aller;B;Det Radikale Venstre;Lau Korsgaard, Kolding;0
5091. Aller;B;Det Radikale Venstre;John Schmidt, Kolding;0
5091. Aller;B;Det Radikale Venstre;Knud Nørregaard, Bramdrupdam;0
5091. Aller;B;Det Radikale Venstre;Anne Prytz, Kolding;0
5091. Aller;B;Det Radikale Venstre;Inge Brandt Nagel, Kolding;0
5091. Aller;B;Det Radikale Venstre;Lone Aagaard, Strandhuse;1
5091. Aller;B;Det Radikale Venstre;Thorben Lundø, Sdr. Stenderup;0
5091. Aller;B;Det Radikale Venstre;Anna Bohn Smitshuysen, Kolding;0
5091. Aller;B;Det Radikale Venstre;Gert Helenius, Nr. Bjært;0
5091. Aller;B;Det Radikale Venstre;Sven-Erik Lauridsen, Strandhuse;0
