Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. 1. Ryvang;A;Socialdemokratiet;Listestemmer;365
1. 1. Ryvang;A;Socialdemokratiet;Ritt Bjerregaard;1513
1. 1. Ryvang;A;Socialdemokratiet;Jakob Hougaard;19
1. 1. Ryvang;A;Socialdemokratiet;Winnie Berndtson;23
1. 1. Ryvang;A;Socialdemokratiet;Thor Grønlykke;56
1. 1. Ryvang;A;Socialdemokratiet;Winnie Larsen-Jensen;8
1. 1. Ryvang;A;Socialdemokratiet;Anette Holst Christensen;5
1. 1. Ryvang;A;Socialdemokratiet;Johannes Nymark;1
1. 1. Ryvang;A;Socialdemokratiet;Mona Heiberg;7
1. 1. Ryvang;A;Socialdemokratiet;Jesper Christensen;2
1. 1. Ryvang;A;Socialdemokratiet;Anne Vang;18
1. 1. Ryvang;A;Socialdemokratiet;Lise Thorsen;4
1. 1. Ryvang;A;Socialdemokratiet;Helle Bak Andersen;1
1. 1. Ryvang;A;Socialdemokratiet;Stig Ekman;34
1. 1. Ryvang;A;Socialdemokratiet;Kim Christensen;1
1. 1. Ryvang;A;Socialdemokratiet;Tine Løvig Simonsen;3
1. 1. Ryvang;A;Socialdemokratiet;Jette Bergenholtz Bautrup;6
1. 1. Ryvang;A;Socialdemokratiet;Jens Nielsen;1
1. 1. Ryvang;A;Socialdemokratiet;Klaus Hansen;4
1. 1. Ryvang;A;Socialdemokratiet;Anna Saakwa;4
1. 1. Ryvang;A;Socialdemokratiet;Karen West;3
1. 1. Ryvang;A;Socialdemokratiet;Simon Strange;18
1. 1. Ryvang;A;Socialdemokratiet;Aia Fog;4
1. 1. Ryvang;A;Socialdemokratiet;Lars Rasmussen;7
1. 1. Ryvang;A;Socialdemokratiet;Finn Rudaizky;5
1. 1. Ryvang;A;Socialdemokratiet;Susan Hedlund;0
1. 1. Ryvang;A;Socialdemokratiet;Carsten Nielsen;0
1. 1. Ryvang;A;Socialdemokratiet;Morten Westergaard;7
1. 1. Ryvang;A;Socialdemokratiet;Ikram Sarwar;9
1. 1. Ryvang;A;Socialdemokratiet;Katrine Egaa Molin;1
1. 1. Ryvang;A;Socialdemokratiet;Jan Andreasen;2
1. 1. Ryvang;A;Socialdemokratiet;Pia Jepsen;2
1. 1. Ryvang;A;Socialdemokratiet;Taner Yilmaz;10
1. 1. Ryvang;A;Socialdemokratiet;Hamid El Mousti;6
1. 1. Ryvang;A;Socialdemokratiet;Sikandar Malik Siddique;11
1. 1. Ryvang;A;Socialdemokratiet;René Rud Mikkelsen;1
1. 1. Ryvang;A;Socialdemokratiet;Tonny Lambert;1
1. 1. Ryvang;A;Socialdemokratiet;Henrik A. Hansen;0
1. 1. Ryvang;A;Socialdemokratiet;Niels Andersen;0
1. 1. Ryvang;A;Socialdemokratiet;Jens Juhl Jensen;0
1. 1. Ryvang;A;Socialdemokratiet;Siegfried Jürgensen;0
1. 1. Ryvang;B;Det Radikale Venstre;Listestemmer;234
1. 1. Ryvang;B;Det Radikale Venstre;Klaus Bondam;298
1. 1. Ryvang;B;Det Radikale Venstre;Manu Sareen;96
1. 1. Ryvang;B;Det Radikale Venstre;Monica Thon;18
1. 1. Ryvang;B;Det Radikale Venstre;Kasper Johansen;2
1. 1. Ryvang;B;Det Radikale Venstre;Margrethe Wivel;40
1. 1. Ryvang;B;Det Radikale Venstre;Anders Thomsen;3
1. 1. Ryvang;B;Det Radikale Venstre;Katrina Feilberg;9
1. 1. Ryvang;B;Det Radikale Venstre;Frederik Berling;3
1. 1. Ryvang;B;Det Radikale Venstre;David Munis Zepernick;4
1. 1. Ryvang;B;Det Radikale Venstre;Christian Holm Donatzky;4
1. 1. Ryvang;B;Det Radikale Venstre;Lars Østergaard;2
1. 1. Ryvang;B;Det Radikale Venstre;Tina Bostrup;18
1. 1. Ryvang;B;Det Radikale Venstre;Kasper Tingkær;6
1. 1. Ryvang;B;Det Radikale Venstre;Mai Christiansen;2
1. 1. Ryvang;B;Det Radikale Venstre;Bjarne P. Nielsen;0
1. 1. Ryvang;B;Det Radikale Venstre;Stine Meldgaard Madsen;2
1. 1. Ryvang;B;Det Radikale Venstre;Bo Normander;3
1. 1. Ryvang;B;Det Radikale Venstre;Lars Rimfalk Jensen;0
1. 1. Ryvang;C;Det Konservative Folkeparti;Listestemmer;180
1. 1. Ryvang;C;Det Konservative Folkeparti;Mogens Lønborg;173
1. 1. Ryvang;C;Det Konservative Folkeparti;Majbritt Mamsen;17
1. 1. Ryvang;C;Det Konservative Folkeparti;Andreas Boisen;3
1. 1. Ryvang;C;Det Konservative Folkeparti;Michael Rosenmark;3
1. 1. Ryvang;C;Det Konservative Folkeparti;Peter Schlüter;22
1. 1. Ryvang;C;Det Konservative Folkeparti;A.Ben Haddou;12
1. 1. Ryvang;C;Det Konservative Folkeparti;Kian Schmücker;1
1. 1. Ryvang;C;Det Konservative Folkeparti;Lone Skov Al Awssi;4
1. 1. Ryvang;C;Det Konservative Folkeparti;Ulrik Blindum;1
1. 1. Ryvang;C;Det Konservative Folkeparti;Susanne Møller;0
1. 1. Ryvang;C;Det Konservative Folkeparti;Holger Sørensen;4
1. 1. Ryvang;C;Det Konservative Folkeparti;Annette Wegener;0
1. 1. Ryvang;C;Det Konservative Folkeparti;Rasmus Jarlov;11
1. 1. Ryvang;C;Det Konservative Folkeparti;Jakob Næsager;4
1. 1. Ryvang;C;Det Konservative Folkeparti;Christine Bernt Henriksen;2
1. 1. Ryvang;C;Det Konservative Folkeparti;Inger-Marie Dyrholm;0
1. 1. Ryvang;C;Det Konservative Folkeparti;Christian Hesselberg;2
1. 1. Ryvang;C;Det Konservative Folkeparti;Trine Søe;1
1. 1. Ryvang;C;Det Konservative Folkeparti;Sven-Eric Bertelsen;0
1. 1. Ryvang;C;Det Konservative Folkeparti;Channe M.Bjerringgaard;0
1. 1. Ryvang;C;Det Konservative Folkeparti;Johan Alsøe;4
1. 1. Ryvang;C;Det Konservative Folkeparti;Vilhelm Topsøe;3
1. 1. Ryvang;D;Centrum Demokraterne;Listestemmer;6
1. 1. Ryvang;D;Centrum Demokraterne;Tahsin Kaya;25
1. 1. Ryvang;D;Centrum Demokraterne;Nina Møgelhøj;3
1. 1. Ryvang;D;Centrum Demokraterne;Michael Thønnings;0
1. 1. Ryvang;E;Retsforbundet;Listestemmer;2
1. 1. Ryvang;E;Retsforbundet;Thomas Ammitzbøll-Bach;0
1. 1. Ryvang;E;Retsforbundet;Poul Gerhard Kristiansen;1
1. 1. Ryvang;E;Retsforbundet;Kjeld Ivar Thomsen;0
1. 1. Ryvang;E;Retsforbundet;Inge Kaj;0
1. 1. Ryvang;E;Retsforbundet;Linda Ammitzbøll-Bach;0
1. 1. Ryvang;F;Socialistisk Folkeparti;Listestemmer;274
1. 1. Ryvang;F;Socialistisk Folkeparti;Bo Asmus Kjeldgaard;216
1. 1. Ryvang;F;Socialistisk Folkeparti;Ninna Thomsen;34
1. 1. Ryvang;F;Socialistisk Folkeparti;Lotte Thiim Bertelsen;10
1. 1. Ryvang;F;Socialistisk Folkeparti;Camilla Burgwald;8
1. 1. Ryvang;F;Socialistisk Folkeparti;Signe Goldmann;14
1. 1. Ryvang;F;Socialistisk Folkeparti;Bjarne Fey;3
1. 1. Ryvang;F;Socialistisk Folkeparti;Hellen Hedemann;1
1. 1. Ryvang;F;Socialistisk Folkeparti;Frank Hedegaard;5
1. 1. Ryvang;F;Socialistisk Folkeparti;Trine Schaltz;2
1. 1. Ryvang;F;Socialistisk Folkeparti;Jens Johansen;2
1. 1. Ryvang;F;Socialistisk Folkeparti;Jesper Laugesen;7
1. 1. Ryvang;F;Socialistisk Folkeparti;Sven Milthers;3
1. 1. Ryvang;F;Socialistisk Folkeparti;Claus Knudsen;0
1. 1. Ryvang;F;Socialistisk Folkeparti;Britt Lisbjerg;1
1. 1. Ryvang;F;Socialistisk Folkeparti;Kresten Thomsen;2
1. 1. Ryvang;F;Socialistisk Folkeparti;Bjarne Petersen;1
1. 1. Ryvang;F;Socialistisk Folkeparti;Torben Kastrup;2
1. 1. Ryvang;F;Socialistisk Folkeparti;Lise Granerud;2
1. 1. Ryvang;F;Socialistisk Folkeparti;Henrik Brandt;0
1. 1. Ryvang;F;Socialistisk Folkeparti;Rolando Muñoz;0
1. 1. Ryvang;F;Socialistisk Folkeparti;Erik Willumsgaard;0
1. 1. Ryvang;F;Socialistisk Folkeparti;Claus Staal;0
1. 1. Ryvang;F;Socialistisk Folkeparti;Heinrich Metz;4
1. 1. Ryvang;F;Socialistisk Folkeparti;Nicholas T. Farr;2
1. 1. Ryvang;F;Socialistisk Folkeparti;Thomas Skovhus Eriksen;1
1. 1. Ryvang;G;De Grønne;Listestemmer;4
1. 1. Ryvang;G;De Grønne;Jean Thierry;2
1. 1. Ryvang;G;De Grønne;Louise Kragh;2
1. 1. Ryvang;G;De Grønne;Frederik Groth;0
1. 1. Ryvang;G;De Grønne;Kris Ømann;0
1. 1. Ryvang;G;De Grønne;Allan Christensen;1
1. 1. Ryvang;H;Det Humanistiske Parti;Listestemmer;1
1. 1. Ryvang;H;Det Humanistiske Parti;Lars Kramer Kristensen;0
1. 1. Ryvang;H;Det Humanistiske Parti;Dorthe Ellekær Jensen;0
1. 1. Ryvang;I;Grønne Demokrater;Listestemmer;0
1. 1. Ryvang;I;Grønne Demokrater;Niels M. Uldall;0
1. 1. Ryvang;I;Grønne Demokrater;Lissi Annette Petersen;0
1. 1. Ryvang;I;Grønne Demokrater;Dave Michael Grønvall-Pedersen;1
1. 1. Ryvang;I;Grønne Demokrater;Johannes Nielsen;0
1. 1. Ryvang;J;Hampepartiet;Listestemmer;8
1. 1. Ryvang;J;Hampepartiet;Klaus Tuxen;8
1. 1. Ryvang;K;Kristendemokraterne;Listestemmer;23
1. 1. Ryvang;K;Kristendemokraterne;Katja Bojsen;22
1. 1. Ryvang;K;Kristendemokraterne;Michael Hedelund;0
1. 1. Ryvang;K;Kristendemokraterne;Nanna Bock;1
1. 1. Ryvang;K;Kristendemokraterne;Heino H. Gehlsen;0
1. 1. Ryvang;K;Kristendemokraterne;Peter Sonne;0
1. 1. Ryvang;K;Kristendemokraterne;Kirsten Elise Ottosen;0
1. 1. Ryvang;K;Kristendemokraterne;Gunnar Bjørn Thomsen;0
1. 1. Ryvang;K;Kristendemokraterne;Jørgen Hans Maltesen;0
1. 1. Ryvang;K;Kristendemokraterne;Henrik Gunnertoft;1
1. 1. Ryvang;K;Kristendemokraterne;Kevin Nordmand Andersen;1
1. 1. Ryvang;K;Kristendemokraterne;Andreas Eriksen;3
1. 1. Ryvang;K;Kristendemokraterne;Jens Lund Jensen;0
1. 1. Ryvang;L;Gratis Lykke;Listestemmer;1
1. 1. Ryvang;L;Gratis Lykke;Claus Ankersen;0
1. 1. Ryvang;L;Gratis Lykke;Klaus Bo Christensen;0
1. 1. Ryvang;M;Minoritetspartiet;Listestemmer;1
1. 1. Ryvang;M;Minoritetspartiet;Abdul Wahid Pedersen;10
1. 1. Ryvang;M;Minoritetspartiet;Mona Andersen;0
1. 1. Ryvang;M;Minoritetspartiet;Ulla Carstensen;0
1. 1. Ryvang;M;Minoritetspartiet;Erik Bock;0
1. 1. Ryvang;N;Velfærdslisten;Listestemmer;1
1. 1. Ryvang;N;Velfærdslisten;John Erik Wagner;2
1. 1. Ryvang;O;Dansk Folkeparti;Listestemmer;103
1. 1. Ryvang;O;Dansk Folkeparti;Louise Frevert;208
1. 1. Ryvang;O;Dansk Folkeparti;Carl Christian Ebbesen;8
1. 1. Ryvang;O;Dansk Folkeparti;Karin Storgaard;29
1. 1. Ryvang;O;Dansk Folkeparti;Heidi Frifeldt;3
1. 1. Ryvang;O;Dansk Folkeparti;Jørn Hindkjær;0
1. 1. Ryvang;O;Dansk Folkeparti;Henrik Svendsen;2
1. 1. Ryvang;O;Dansk Folkeparti;Anet Burchard;0
1. 1. Ryvang;O;Dansk Folkeparti;Jette M. Bertelsen;0
1. 1. Ryvang;O;Dansk Folkeparti;Sonja M. Pedersen;3
