Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
2591. Køge By - Midt;A;Socialdemokratiet;Listestemmer;914
2591. Køge By - Midt;A;Socialdemokratiet;Torben Hansen;547
2591. Køge By - Midt;A;Socialdemokratiet;Randi Hansen;8
2591. Køge By - Midt;A;Socialdemokratiet;Mads Andersen;29
2591. Køge By - Midt;A;Socialdemokratiet;Kirsten Persson;6
2591. Køge By - Midt;A;Socialdemokratiet;Mikael Mogensen;35
2591. Køge By - Midt;A;Socialdemokratiet;Lene Andersen;20
2591. Køge By - Midt;A;Socialdemokratiet;Bo Christiansen;3
2591. Køge By - Midt;A;Socialdemokratiet;Marie Stærke;44
2591. Køge By - Midt;A;Socialdemokratiet;Simon Bauer;24
2591. Køge By - Midt;A;Socialdemokratiet;Erik Swiatek;0
2591. Køge By - Midt;A;Socialdemokratiet;Lissie Kirk;15
2591. Køge By - Midt;A;Socialdemokratiet;Rasmus Felt;27
2591. Køge By - Midt;A;Socialdemokratiet;Morten Folsø Nielsen;0
2591. Køge By - Midt;A;Socialdemokratiet;Veli Ince;8
2591. Køge By - Midt;A;Socialdemokratiet;Karen Marie Jensen;4
2591. Køge By - Midt;A;Socialdemokratiet;Per Nielsen;0
2591. Køge By - Midt;A;Socialdemokratiet;Freddy Jensen;2
2591. Køge By - Midt;A;Socialdemokratiet;Jens Jørgensen;1
2591. Køge By - Midt;A;Socialdemokratiet;Bent Nielsen;0
2591. Køge By - Midt;A;Socialdemokratiet;Finn Hildebrandt;0
2591. Køge By - Midt;A;Socialdemokratiet;Henrik Skou Jensen;0
2591. Køge By - Midt;B;Det Radikale Venstre;Listestemmer;98
2591. Køge By - Midt;B;Det Radikale Venstre;Claus Steen Petersen, Køge;35
2591. Køge By - Midt;B;Det Radikale Venstre;Gry Mylov, Vemmedrup;6
2591. Køge By - Midt;B;Det Radikale Venstre;Mette Arthury, Køge;8
2591. Køge By - Midt;B;Det Radikale Venstre;Lav Hansen, Borup;0
2591. Køge By - Midt;B;Det Radikale Venstre;Søren Gommesen, Køge;3
2591. Køge By - Midt;B;Det Radikale Venstre;Egon Vestergaard Toft, Ejby;0
2591. Køge By - Midt;B;Det Radikale Venstre;Karl Guldberg Kristjansen, Køge;0
2591. Køge By - Midt;B;Det Radikale Venstre;Bjørn Ole Blikdal, Køge;0
2591. Køge By - Midt;B;Det Radikale Venstre;Inge Christiansen, Køge;4
2591. Køge By - Midt;C;Det Konservative Folkeparti;Listestemmer;277
2591. Køge By - Midt;C;Det Konservative Folkeparti;Flemming Christensen, Køge;168
2591. Køge By - Midt;C;Det Konservative Folkeparti;Anette Simoni, Borup;4
2591. Køge By - Midt;C;Det Konservative Folkeparti;Lykke Outzen, Køge Nord;14
2591. Køge By - Midt;C;Det Konservative Folkeparti;Torsten Lykke Hansen, Ejby;4
2591. Køge By - Midt;C;Det Konservative Folkeparti;Søren Mathiesen, Sædder;11
2591. Køge By - Midt;C;Det Konservative Folkeparti;Preben Moliin, Nr. Dalby;2
2591. Køge By - Midt;C;Det Konservative Folkeparti;Steen Lassen, Vedskølle;3
2591. Køge By - Midt;C;Det Konservative Folkeparti;Mie Lund, Vollerslev;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Hans Andersen, Køge;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Steen Madsen, Nr. Dalby;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Lars R. Bentsen, Køge;3
2591. Køge By - Midt;C;Det Konservative Folkeparti;Tony H. Larsen, Borup;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Anne Pilebo, Hastrup;2
2591. Køge By - Midt;C;Det Konservative Folkeparti;Ursula Lykke Hansen, Ejby;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Claus Poulsen, Lille Skensved;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Finn von Bülow, Slimminge;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Martin D. Ekelund, Borup;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Kim R. Andersen, Borup;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Søren M. Andersen, Borup;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Arne C. Ipsen, Borup;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Jette Møller Jensen, Vemmedrup;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Bruno Lund, Gørslev;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Kurt Munk Pedersen, Borup;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Ellen Margrethe Månsson,Bjæverskov;0
2591. Køge By - Midt;C;Det Konservative Folkeparti;Frank Mathiassen, Køge;6
2591. Køge By - Midt;F;Socialistisk Folkeparti;Listestemmer;150
2591. Køge By - Midt;F;Socialistisk Folkeparti;Johnna Stark, Lille Skensved;28
2591. Køge By - Midt;F;Socialistisk Folkeparti;Erling Thomsen, Køge;50
2591. Køge By - Midt;F;Socialistisk Folkeparti;Elise Høyrup Enrum, Nr. Dalby;1
2591. Køge By - Midt;F;Socialistisk Folkeparti;Orla Johannsen, Bjæverskov;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Kim Christian Jensen, Køge;3
2591. Køge By - Midt;F;Socialistisk Folkeparti;Martin Juul Jensen, Slimminge;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Torben Haack, Lellinge;2
2591. Køge By - Midt;F;Socialistisk Folkeparti;Anne-Marie Rasmussen, Dyndet;1
2591. Køge By - Midt;F;Socialistisk Folkeparti;Mette Olsen, Køge;8
2591. Køge By - Midt;F;Socialistisk Folkeparti;Bent Ramsnæs, Borup;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Rie Christiansen, Sædder;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Hanne Würtz, Borup;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Doris Rasmussen, Køge;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Axel Rasmussen, Dyndet;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Lisbeth Henriksen, Køge;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Kirsten Lund, Ejby;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Vagn Jensen, Køge;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Per Kjøller Jensen, Borup;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Ingrid Ottesen, Borup;0
2591. Køge By - Midt;F;Socialistisk Folkeparti;Jesper Brandt Hansen, Borup;1
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Listestemmer;17
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Finn Buch Petersen, Skovbo;5
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Martin B. Lindstrøm, Borup;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Suzan Christensen, Vemmedrup;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Lars Ploug Holm, Skovbo;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Mogens Tranders, Skovbo;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Bendt Lundsbjerg, Skovbo;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Søren Risager Nielsen, Køge;2
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Claus Oster, Skovbo;1
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Joel Wedell, Skovbo;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Jess Buch Petersen, Lellinge;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Ole Christensen, Vemmedrup;1
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Margit Vikkelsø Tranders, Ejby;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Caspar Kirkegaard Bek, Skovbo;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Bodil Christensen, Skovbo;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Mia Worsøe Hansen, Køge;3
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Erling Fundal, Borup;1
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Svend Åge Jørgensen, Skovbo;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Christian Maabjerg, Ejby;1
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Preben Andersen, Skovbo;0
2591. Køge By - Midt;I;Den Upolitiske Borgerliste;Martin Lundgren, Skovbo;0
2591. Køge By - Midt;K;Kristendemokraterne;Listestemmer;14
2591. Køge By - Midt;K;Kristendemokraterne;Peder Bjørn Madsen, Køge;6
2591. Køge By - Midt;K;Kristendemokraterne;Metha Kirstine Kjeldsen, Skovbo;3
2591. Køge By - Midt;K;Kristendemokraterne;Benno Johan Nielsen, Borup;0
2591. Køge By - Midt;K;Kristendemokraterne;Peder Hansen, Køge;1
2591. Køge By - Midt;K;Kristendemokraterne;Gregers Gunnar Jensen, Skovbo;1
2591. Køge By - Midt;L;Forældrelisten;Listestemmer;65
2591. Køge By - Midt;L;Forældrelisten;Jane Ellingsen;36
2591. Køge By - Midt;L;Forældrelisten;Kent Skou Nielsen;4
2591. Køge By - Midt;L;Forældrelisten;Ulrich Pade;3
2591. Køge By - Midt;L;Forældrelisten;Lisbeth Christensen;0
2591. Køge By - Midt;L;Forældrelisten;Søren Kristensen;0
2591. Køge By - Midt;L;Forældrelisten;Anders Harrekilde;5
2591. Køge By - Midt;L;Forældrelisten;Thomas Hansen;1
2591. Køge By - Midt;L;Forældrelisten;Søs Ammentorp;1
2591. Køge By - Midt;L;Forældrelisten;Bjarne Strange Nielsen;0
2591. Køge By - Midt;L;Forældrelisten;Johnny Christensen;0
2591. Køge By - Midt;N;Solidaritet;Listestemmer;1
2591. Køge By - Midt;N;Solidaritet;Tommy Andersen, Skovbo;0
2591. Køge By - Midt;N;Solidaritet;Hans Rosenfalck, Skovbo;0
2591. Køge By - Midt;O;Dansk Folkeparti;Listestemmer;176
2591. Køge By - Midt;O;Dansk Folkeparti;John Kellberg, Køge;71
2591. Køge By - Midt;O;Dansk Folkeparti;Rene Jespersen, Køge;6
