Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
6651. Lemvig;A;Socialdemokratiet;Listestemmer;1027
6651. Lemvig;A;Socialdemokratiet;Frank Rud Jensen;366
6651. Lemvig;A;Socialdemokratiet;Kirsten Martine Madsen;162
6651. Lemvig;A;Socialdemokratiet;Jørgen Krarup Andersen;23
6651. Lemvig;A;Socialdemokratiet;Vagn Erik Jespersen;26
6651. Lemvig;A;Socialdemokratiet;Jørn Hanghøj;8
6651. Lemvig;A;Socialdemokratiet;Karsten Dyrberg Kragelund;150
6651. Lemvig;A;Socialdemokratiet;John Bruun Holm;5
6651. Lemvig;A;Socialdemokratiet;Kenneth Bro;95
6651. Lemvig;A;Socialdemokratiet;Gunnar Krarup Andersen;5
6651. Lemvig;A;Socialdemokratiet;Margit Meklenborg Lauridsen;10
6651. Lemvig;A;Socialdemokratiet;John Thagaard Kristensen;1
6651. Lemvig;A;Socialdemokratiet;Ole Rømer;11
6651. Lemvig;A;Socialdemokratiet;Allan Mose Jakobsen;8
6651. Lemvig;B;Det Radikale Venstre;Listestemmer;90
6651. Lemvig;B;Det Radikale Venstre;Mette Trolle Rasmussen;15
6651. Lemvig;B;Det Radikale Venstre;Anna Maria Hoornenborg;9
6651. Lemvig;B;Det Radikale Venstre;Arne Øe;6
6651. Lemvig;B;Det Radikale Venstre;Dorete Søndergaard Kallesøe;20
6651. Lemvig;B;Det Radikale Venstre;Viktor Johansen Iversen;1
6651. Lemvig;B;Det Radikale Venstre;Jens Christian Møller;2
6651. Lemvig;C;Det Konservative Folkeparti;Listestemmer;433
6651. Lemvig;C;Det Konservative Folkeparti;Gunhild Irene Jeppesen;180
6651. Lemvig;C;Det Konservative Folkeparti;Gitte Mollerup Bitsch;47
6651. Lemvig;C;Det Konservative Folkeparti;John Vendelbo;82
6651. Lemvig;C;Det Konservative Folkeparti;Michael Ørskov Pedersen;7
6651. Lemvig;C;Det Konservative Folkeparti;Steen Bøgvad Nielsen;38
6651. Lemvig;C;Det Konservative Folkeparti;Jens Jørn Porup;8
6651. Lemvig;C;Det Konservative Folkeparti;Kim Tatt Jakobsen;16
6651. Lemvig;C;Det Konservative Folkeparti;Joan Dahl Ravnsbæk;13
6651. Lemvig;C;Det Konservative Folkeparti;Tomas Bjerre;13
6651. Lemvig;F;Socialistisk Folkeparti;Listestemmer;229
6651. Lemvig;F;Socialistisk Folkeparti;Elisabeth Rose Moltke;133
6651. Lemvig;F;Socialistisk Folkeparti;Elsebeth Villadsen;14
6651. Lemvig;F;Socialistisk Folkeparti;Thomas Winther Jensen;3
6651. Lemvig;F;Socialistisk Folkeparti;Anne Sig Vestergaard;4
6651. Lemvig;F;Socialistisk Folkeparti;Marie Hyldgaard Poulsen;12
6651. Lemvig;F;Socialistisk Folkeparti;Arne Noe;1
6651. Lemvig;F;Socialistisk Folkeparti;Vita Marie Mose Jensen;11
6651. Lemvig;F;Socialistisk Folkeparti;Søren Lindgreen Christensen;0
6651. Lemvig;F;Socialistisk Folkeparti;Bjarne Hemming Klokker;10
6651. Lemvig;F;Socialistisk Folkeparti;Jens Bo Kristiansen;1
6651. Lemvig;K;Kristendemokraterne;Listestemmer;152
6651. Lemvig;K;Kristendemokraterne;Henrik Suderbæk Thygesen;97
6651. Lemvig;K;Kristendemokraterne;Malene Toft;3
6651. Lemvig;K;Kristendemokraterne;Bent Asger Nymark Hansen;7
6651. Lemvig;K;Kristendemokraterne;Betina Trumpf Nielsen;2
6651. Lemvig;K;Kristendemokraterne;Birthe Gøtzsche;7
6651. Lemvig;K;Kristendemokraterne;Bendt Toft Dissing;3
6651. Lemvig;K;Kristendemokraterne;Ingrid Hartman Vestergaard;3
6651. Lemvig;K;Kristendemokraterne;Jonna Kirstine Iversen;2
6651. Lemvig;K;Kristendemokraterne;Meta Bech Jørgensen;5
6651. Lemvig;K;Kristendemokraterne;Solveig Thorsager Aalbæk;4
6651. Lemvig;K;Kristendemokraterne;Randi Wichmann Engel Aillaud;5
6651. Lemvig;N;Land- og Bylisten;Listestemmer;138
6651. Lemvig;N;Land- og Bylisten;Orla Østerby;30
6651. Lemvig;N;Land- og Bylisten;Lars Peder Løkke;17
6651. Lemvig;N;Land- og Bylisten;Jesper Andreas Blom-Hansen;20
6651. Lemvig;N;Land- og Bylisten;Ida Elisabeth Stefensen Balle;1
6651. Lemvig;N;Land- og Bylisten;Tina Boel Christensen;4
6651. Lemvig;N;Land- og Bylisten;Bo Lisby Nielsen;2
6651. Lemvig;N;Land- og Bylisten;Geir de Lange;13
6651. Lemvig;N;Land- og Bylisten;Michael Brun;26
6651. Lemvig;N;Land- og Bylisten;Inger Buus Madsen;3
6651. Lemvig;N;Land- og Bylisten;Hans Peter Hjortkjær;8
6651. Lemvig;O;Dansk Folkeparti;Listestemmer;88
6651. Lemvig;O;Dansk Folkeparti;Jette Jespersen;32
6651. Lemvig;O;Dansk Folkeparti;Karl Balleby Jensen;25
6651. Lemvig;O;Dansk Folkeparti;Henning Holmgård;3
6651. Lemvig;O;Dansk Folkeparti;Jørgen Helmer Jespersen;2
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Listestemmer;744
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Jørgen Andreas Nørby;547
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Nina Karin Svanborg;1
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Gunnar Lisby Kjær;18
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Bodil Kirstine Jensen;29
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Svend Erik Højgaard;4
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Christian Futtrup;6
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Erling Nellemann Radoor Jensen;29
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Svend Erik Vistisen;34
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Karsten Bjerg;10
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Keld Jørn Dalgaard Jensen;6
6651. Lemvig;V1;Venstre, Danmarks Liberale Parti;Birthe Agnethe Vendelbo;36
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Listestemmer;1199
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Erik Flyvholm;1027
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Ulla Raundahl;111
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Ole Bro Toft;3
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Steffen Husted Damsgaard;21
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Arne Kirkegaard Nexø;5
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Knud Erik Abildtrup;8
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Mogens Daugaard Christensen;1
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Henning Dahl Stokkendahl;6
6651. Lemvig;V2;Venstre, Danmarks Liberale Parti;Vagn Thode Nielsen;2
6652. Nørre Nissum;A;Socialdemokratiet;Listestemmer;293
6652. Nørre Nissum;A;Socialdemokratiet;Frank Rud Jensen;97
6652. Nørre Nissum;A;Socialdemokratiet;Kirsten Martine Madsen;36
6652. Nørre Nissum;A;Socialdemokratiet;Jørgen Krarup Andersen;4
6652. Nørre Nissum;A;Socialdemokratiet;Vagn Erik Jespersen;9
6652. Nørre Nissum;A;Socialdemokratiet;Jørn Hanghøj;2
6652. Nørre Nissum;A;Socialdemokratiet;Karsten Dyrberg Kragelund;15
6652. Nørre Nissum;A;Socialdemokratiet;John Bruun Holm;1
6652. Nørre Nissum;A;Socialdemokratiet;Kenneth Bro;54
6652. Nørre Nissum;A;Socialdemokratiet;Gunnar Krarup Andersen;2
6652. Nørre Nissum;A;Socialdemokratiet;Margit Meklenborg Lauridsen;1
6652. Nørre Nissum;A;Socialdemokratiet;John Thagaard Kristensen;2
6652. Nørre Nissum;A;Socialdemokratiet;Ole Rømer;7
6652. Nørre Nissum;A;Socialdemokratiet;Allan Mose Jakobsen;1
6652. Nørre Nissum;B;Det Radikale Venstre;Listestemmer;78
6652. Nørre Nissum;B;Det Radikale Venstre;Mette Trolle Rasmussen;6
6652. Nørre Nissum;B;Det Radikale Venstre;Anna Maria Hoornenborg;1
6652. Nørre Nissum;B;Det Radikale Venstre;Arne Øe;27
6652. Nørre Nissum;B;Det Radikale Venstre;Dorete Søndergaard Kallesøe;12
6652. Nørre Nissum;B;Det Radikale Venstre;Viktor Johansen Iversen;1
6652. Nørre Nissum;B;Det Radikale Venstre;Jens Christian Møller;4
6652. Nørre Nissum;C;Det Konservative Folkeparti;Listestemmer;168
6652. Nørre Nissum;C;Det Konservative Folkeparti;Gunhild Irene Jeppesen;29
6652. Nørre Nissum;C;Det Konservative Folkeparti;Gitte Mollerup Bitsch;71
6652. Nørre Nissum;C;Det Konservative Folkeparti;John Vendelbo;7
6652. Nørre Nissum;C;Det Konservative Folkeparti;Michael Ørskov Pedersen;2
6652. Nørre Nissum;C;Det Konservative Folkeparti;Steen Bøgvad Nielsen;2
6652. Nørre Nissum;C;Det Konservative Folkeparti;Jens Jørn Porup;35
6652. Nørre Nissum;C;Det Konservative Folkeparti;Kim Tatt Jakobsen;4
6652. Nørre Nissum;C;Det Konservative Folkeparti;Joan Dahl Ravnsbæk;0
6652. Nørre Nissum;C;Det Konservative Folkeparti;Tomas Bjerre;2
6652. Nørre Nissum;F;Socialistisk Folkeparti;Listestemmer;141
6652. Nørre Nissum;F;Socialistisk Folkeparti;Elisabeth Rose Moltke;65
6652. Nørre Nissum;F;Socialistisk Folkeparti;Elsebeth Villadsen;10
6652. Nørre Nissum;F;Socialistisk Folkeparti;Thomas Winther Jensen;6
6652. Nørre Nissum;F;Socialistisk Folkeparti;Anne Sig Vestergaard;6
6652. Nørre Nissum;F;Socialistisk Folkeparti;Marie Hyldgaard Poulsen;0
6652. Nørre Nissum;F;Socialistisk Folkeparti;Arne Noe;2
6652. Nørre Nissum;F;Socialistisk Folkeparti;Vita Marie Mose Jensen;1
6652. Nørre Nissum;F;Socialistisk Folkeparti;Søren Lindgreen Christensen;0
6652. Nørre Nissum;F;Socialistisk Folkeparti;Bjarne Hemming Klokker;3
6652. Nørre Nissum;F;Socialistisk Folkeparti;Jens Bo Kristiansen;11
6652. Nørre Nissum;K;Kristendemokraterne;Listestemmer;86
6652. Nørre Nissum;K;Kristendemokraterne;Henrik Suderbæk Thygesen;55
6652. Nørre Nissum;K;Kristendemokraterne;Malene Toft;1
6652. Nørre Nissum;K;Kristendemokraterne;Bent Asger Nymark Hansen;2
6652. Nørre Nissum;K;Kristendemokraterne;Betina Trumpf Nielsen;1
6652. Nørre Nissum;K;Kristendemokraterne;Birthe Gøtzsche;4
6652. Nørre Nissum;K;Kristendemokraterne;Bendt Toft Dissing;4
6652. Nørre Nissum;K;Kristendemokraterne;Ingrid Hartman Vestergaard;1
6652. Nørre Nissum;K;Kristendemokraterne;Jonna Kirstine Iversen;1
6652. Nørre Nissum;K;Kristendemokraterne;Meta Bech Jørgensen;0
6652. Nørre Nissum;K;Kristendemokraterne;Solveig Thorsager Aalbæk;1
6652. Nørre Nissum;K;Kristendemokraterne;Randi Wichmann Engel Aillaud;1
6652. Nørre Nissum;N;Land- og Bylisten;Listestemmer;63
6652. Nørre Nissum;N;Land- og Bylisten;Orla Østerby;16
6652. Nørre Nissum;N;Land- og Bylisten;Lars Peder Løkke;1
6652. Nørre Nissum;N;Land- og Bylisten;Jesper Andreas Blom-Hansen;7
