Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Listestemmer;582
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Henning Jensen, Næstved;270
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Per Andersen, Næstved;1
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Carsten Rasmussen, Næstved;3
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Linda Frederiksen, Suså;8
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Søren Dysted, Holmegaard;9
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Lisbet Skov, Fladså;1
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Kirsten Andersen, Fuglebjerg;116
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Dusan Jovanovic, Næstved;0
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Per Sørensen, Næstved;3
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Birgit Lund Terp, Næstved;0
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Lene Koustrup Madsen, Suså;44
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Daniel Lillerøi Nielsen, Suså;4
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Lindy Nymark Christensen, Næstved;0
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;John Lauritzen, Holmegaard;2
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Per Boserup Olsen, Næstved;0
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Kurt Sørensen, Holmegaard;0
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Liselotte Petersen, Næstved;1
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Lene Lassen, Næstved;1
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Susanne Lundvald, Næstved;0
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Bjarne Mikkelsen, Suså;0
3071. Fuglebjerg-Hallen;A;Socialdemokratiet;Janne G. Nissen, Holmegaard;1
