Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Odder;A;Socialdemokratiet;Listestemmer;438
1. Odder;A;Socialdemokratiet;Elvin J. Hansen;844
1. Odder;A;Socialdemokratiet;Elsebeth D. Bertelsen;267
1. Odder;A;Socialdemokratiet;Mona Langballe;265
1. Odder;A;Socialdemokratiet;Lars Grønlund;68
1. Odder;A;Socialdemokratiet;Nicolai Ramsdal Jensen;37
1. Odder;A;Socialdemokratiet;Axel Iversen;23
1. Odder;A;Socialdemokratiet;Hans Jegindø;70
1. Odder;A;Socialdemokratiet;Helle Trolle;38
1. Odder;A;Socialdemokratiet;Fritze Kjærgaard;14
1. Odder;A;Socialdemokratiet;Steffen Rossov;65
1. Odder;A;Socialdemokratiet;Frede Borg-Jensen;25
1. Odder;A;Socialdemokratiet;Bent Robdrup Johansen;29
1. Odder;B;Det Radikale Venstre;Listestemmer;122
1. Odder;B;Det Radikale Venstre;Svend Erik Jensen;42
1. Odder;B;Det Radikale Venstre;Lynge Kjeldsen;12
1. Odder;B;Det Radikale Venstre;Anne Rerup;34
1. Odder;B;Det Radikale Venstre;Niels Jørgen Hviid;3
1. Odder;B;Det Radikale Venstre;Birte Calmar Andersen;33
1. Odder;C;Det Konservative Folkeparti;Listestemmer;121
1. Odder;C;Det Konservative Folkeparti;Verner Møller;596
1. Odder;C;Det Konservative Folkeparti;Hans Midtgaard;59
1. Odder;C;Det Konservative Folkeparti;Henrik Taul;68
1. Odder;C;Det Konservative Folkeparti;Niels Rosenberg;156
1. Odder;C;Det Konservative Folkeparti;Morten Hermansen;3
1. Odder;C;Det Konservative Folkeparti;Vagn Olesen;6
1. Odder;C;Det Konservative Folkeparti;Elise Jensen;11
1. Odder;C;Det Konservative Folkeparti;Lennart Gissel;0
1. Odder;C;Det Konservative Folkeparti;Jon Bahl;32
1. Odder;F;Socialistisk Folkeparti;Listestemmer;133
1. Odder;F;Socialistisk Folkeparti;Sanne Rubinke;376
1. Odder;F;Socialistisk Folkeparti;Marianne Hundebøll;24
1. Odder;F;Socialistisk Folkeparti;Tobias Roed Jensen;17
1. Odder;F;Socialistisk Folkeparti;Mogens Bedsted;14
1. Odder;F;Socialistisk Folkeparti;Mikael Dahl-Jensen;7
1. Odder;F;Socialistisk Folkeparti;Ejgil Brauer;9
1. Odder;H;Odder Kommuneliste;Listestemmer;55
1. Odder;H;Odder Kommuneliste;Bruno Møller;87
1. Odder;H;Odder Kommuneliste;Morten Toft;22
1. Odder;H;Odder Kommuneliste;Jon Jensen;30
1. Odder;H;Odder Kommuneliste;Stine Bräuner Nielsen;36
1. Odder;H;Odder Kommuneliste;Bjarne Routhe;10
1. Odder;H;Odder Kommuneliste;Jesper Næsborg;18
1. Odder;H;Odder Kommuneliste;Poul Henning Jensen;1
1. Odder;L;Den Åbne Miljøliste;Listestemmer;63
1. Odder;L;Den Åbne Miljøliste;Hanne Broe;161
1. Odder;L;Den Åbne Miljøliste;Ole Bach;21
1. Odder;L;Den Åbne Miljøliste;Ib Salomon;15
1. Odder;L;Den Åbne Miljøliste;Holger Ø. Mortensen;0
1. Odder;L;Den Åbne Miljøliste;Erik Borg;10
1. Odder;O;Dansk Folkeparti;Listestemmer;136
1. Odder;O;Dansk Folkeparti;Rita Eris Kjær;70
1. Odder;O;Dansk Folkeparti;Bernt Kjær;5
1. Odder;O;Dansk Folkeparti;Kim Basland;16
1. Odder;O;Dansk Folkeparti;Egon K. Fisker;1
1. Odder;V;Venstre, Danmarks Liberale Parti;Listestemmer;363
1. Odder;V;Venstre, Danmarks Liberale Parti;Niels-Ulrik Bugge;609
1. Odder;V;Venstre, Danmarks Liberale Parti;Preben Østergaard;23
1. Odder;V;Venstre, Danmarks Liberale Parti;Knud Appel;33
1. Odder;V;Venstre, Danmarks Liberale Parti;Per Ringgaard;185
1. Odder;V;Venstre, Danmarks Liberale Parti;Bjarne Funch Skipper;7
1. Odder;V;Venstre, Danmarks Liberale Parti;Bent Jacobsen;18
1. Odder;V;Venstre, Danmarks Liberale Parti;Niels Povlsgaard Jensen;11
1. Odder;V;Venstre, Danmarks Liberale Parti;Mette Nørfelt;18
1. Odder;V;Venstre, Danmarks Liberale Parti;Jens Jacob Bonde;32
1. Odder;V;Venstre, Danmarks Liberale Parti;Lone Maas;18
1. Odder;V;Venstre, Danmarks Liberale Parti;Hanne Thvilum;88
1. Odder;V;Venstre, Danmarks Liberale Parti;Erik Holm;19
1. Odder;V;Venstre, Danmarks Liberale Parti;Finn Thranum;37
1. Odder;V;Venstre, Danmarks Liberale Parti;Karsten Haufort;2
1. Odder;V;Venstre, Danmarks Liberale Parti;René Krongaard;50
1. Odder;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;45
1. Odder;Ø;Enhedslisten - De Rød-Grønne;Jens E. Buur;24
1. Odder;Ø;Enhedslisten - De Rød-Grønne;Mick Woods;10
2. Torrild;A;Socialdemokratiet;Listestemmer;18
2. Torrild;A;Socialdemokratiet;Elvin J. Hansen;49
2. Torrild;A;Socialdemokratiet;Elsebeth D. Bertelsen;11
2. Torrild;A;Socialdemokratiet;Mona Langballe;4
2. Torrild;A;Socialdemokratiet;Lars Grønlund;2
2. Torrild;A;Socialdemokratiet;Nicolai Ramsdal Jensen;0
2. Torrild;A;Socialdemokratiet;Axel Iversen;2
2. Torrild;A;Socialdemokratiet;Hans Jegindø;2
2. Torrild;A;Socialdemokratiet;Helle Trolle;0
2. Torrild;A;Socialdemokratiet;Fritze Kjærgaard;1
2. Torrild;A;Socialdemokratiet;Steffen Rossov;1
2. Torrild;A;Socialdemokratiet;Frede Borg-Jensen;2
2. Torrild;A;Socialdemokratiet;Bent Robdrup Johansen;1
2. Torrild;B;Det Radikale Venstre;Listestemmer;4
2. Torrild;B;Det Radikale Venstre;Svend Erik Jensen;0
2. Torrild;B;Det Radikale Venstre;Lynge Kjeldsen;0
2. Torrild;B;Det Radikale Venstre;Anne Rerup;0
2. Torrild;B;Det Radikale Venstre;Niels Jørgen Hviid;0
2. Torrild;B;Det Radikale Venstre;Birte Calmar Andersen;0
2. Torrild;C;Det Konservative Folkeparti;Listestemmer;1
2. Torrild;C;Det Konservative Folkeparti;Verner Møller;3
2. Torrild;C;Det Konservative Folkeparti;Hans Midtgaard;0
2. Torrild;C;Det Konservative Folkeparti;Henrik Taul;1
2. Torrild;C;Det Konservative Folkeparti;Niels Rosenberg;6
2. Torrild;C;Det Konservative Folkeparti;Morten Hermansen;0
2. Torrild;C;Det Konservative Folkeparti;Vagn Olesen;0
2. Torrild;C;Det Konservative Folkeparti;Elise Jensen;0
2. Torrild;C;Det Konservative Folkeparti;Lennart Gissel;0
2. Torrild;C;Det Konservative Folkeparti;Jon Bahl;1
2. Torrild;F;Socialistisk Folkeparti;Listestemmer;5
2. Torrild;F;Socialistisk Folkeparti;Sanne Rubinke;12
2. Torrild;F;Socialistisk Folkeparti;Marianne Hundebøll;0
2. Torrild;F;Socialistisk Folkeparti;Tobias Roed Jensen;2
2. Torrild;F;Socialistisk Folkeparti;Mogens Bedsted;6
2. Torrild;F;Socialistisk Folkeparti;Mikael Dahl-Jensen;0
2. Torrild;F;Socialistisk Folkeparti;Ejgil Brauer;0
2. Torrild;H;Odder Kommuneliste;Listestemmer;0
