Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Østre Kulturcenter;A;Socialdemokratiet;Listestemmer;367
1. Østre Kulturcenter;A;Socialdemokratiet;Anker Boye;904
1. Østre Kulturcenter;A;Socialdemokratiet;Søren Thorsager;62
1. Østre Kulturcenter;A;Socialdemokratiet;Helle Nielsen;34
1. Østre Kulturcenter;A;Socialdemokratiet;Tina Bue Jensen;20
1. Østre Kulturcenter;A;Socialdemokratiet;Jesper Kinch-Jensen;26
1. Østre Kulturcenter;A;Socialdemokratiet;Maiken Baagøe;55
1. Østre Kulturcenter;A;Socialdemokratiet;Benny Nybo;16
1. Østre Kulturcenter;A;Socialdemokratiet;Leif Knudsen;8
1. Østre Kulturcenter;A;Socialdemokratiet;Torben Hangaard;21
1. Østre Kulturcenter;A;Socialdemokratiet;Jess Heilbo;9
1. Østre Kulturcenter;A;Socialdemokratiet;Thomas Funding;60
1. Østre Kulturcenter;A;Socialdemokratiet;Peter Nielsen;56
1. Østre Kulturcenter;A;Socialdemokratiet;Søren Hansen;10
1. Østre Kulturcenter;A;Socialdemokratiet;Frank Lundgren;2
1. Østre Kulturcenter;A;Socialdemokratiet;Elsebeth Mortensen Pedersen;9
1. Østre Kulturcenter;A;Socialdemokratiet;Jamshid Mazaheri;4
1. Østre Kulturcenter;A;Socialdemokratiet;Michael Mai;2
1. Østre Kulturcenter;A;Socialdemokratiet;Mohammed Mansour;7
1. Østre Kulturcenter;A;Socialdemokratiet;Ingrid K. Jensen;2
1. Østre Kulturcenter;A;Socialdemokratiet;Bo Vejgaard Jørgensen;2
1. Østre Kulturcenter;A;Socialdemokratiet;Johan Schmeltz;5
1. Østre Kulturcenter;A;Socialdemokratiet;Ole Pedersen;3
1. Østre Kulturcenter;A;Socialdemokratiet;Tommy P. Magnussen;14
1. Østre Kulturcenter;A;Socialdemokratiet;Gary Lindberg;3
1. Østre Kulturcenter;A;Socialdemokratiet;Albert Hall;14
1. Østre Kulturcenter;B;Det Radikale Venstre;Listestemmer;191
1. Østre Kulturcenter;B;Det Radikale Venstre;Erik Simonsen;47
1. Østre Kulturcenter;B;Det Radikale Venstre;Susanne Bækholm;22
1. Østre Kulturcenter;B;Det Radikale Venstre;Michael Gravesen;11
1. Østre Kulturcenter;B;Det Radikale Venstre;Rune Christiansen;9
1. Østre Kulturcenter;B;Det Radikale Venstre;Nur Beier;9
1. Østre Kulturcenter;B;Det Radikale Venstre;Ole Larsen Nielsen;0
1. Østre Kulturcenter;B;Det Radikale Venstre;Mads Brandsen;7
1. Østre Kulturcenter;B;Det Radikale Venstre;Anne-Marie Christensen;6
1. Østre Kulturcenter;B;Det Radikale Venstre;Peter Nimann;0
1. Østre Kulturcenter;B;Det Radikale Venstre;Martin Brahtz;5
1. Østre Kulturcenter;B;Det Radikale Venstre;Susanne Larsen;2
1. Østre Kulturcenter;B;Det Radikale Venstre;Janne Høgshøj;3
1. Østre Kulturcenter;B;Det Radikale Venstre;Thorkild K. Maarbjerg;0
1. Østre Kulturcenter;B;Det Radikale Venstre;Bjørn Bjerrehøj;2
1. Østre Kulturcenter;B;Det Radikale Venstre;Henrik Juul Larsen;0
1. Østre Kulturcenter;B;Det Radikale Venstre;Kristian Grønbæk Andersen;2
1. Østre Kulturcenter;B;Det Radikale Venstre;Bjarne Brøndgaard;0
1. Østre Kulturcenter;B;Det Radikale Venstre;Rasmus S. Larsen;1
1. Østre Kulturcenter;B;Det Radikale Venstre;Lisbet Nielsen Trøjgaard;0
1. Østre Kulturcenter;B;Det Radikale Venstre;Pi Klinkvort;8
1. Østre Kulturcenter;B;Det Radikale Venstre;Helle Guldbæk Arentsen;3
1. Østre Kulturcenter;B;Det Radikale Venstre;Leif Frandsen;1
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Listestemmer;160
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Jan Boye;1233
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Vivi Kier;24
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Lars Havelund;6
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Steen Møller;13
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Merete Østerbye;5
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Børge Wagner;4
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Mai Henriksen;61
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Jenan Bozo;10
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Hanne Askou;13
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Poul Falck;7
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Lasse Bork Schmidt;1
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Preben Petersen;1
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Jack Nielsen;2
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Karsten Kjærby;4
1. Østre Kulturcenter;C;Det Konservative Folkeparti;Helge Pasfall;7
