Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
3051. Asnæs;A;Socialdemokratiet;Listestemmer;1013
3051. Asnæs;A;Socialdemokratiet;Finn Madsen;789
3051. Asnæs;A;Socialdemokratiet;Alice A. Sarp;9
3051. Asnæs;A;Socialdemokratiet;Vagn Ytte Larsen;5
3051. Asnæs;A;Socialdemokratiet;Birthe Balle;32
3051. Asnæs;A;Socialdemokratiet;Peter Kvarts;2
3051. Asnæs;A;Socialdemokratiet;Susanne Selle;2
3051. Asnæs;A;Socialdemokratiet;Jesper Koch;75
3051. Asnæs;A;Socialdemokratiet;Flemming Truelsdal;0
3051. Asnæs;A;Socialdemokratiet;Gitte Hededam;11
3051. Asnæs;A;Socialdemokratiet;Michael Kjeldgaard;3
3051. Asnæs;A;Socialdemokratiet;Grethe Petterson;1
3051. Asnæs;A;Socialdemokratiet;Torben Hougård Nielsen;0
3051. Asnæs;A;Socialdemokratiet;Elin Akeleye Schmidt;0
3051. Asnæs;A;Socialdemokratiet;Johnny Kristensen;4
3051. Asnæs;A;Socialdemokratiet;Poul Aagaard Jensen;0
3051. Asnæs;B;Det Radikale Venstre;Listestemmer;151
3051. Asnæs;B;Det Radikale Venstre;Kate Jensen, Højby;15
3051. Asnæs;B;Det Radikale Venstre;Mikkel Balle, Asnæs;24
3051. Asnæs;B;Det Radikale Venstre;Arne Mølgård, Sjællands Odde;1
3051. Asnæs;B;Det Radikale Venstre;Peter Splidsboel, Rørvig;0
3051. Asnæs;B;Det Radikale Venstre;Marianne Faartoft, Nykøbing Sj.;3
3051. Asnæs;B;Det Radikale Venstre;Allan Haslund, Asnæs;37
3051. Asnæs;B;Det Radikale Venstre;Susanne Gotfredsen, Nykøbing Sj.;0
3051. Asnæs;B;Det Radikale Venstre;Søren Myrup Pedersen, Asnæs;25
3051. Asnæs;B;Det Radikale Venstre;Jørgen K.Gylling, Højby;1
3051. Asnæs;B;Det Radikale Venstre;Bente Bastrup, Nykøbing Sj.;0
3051. Asnæs;B;Det Radikale Venstre;Marianne Christiansen, Fårevejle;2
3051. Asnæs;B;Det Radikale Venstre;Vagn Wendel Sørensen, Egebjerg;0
3051. Asnæs;B;Det Radikale Venstre;Inger Frimann, Asnæs;3
3051. Asnæs;B;Det Radikale Venstre;Ellen Steen Hansen, Sjællands Odde;0
3051. Asnæs;B;Det Radikale Venstre;Ole Nielsen, Fårevejle;11
3051. Asnæs;C;Det Konservative Folkeparti;Listestemmer;246
3051. Asnæs;C;Det Konservative Folkeparti;Henrik Jensen;175
3051. Asnæs;C;Det Konservative Folkeparti;Majken Nevermann;3
3051. Asnæs;C;Det Konservative Folkeparti;Ivar Petersen;17
3051. Asnæs;C;Det Konservative Folkeparti;Allan Nielsen;0
3051. Asnæs;C;Det Konservative Folkeparti;Torben Knudsen;2
