Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Tranebjerg;A;Socialdemokratiet;Listestemmer;54
1. Tranebjerg;A;Socialdemokratiet;Einer Madsen;165
1. Tranebjerg;A;Socialdemokratiet;Charlotte Gildberg Anholm;29
1. Tranebjerg;A;Socialdemokratiet;Lena Sundstrøm;77
1. Tranebjerg;A;Socialdemokratiet;Jens O. Vadstrup;21
1. Tranebjerg;A;Socialdemokratiet;Bjarne H. Jensen;10
1. Tranebjerg;A;Socialdemokratiet;Steen Fabricius Jensen;14
1. Tranebjerg;B;Det Radikale Venstre;Listestemmer;13
1. Tranebjerg;B;Det Radikale Venstre;Frits Andersen;262
1. Tranebjerg;B;Det Radikale Venstre;Karen Poulsen;19
1. Tranebjerg;B;Det Radikale Venstre;Lasse Ovesen;1
1. Tranebjerg;B;Det Radikale Venstre;Jette Dam Jonsson;13
1. Tranebjerg;C;Det Konservative Folkeparti;Listestemmer;12
1. Tranebjerg;C;Det Konservative Folkeparti;Jørn C. Nissen;339
1. Tranebjerg;C;Det Konservative Folkeparti;Karl Johan Tønner Hansen;34
1. Tranebjerg;C;Det Konservative Folkeparti;Per Urban Olsen;54
1. Tranebjerg;C;Det Konservative Folkeparti;Lis Mærsk;8
1. Tranebjerg;C;Det Konservative Folkeparti;Bent P. Therkildsen;2
1. Tranebjerg;F;Socialistisk Folkeparti;Listestemmer;21
1. Tranebjerg;F;Socialistisk Folkeparti;Dorthe Enevoldsen;92
1. Tranebjerg;F;Socialistisk Folkeparti;John Reshaur Enevoldsen;29
1. Tranebjerg;F;Socialistisk Folkeparti;Charlotte Vasbo;4
1. Tranebjerg;F;Socialistisk Folkeparti;Bent Myrhdal;1
1. Tranebjerg;L;Samsø Listen;Listestemmer;11
1. Tranebjerg;L;Samsø Listen;Marius Kragh;29
1. Tranebjerg;L;Samsø Listen;Maria Landschoff Møller;38
1. Tranebjerg;L;Samsø Listen;Steen Brorsen;12
1. Tranebjerg;L;Samsø Listen;Niels Lundsager;73
1. Tranebjerg;N;Nissens Parti;Listestemmer;2
1. Tranebjerg;N;Nissens Parti;H. H. Nissen;2
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Listestemmer;44
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Carsten Bruun;467
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Lisbeth Ditlevsen;62
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Erling Sundstrøm;52
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Henrik Kjær;83
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Arne Kremmer Jensen;35
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Jan Kristensen;4
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Ejnar Bager;7
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Bjarne Guldborg;6
1. Tranebjerg;Å;Ø-Listen;Listestemmer;7
1. Tranebjerg;Å;Ø-Listen;Stefan Wolffbrandt;36
2. Nordby;A;Socialdemokratiet;Listestemmer;9
2. Nordby;A;Socialdemokratiet;Einer Madsen;17
2. Nordby;A;Socialdemokratiet;Charlotte Gildberg Anholm;3
2. Nordby;A;Socialdemokratiet;Lena Sundstrøm;9
2. Nordby;A;Socialdemokratiet;Jens O. Vadstrup;2
2. Nordby;A;Socialdemokratiet;Bjarne H. Jensen;15
2. Nordby;A;Socialdemokratiet;Steen Fabricius Jensen;1
2. Nordby;B;Det Radikale Venstre;Listestemmer;3
2. Nordby;B;Det Radikale Venstre;Frits Andersen;42
2. Nordby;B;Det Radikale Venstre;Karen Poulsen;9
2. Nordby;B;Det Radikale Venstre;Lasse Ovesen;0
2. Nordby;B;Det Radikale Venstre;Jette Dam Jonsson;0
2. Nordby;C;Det Konservative Folkeparti;Listestemmer;5
2. Nordby;C;Det Konservative Folkeparti;Jørn C. Nissen;40
2. Nordby;C;Det Konservative Folkeparti;Karl Johan Tønner Hansen;5
2. Nordby;C;Det Konservative Folkeparti;Per Urban Olsen;4
2. Nordby;C;Det Konservative Folkeparti;Lis Mærsk;2
2. Nordby;C;Det Konservative Folkeparti;Bent P. Therkildsen;0
2. Nordby;F;Socialistisk Folkeparti;Listestemmer;11
2. Nordby;F;Socialistisk Folkeparti;Dorthe Enevoldsen;9
2. Nordby;F;Socialistisk Folkeparti;John Reshaur Enevoldsen;4
2. Nordby;F;Socialistisk Folkeparti;Charlotte Vasbo;1
2. Nordby;F;Socialistisk Folkeparti;Bent Myrhdal;0
2. Nordby;L;Samsø Listen;Listestemmer;3
2. Nordby;L;Samsø Listen;Marius Kragh;9
2. Nordby;L;Samsø Listen;Maria Landschoff Møller;3
2. Nordby;L;Samsø Listen;Steen Brorsen;0
2. Nordby;L;Samsø Listen;Niels Lundsager;13
2. Nordby;N;Nissens Parti;Listestemmer;1
2. Nordby;N;Nissens Parti;H. H. Nissen;1
2. Nordby;V;Venstre, Danmarks Liberale Parti;Listestemmer;5
2. Nordby;V;Venstre, Danmarks Liberale Parti;Carsten Bruun;56
2. Nordby;V;Venstre, Danmarks Liberale Parti;Lisbeth Ditlevsen;3
2. Nordby;V;Venstre, Danmarks Liberale Parti;Erling Sundstrøm;21
2. Nordby;V;Venstre, Danmarks Liberale Parti;Henrik Kjær;7
2. Nordby;V;Venstre, Danmarks Liberale Parti;Arne Kremmer Jensen;5
2. Nordby;V;Venstre, Danmarks Liberale Parti;Jan Kristensen;1
2. Nordby;V;Venstre, Danmarks Liberale Parti;Ejnar Bager;2
2. Nordby;V;Venstre, Danmarks Liberale Parti;Bjarne Guldborg;1
2. Nordby;Å;Ø-Listen;Listestemmer;5
2. Nordby;Å;Ø-Listen;Stefan Wolffbrandt;7
