Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Havdrup;A;Socialdemokratiet;Listestemmer;134
1. Havdrup;A;Socialdemokratiet;Claus Redder Madsen;30
1. Havdrup;A;Socialdemokratiet;Dorte Monggaard;19
1. Havdrup;A;Socialdemokratiet;Per Bringsjord;6
1. Havdrup;A;Socialdemokratiet;Torben Brønsholm;4
1. Havdrup;A;Socialdemokratiet;Birgith Baagø;58
1. Havdrup;A;Socialdemokratiet;Lotte Juhl;5
1. Havdrup;A;Socialdemokratiet;Jan Svendsen;12
1. Havdrup;A;Socialdemokratiet;Carsten Wærens;1
1. Havdrup;A;Socialdemokratiet;Preben Alsing;1
1. Havdrup;A;Socialdemokratiet;Bendt Kirk;0
1. Havdrup;A;Socialdemokratiet;Tonny Lauridsen;147
1. Havdrup;C;Det Konservative Folkeparti;Listestemmer;26
1. Havdrup;C;Det Konservative Folkeparti;Hans Nydam Buch;47
1. Havdrup;C;Det Konservative Folkeparti;John Mogensen;66
1. Havdrup;C;Det Konservative Folkeparti;Hans Odder;0
1. Havdrup;C;Det Konservative Folkeparti;Henning R. Andersen;5
1. Havdrup;C;Det Konservative Folkeparti;Ingrid Lemonius;2
1. Havdrup;C;Det Konservative Folkeparti;Jørgen Clausen;0
1. Havdrup;F;Socialistisk Folkeparti;Listestemmer;41
1. Havdrup;F;Socialistisk Folkeparti;Marianne Svane;36
1. Havdrup;F;Socialistisk Folkeparti;Henrik T. Larsen;2
1. Havdrup;F;Socialistisk Folkeparti;Michael Bo Kristensen;7
1. Havdrup;F;Socialistisk Folkeparti;Marianne Hauge;16
1. Havdrup;F;Socialistisk Folkeparti;Anne Grete Gerhauge;2
1. Havdrup;F;Socialistisk Folkeparti;Tove Wentzel;1
1. Havdrup;I;SolrødListen;Listestemmer;4
1. Havdrup;I;SolrødListen;Søren Brøndholt Jensen;1
1. Havdrup;I;SolrødListen;Ann Røge;0
1. Havdrup;I;SolrødListen;Lene Fly;3
1. Havdrup;I;SolrødListen;Thomas Hilleberg;1
1. Havdrup;I;SolrødListen;Kenneth Johansen;0
1. Havdrup;I;SolrødListen;Thomas Larsen;1
1. Havdrup;I;SolrødListen;Mette Spindler;1
1. Havdrup;I;SolrødListen;Ann Odder;0
1. Havdrup;L;Havdruplisten;Listestemmer;370
1. Havdrup;L;Havdruplisten;Henning Christiansen;286
1. Havdrup;L;Havdruplisten;Peter Kristjansson;64
1. Havdrup;L;Havdruplisten;Finn Jensen;97
1. Havdrup;L;Havdruplisten;Lars V. Nørgaard;20
1. Havdrup;L;Havdruplisten;Anders Nordentoft;44
1. Havdrup;L;Havdruplisten;Maj-Britt Frogne;100
1. Havdrup;L;Havdruplisten;Hanna Larsson;75
1. Havdrup;O;Dansk Folkeparti;Listestemmer;65
1. Havdrup;O;Dansk Folkeparti;Ellen Thomsen;57
1. Havdrup;O;Dansk Folkeparti;Chr. Bøgh Kristensen;7
1. Havdrup;O;Dansk Folkeparti;Flemming Johansen;5
1. Havdrup;O;Dansk Folkeparti;Steffen Søndergaard;2
1. Havdrup;O;Dansk Folkeparti;Lene Coppen;2
1. Havdrup;O;Dansk Folkeparti;Henning Christensen;4
1. Havdrup;P;Familielisten;Listestemmer;1
1. Havdrup;P;Familielisten;Brian Pedersen;6
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Listestemmer;161
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Niels Hörup;106
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Ivar Haugaard-Hansen;22
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Naima Simring;20
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Birger Hauge;1
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Karin Siim Viftrup;8
1. Havdrup;V;Venstre, Danmarks Liberale Parti;John Eli Andersson;0
