Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
2711. Hårlevhallen;A;Socialdemokratiet;Listestemmer;766
2711. Hårlevhallen;A;Socialdemokratiet;Gina Øbakke, Store Heddinge;128
2711. Hårlevhallen;A;Socialdemokratiet;Jørgen Gregersen, Valløby;136
2711. Hårlevhallen;A;Socialdemokratiet;Ole Anker, Holtug;0
2711. Hårlevhallen;A;Socialdemokratiet;Helene Hansen, Strøby;13
2711. Hårlevhallen;A;Socialdemokratiet;Thomas Overgaard, Store Heddinge;5
2711. Hårlevhallen;A;Socialdemokratiet;Steen S. Hansen, Hårlev;176
2711. Hårlevhallen;A;Socialdemokratiet;Steen Nielsen, Store Heddinge;6
2711. Hårlevhallen;A;Socialdemokratiet;Leif Nielsen, Hårlev;105
2711. Hårlevhallen;A;Socialdemokratiet;Mogens Hansen, Skørpinge;2
2711. Hårlevhallen;A;Socialdemokratiet;Bodil Petersen, Hårlev;66
2711. Hårlevhallen;A;Socialdemokratiet;Orla Nielsen, Store Heddinge;1
2711. Hårlevhallen;A;Socialdemokratiet;Bjarne Weiler Madsen, Strøby Egede;1
2711. Hårlevhallen;A;Socialdemokratiet;Karsten Visby, Gevnø;3
2711. Hårlevhallen;A;Socialdemokratiet;Bjarne Puck, Strøby;4
2711. Hårlevhallen;A;Socialdemokratiet;Bøje Kristiansen, Klippinge;2
2711. Hårlevhallen;B;Det Radikale Venstre;Listestemmer;69
2711. Hårlevhallen;B;Det Radikale Venstre;Per Steen Larsen;26
2711. Hårlevhallen;B;Det Radikale Venstre;Birgit Mørup;6
2711. Hårlevhallen;B;Det Radikale Venstre;Michael Loft;2
2711. Hårlevhallen;B;Det Radikale Venstre;Tyge Birk;0
2711. Hårlevhallen;B;Det Radikale Venstre;Egon Hardis;2
2711. Hårlevhallen;B;Det Radikale Venstre;Jens Ladegaard;1
2711. Hårlevhallen;B;Det Radikale Venstre;Henriette Bøgeskov Holmgaard;2
2711. Hårlevhallen;B;Det Radikale Venstre;Reginald Hansen;2
2711. Hårlevhallen;C1;Det Konservative Folkeparti;Listestemmer;113
2711. Hårlevhallen;C1;Det Konservative Folkeparti;Bjarne Nielsen, Varpelev;47
2711. Hårlevhallen;C1;Det Konservative Folkeparti;Hans C. Bech, Strøby Egede;19
2711. Hårlevhallen;C1;Det Konservative Folkeparti;Per Eksten, Hårlev;12
2711. Hårlevhallen;C1;Det Konservative Folkeparti;Anne Wessel, Strøby;4
2711. Hårlevhallen;C1;Det Konservative Folkeparti;Kirsten Steffensen, Himlingøje;13
2711. Hårlevhallen;C1;Det Konservative Folkeparti;Jørgen Olsen, Vallø;2
2711. Hårlevhallen;C1;Det Konservative Folkeparti;Regitze Rigtrup, Vråby;8
2711. Hårlevhallen;C1;Det Konservative Folkeparti;Michael Lønstrøm, Vråby;3
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Listestemmer;19
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Ole Bech-Jensen, Rødvig;6
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Ellen Knudsen, Store Heddinge;7
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Frank R. Taarup, Hellested;0
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Merete Balle, Store Heddinge;2
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Hans Henrik Thyssen, Frøslev;0
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Gitte C. Andersen, Magleby;0
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Palle Grimstrup, Store Heddinge;3
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Mona Andersen, Store Heddinge;0
2711. Hårlevhallen;C2;Det Konservative Folkeparti;Daniel J. Thyssen, Frøslev;0
2711. Hårlevhallen;F;Socialistisk Folkeparti;Listestemmer;122
2711. Hårlevhallen;F;Socialistisk Folkeparti;Ruth Maria Kobbeltvedt;26
2711. Hårlevhallen;F;Socialistisk Folkeparti;Lillian Tolboe;19
2711. Hårlevhallen;F;Socialistisk Folkeparti;Morthen M. S. Jensen;5
2711. Hårlevhallen;F;Socialistisk Folkeparti;Tine Rasmussen;9
2711. Hårlevhallen;F;Socialistisk Folkeparti;J.Valeur;3
2711. Hårlevhallen;O;Dansk Folkeparti;Listestemmer;181
2711. Hårlevhallen;O;Dansk Folkeparti;Orla Reinhardt Nielsen, Strøby;27
2711. Hårlevhallen;O;Dansk Folkeparti;Varly Marcus Jensen, Strøby Egede;40
2711. Hårlevhallen;O;Dansk Folkeparti;Carl Erik Larsen, Strøby Egede;1
2711. Hårlevhallen;O;Dansk Folkeparti;Jytte Nielsen, Rødvig Stevns;28
2711. Hårlevhallen;O;Dansk Folkeparti;Bent Reinhold Stålberg, Klippinge;4
2711. Hårlevhallen;O;Dansk Folkeparti;Emmy Holm Nielsen, Rødvig Stevns;2
2711. Hårlevhallen;O;Dansk Folkeparti;Pehr Holm Nielsen, Boestofte;1
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Listestemmer;1186
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Poul Arne Nielsen, Strøby Egede;552
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Lars P. Asserhøj, Hellested;23
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Mogens Haugaard Nielsen, Lund;11
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Lene Madsen, St. Tårnby Hårlev;131
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Ole Christophersen, Magleby;0
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Søren Rytgaard, Hårlev;43
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Kaj Weng Rasmussen, Magleby;5
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Jan Kierch, Hårlev;49
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Anni Hansen, Frøslev;2
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Bente Eriksen, Varpelev;94
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Bent Leschly Sørensen, Klippinge;2
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Flemming Petersen, Endeslev;101
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;John Tange, Holtug;3
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Jakob Knudsen, Hårlev;9
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Lars Warm, Sønderby;7
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Carsten Myler, Strøby Egede;6
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Ole Green Christensen, Store Heddi;1
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Peder Krogsgaard, Lille Linde;6
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Villy Eenberg, Holtug;0
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Inge Milbrat, Strøby Egede;4
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Lars-Hemming Tranenskær, Strøby;1
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Pia Berendt Andersen, Barup;1
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Mette Bjørnlund, Store Heddinge;0
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Gitte Vonsild, Rødvig;1
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Lise Bencard, Rødvig;0
2711. Hårlevhallen;V;Venstre, Danmarks Liberale Parti;Poul Erik Salebjerg-Hansen, Strøby;13
2712. Strøbyhallen;A;Socialdemokratiet;Listestemmer;867
2712. Strøbyhallen;A;Socialdemokratiet;Gina Øbakke, Store Heddinge;209
2712. Strøbyhallen;A;Socialdemokratiet;Jørgen Gregersen, Valløby;285
2712. Strøbyhallen;A;Socialdemokratiet;Ole Anker, Holtug;1
2712. Strøbyhallen;A;Socialdemokratiet;Helene Hansen, Strøby;66
2712. Strøbyhallen;A;Socialdemokratiet;Thomas Overgaard, Store Heddinge;7
2712. Strøbyhallen;A;Socialdemokratiet;Steen S. Hansen, Hårlev;31
2712. Strøbyhallen;A;Socialdemokratiet;Steen Nielsen, Store Heddinge;38
2712. Strøbyhallen;A;Socialdemokratiet;Leif Nielsen, Hårlev;22
2712. Strøbyhallen;A;Socialdemokratiet;Mogens Hansen, Skørpinge;1
2712. Strøbyhallen;A;Socialdemokratiet;Bodil Petersen, Hårlev;10
2712. Strøbyhallen;A;Socialdemokratiet;Orla Nielsen, Store Heddinge;0
2712. Strøbyhallen;A;Socialdemokratiet;Bjarne Weiler Madsen, Strøby Egede;38
2712. Strøbyhallen;A;Socialdemokratiet;Karsten Visby, Gevnø;0
2712. Strøbyhallen;A;Socialdemokratiet;Bjarne Puck, Strøby;17
2712. Strøbyhallen;A;Socialdemokratiet;Bøje Kristiansen, Klippinge;0
2712. Strøbyhallen;B;Det Radikale Venstre;Listestemmer;106
2712. Strøbyhallen;B;Det Radikale Venstre;Per Steen Larsen;21
2712. Strøbyhallen;B;Det Radikale Venstre;Birgit Mørup;9
2712. Strøbyhallen;B;Det Radikale Venstre;Michael Loft;5
2712. Strøbyhallen;B;Det Radikale Venstre;Tyge Birk;6
2712. Strøbyhallen;B;Det Radikale Venstre;Egon Hardis;1
2712. Strøbyhallen;B;Det Radikale Venstre;Jens Ladegaard;1
2712. Strøbyhallen;B;Det Radikale Venstre;Henriette Bøgeskov Holmgaard;5
2712. Strøbyhallen;B;Det Radikale Venstre;Reginald Hansen;7
2712. Strøbyhallen;C1;Det Konservative Folkeparti;Listestemmer;236
2712. Strøbyhallen;C1;Det Konservative Folkeparti;Bjarne Nielsen, Varpelev;142
2712. Strøbyhallen;C1;Det Konservative Folkeparti;Hans C. Bech, Strøby Egede;57
2712. Strøbyhallen;C1;Det Konservative Folkeparti;Per Eksten, Hårlev;2
2712. Strøbyhallen;C1;Det Konservative Folkeparti;Anne Wessel, Strøby;17
2712. Strøbyhallen;C1;Det Konservative Folkeparti;Kirsten Steffensen, Himlingøje;1
2712. Strøbyhallen;C1;Det Konservative Folkeparti;Jørgen Olsen, Vallø;10
2712. Strøbyhallen;C1;Det Konservative Folkeparti;Regitze Rigtrup, Vråby;6
2712. Strøbyhallen;C1;Det Konservative Folkeparti;Michael Lønstrøm, Vråby;0
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Listestemmer;28
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Ole Bech-Jensen, Rødvig;8
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Ellen Knudsen, Store Heddinge;12
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Frank R. Taarup, Hellested;1
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Merete Balle, Store Heddinge;2
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Hans Henrik Thyssen, Frøslev;0
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Gitte C. Andersen, Magleby;1
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Palle Grimstrup, Store Heddinge;4
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Mona Andersen, Store Heddinge;0
2712. Strøbyhallen;C2;Det Konservative Folkeparti;Daniel J. Thyssen, Frøslev;0
2712. Strøbyhallen;F;Socialistisk Folkeparti;Listestemmer;103
2712. Strøbyhallen;F;Socialistisk Folkeparti;Ruth Maria Kobbeltvedt;29
2712. Strøbyhallen;F;Socialistisk Folkeparti;Lillian Tolboe;8
