Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
4271. Hundstrup Sogn;A;Socialdemokratiet;Listestemmer;54
4271. Hundstrup Sogn;A;Socialdemokratiet;Flemming Madsen, Svendborg;7
4271. Hundstrup Sogn;A;Socialdemokratiet;Karen Strandhave, Egebjerg;12
4271. Hundstrup Sogn;A;Socialdemokratiet;Torben Lønberg, Gudme;3
4271. Hundstrup Sogn;A;Socialdemokratiet;Christian Kaastrup, Svendborg;1
4271. Hundstrup Sogn;A;Socialdemokratiet;Marianne Ellehauge, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Daniella Wellejus, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Jørn Jensen, Svendborg;2
4271. Hundstrup Sogn;A;Socialdemokratiet;Torben Frost, Egebjerg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Gert Rasmussen, Gudme;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Torben Møller Petersen, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Grete Schødts, Svendborg;1
4271. Hundstrup Sogn;A;Socialdemokratiet;Bjarne Hansen, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Hanne Klit, Svendborg;1
4271. Hundstrup Sogn;A;Socialdemokratiet;Mogens Johansen, Egebjerg;18
4271. Hundstrup Sogn;A;Socialdemokratiet;Kaj Toftgaard Jakobsen, Gudme;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Søren Junker, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Torben Jensen, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Curt Sørensen, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Orla Hansen, Egebjerg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Peter Bang Nielsen, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Guri Krøis, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Thomas Mathiasen,Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Gitte Eisenreich, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Jørgen Madsen, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Jette Dam, Svendborg;0
4271. Hundstrup Sogn;A;Socialdemokratiet;Rikke Fredeløkke, Svendborg;0
