Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
7011. Ebeltoft;A;Socialdemokratiet;Listestemmer;1964
7011. Ebeltoft;A;Socialdemokratiet;Vilfred Friborg Hansen, Rønde;490
7011. Ebeltoft;A;Socialdemokratiet;Ninna Thomsen, Ebeltoft;719
7011. Ebeltoft;A;Socialdemokratiet;Jesper Mathiesen, Hornslet;0
7011. Ebeltoft;A;Socialdemokratiet;Kim T. Jensen, Ryomgård;4
7011. Ebeltoft;A;Socialdemokratiet;Bent Winkler, Ebeltoft;370
7011. Ebeltoft;A;Socialdemokratiet;Kai Pedersen, Mørke;6
7011. Ebeltoft;A;Socialdemokratiet;Lisbeth Bøwes, Ebeltoft;43
7011. Ebeltoft;A;Socialdemokratiet;Hans Chr. Baltzer, Pindstrup;1
7011. Ebeltoft;A;Socialdemokratiet;Karen Andreasen, Rønde;3
7011. Ebeltoft;A;Socialdemokratiet;Jens Vinther, Hornslet;0
7011. Ebeltoft;A;Socialdemokratiet;Ole Bollesen, Knebel;11
7011. Ebeltoft;A;Socialdemokratiet;Sally Salminen, Kolind;4
7011. Ebeltoft;A;Socialdemokratiet;Bent Hansen, Balle;14
7011. Ebeltoft;A;Socialdemokratiet;Mogens Petersen, Rosenholm;1
7011. Ebeltoft;A;Socialdemokratiet;Søren K. Lauridsen, Ugelbølle;0
7011. Ebeltoft;A;Socialdemokratiet;Erik Grønlund, Ebeltoft;47
7011. Ebeltoft;A;Socialdemokratiet;Mogens Kristensen, Nimtofte;4
7011. Ebeltoft;A;Socialdemokratiet;Hans Jørgen Jensen, Lime;0
7011. Ebeltoft;A;Socialdemokratiet;Verner Damm, Knebel;9
7011. Ebeltoft;A;Socialdemokratiet;Svend B. G. Laursen, Ugelbølle;2
7011. Ebeltoft;A;Socialdemokratiet;Benn Schmidt, Ryomgård;0
7011. Ebeltoft;A;Socialdemokratiet;Kjeld Pedersen, Ebeltoft;6
7011. Ebeltoft;A;Socialdemokratiet;Jens Lundager, Ryomgård;1
7011. Ebeltoft;A;Socialdemokratiet;Erik Sørensen, Rønde;0
7011. Ebeltoft;A;Socialdemokratiet;Karin Kjeldsen, Ryomgård;0
7011. Ebeltoft;A;Socialdemokratiet;Jens Erik Pedersen, Ebeltoft;11
7011. Ebeltoft;A;Socialdemokratiet;Michael Nielsen, Pindstrup;0
7011. Ebeltoft;B;Det Radikale Venstre;Listestemmer;182
7011. Ebeltoft;B;Det Radikale Venstre;Carsten Bech, Rønde;14
7011. Ebeltoft;B;Det Radikale Venstre;Vibeke Tillemann, Ebeltoft;66
7011. Ebeltoft;B;Det Radikale Venstre;Dorte Faurschou Hertz, Hejlskov;0
7011. Ebeltoft;B;Det Radikale Venstre;Hardy Vinter, Kolind;1
7011. Ebeltoft;B;Det Radikale Venstre;Jan Kjær Madsen, Hornslet;1
7011. Ebeltoft;B;Det Radikale Venstre;Morten Bang Sørensen, Ryomgård;0
7011. Ebeltoft;B;Det Radikale Venstre;Regin Glob, Mols;6
7011. Ebeltoft;B;Det Radikale Venstre;Mogens Frederiksen, Rønde;2
7011. Ebeltoft;B;Det Radikale Venstre;Inger Nielsen, Hornslet;0
7011. Ebeltoft;B;Det Radikale Venstre;Flemming Skadhauge, Følle;1
7011. Ebeltoft;B;Det Radikale Venstre;Line Sterum Greibe, Rønde;1
7011. Ebeltoft;B;Det Radikale Venstre;Kenneth Mikkelsen, Ebeltoft;8
7011. Ebeltoft;B;Det Radikale Venstre;Aslak Daa Funder. Rønde;2
7011. Ebeltoft;B;Det Radikale Venstre;Inge Ulsted, Rosenholm;0
7011. Ebeltoft;B;Det Radikale Venstre;Turi Brøndum Holm, Ryomgård;0
7011. Ebeltoft;B;Det Radikale Venstre;Micael Asmussen, Ebeltoft;3
7011. Ebeltoft;C;Det Konservative Folkeparti;Listestemmer;326
7011. Ebeltoft;C;Det Konservative Folkeparti;Steen Fris, Rosenholm;47
7011. Ebeltoft;C;Det Konservative Folkeparti;Jens P. Andersen, Rosenholm;2
7011. Ebeltoft;C;Det Konservative Folkeparti;Diana Bang, Midtdjurs;7
7011. Ebeltoft;C;Det Konservative Folkeparti;Inge Braae, Ebeltoft;121
7011. Ebeltoft;C;Det Konservative Folkeparti;Nis Kaper Buch, Ebeltoft;48
7011. Ebeltoft;C;Det Konservative Folkeparti;Peter O. Frederiksen, Midtdjurs;4
7011. Ebeltoft;C;Det Konservative Folkeparti;Dan Föh, Midtdjurs;0
7011. Ebeltoft;C;Det Konservative Folkeparti;Gert Jakobsen, Rosenholm;1
7011. Ebeltoft;C;Det Konservative Folkeparti;Lone Myrwick, Rønde;5
7011. Ebeltoft;C;Det Konservative Folkeparti;Bente B. Larsen, Ebeltoft;13
7011. Ebeltoft;C;Det Konservative Folkeparti;Michael Mikkelsen, Midtdjurs;0
7011. Ebeltoft;F;Socialistisk Folkeparti;Listestemmer;366
7011. Ebeltoft;F;Socialistisk Folkeparti;Kirstine Bille, Ebeltoft;215
7011. Ebeltoft;F;Socialistisk Folkeparti;Bo Fibiger, Rønde;15
7011. Ebeltoft;F;Socialistisk Folkeparti;Leif Andersen, Rosenholm;2
7011. Ebeltoft;F;Socialistisk Folkeparti;Mårten Breum, Midtdjurs;2
7011. Ebeltoft;F;Socialistisk Folkeparti;Kirsten Hansen, Thorsager;2
7011. Ebeltoft;F;Socialistisk Folkeparti;Marianne Als Nielsen, Ebeltoft;33
7011. Ebeltoft;F;Socialistisk Folkeparti;Ole Tang, Rosenholm;1
7011. Ebeltoft;F;Socialistisk Folkeparti;Jens Dalsgård Olsen, Femmøller;1
7011. Ebeltoft;F;Socialistisk Folkeparti;Hanne Sletskov, Kolind;0
7011. Ebeltoft;F;Socialistisk Folkeparti;Kasper Østvig Nissen, Femmøller;8
7011. Ebeltoft;F;Socialistisk Folkeparti;Thøger Pauli, Skarresø Mark;0
7011. Ebeltoft;F;Socialistisk Folkeparti;Marlene Boe Rasmussen, Ebeltoft;9
7011. Ebeltoft;F;Socialistisk Folkeparti;Ib Rasmussen, Rosenholm;0
7011. Ebeltoft;L;Borgerlisterne;Listestemmer;603
7011. Ebeltoft;L;Borgerlisterne;Jørgen Brøgger,arkitekt, Ebeltoft;334
7011. Ebeltoft;L;Borgerlisterne;Ulla Milvang, Ebeltoft;20
7011. Ebeltoft;L;Borgerlisterne;Bjørn Helmer, Ebeltoft;68
7011. Ebeltoft;L;Borgerlisterne;Chr. Brøgger, Ebeltoft;11
7011. Ebeltoft;L;Borgerlisterne;Ann Christensen, Ebeltoft;20
7011. Ebeltoft;L;Borgerlisterne;Kjeld Søndergaard, Ebeltoft;38
7011. Ebeltoft;L;Borgerlisterne;Henrik Rasmussen, Ebeltoft;1
7011. Ebeltoft;L;Borgerlisterne;Margit Røgind, Ebeltoft;12
7011. Ebeltoft;L;Borgerlisterne;Anders Raaberg, Ebeltoft;0
7011. Ebeltoft;L;Borgerlisterne;Jytte Lønberg, Ebeltoft;1
7011. Ebeltoft;L;Borgerlisterne;Klaus Bertram Mikkelsen, Rønde;15
7011. Ebeltoft;L;Borgerlisterne;Birte Kjær, Rønde;10
7011. Ebeltoft;L;Borgerlisterne;Erling Secher, Rønde;3
7011. Ebeltoft;L;Borgerlisterne;Bertel Clausen, Rønde;0
7011. Ebeltoft;L;Borgerlisterne;Bent Enemark, Rønde;1
7011. Ebeltoft;L;Borgerlisterne;Karsten Roland, Rosenholm;11
7011. Ebeltoft;L;Borgerlisterne;Frands Jensen, Rosenholm;1
7011. Ebeltoft;L;Borgerlisterne;Anette Quist Busk, Midtdjurs;2
7011. Ebeltoft;O;Dansk Folkeparti;Listestemmer;289
7011. Ebeltoft;O;Dansk Folkeparti;Per Dalgaard, Ryomgård;42
7011. Ebeltoft;O;Dansk Folkeparti;Ivar Hvidtfeldt, Ebeltoft;97
7011. Ebeltoft;O;Dansk Folkeparti;Niels Lassen,Pederstrup;0
7011. Ebeltoft;O;Dansk Folkeparti;Anni Juhl, Rønde;18
7011. Ebeltoft;O;Dansk Folkeparti;Jakob Møller, Tirstrup;42
7011. Ebeltoft;P;Ret Kurs Djursland;Listestemmer;2
7011. Ebeltoft;P;Ret Kurs Djursland;Pauli Andersen;1
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Listestemmer;1049
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Richard Volander, Rosenholm;166
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Jørgen Brøgger, gårdejer, Ebeltoft;219
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Kim Dalgaard Poulsen, Midtdjurs;8
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Peter Krog-Meyer, Rønde;5
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Gunnar Sørensen, Ebeltoft;12
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Flemming Hansen, Rosenholm;2
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Edvard Handberg, Midtdjurs;2
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Ole Bjerregaard, Ebeltoft;127
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Karen Østergaard, Rønde;4
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Erik Jensen, Rosenholm;4
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Susanne Kruse, Ebeltoft;157
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Svend Erik Johansen, Midtdjurs;1
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Flemming Kruse, Ebeltoft;26
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Lene Svenningsen, Rønde;7
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Holger Roesgaard, Rosenholm;0
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Henrik Moeslund, Ebeltoft;63
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Anders Rolann, Midtdjurs;1
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Uffe Lund Sørensen, Rosenholm;2
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Berit Irene Schmidt, Ebeltoft;22
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Per Zeidler, Rønde;0
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Peter Gradman, Ebeltoft;8
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Carsten Bryrup, Midtdjurs;0
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Jens Jacob Holst, Ebeltoft;9
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Frederik Busch, Rønde;0
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Gert Haue, Midtdjurs;0
7011. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Esben Skovlund, Rønde;2
7011. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;49
7011. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;Chr. Bundgård, Knebel;18
7011. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;John Hansen, Hyllested;2
7011. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;Finn Andersen, Agri;2
7012. Mols;A;Socialdemokratiet;Listestemmer;773
7012. Mols;A;Socialdemokratiet;Vilfred Friborg Hansen, Rønde;389
7012. Mols;A;Socialdemokratiet;Ninna Thomsen, Ebeltoft;93
7012. Mols;A;Socialdemokratiet;Jesper Mathiesen, Hornslet;4
7012. Mols;A;Socialdemokratiet;Kim T. Jensen, Ryomgård;4
7012. Mols;A;Socialdemokratiet;Bent Winkler, Ebeltoft;26
7012. Mols;A;Socialdemokratiet;Kai Pedersen, Mørke;3
7012. Mols;A;Socialdemokratiet;Lisbeth Bøwes, Ebeltoft;35
7012. Mols;A;Socialdemokratiet;Hans Chr. Baltzer, Pindstrup;0
7012. Mols;A;Socialdemokratiet;Karen Andreasen, Rønde;3
7012. Mols;A;Socialdemokratiet;Jens Vinther, Hornslet;1
7012. Mols;A;Socialdemokratiet;Ole Bollesen, Knebel;86
7012. Mols;A;Socialdemokratiet;Sally Salminen, Kolind;5
7012. Mols;A;Socialdemokratiet;Bent Hansen, Balle;0
7012. Mols;A;Socialdemokratiet;Mogens Petersen, Rosenholm;0
7012. Mols;A;Socialdemokratiet;Søren K. Lauridsen, Ugelbølle;1
7012. Mols;A;Socialdemokratiet;Erik Grønlund, Ebeltoft;1
7012. Mols;A;Socialdemokratiet;Mogens Kristensen, Nimtofte;0
7012. Mols;A;Socialdemokratiet;Hans Jørgen Jensen, Lime;0
7012. Mols;A;Socialdemokratiet;Verner Damm, Knebel;53
7012. Mols;A;Socialdemokratiet;Svend B. G. Laursen, Ugelbølle;2
