Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Listestemmer;165
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Søren Wiborg;162
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Per Riis Larsen;10
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Ole Christensen;13
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Lis Sakran;37
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Karen Frost;11
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Benny Mørch-Sørensen;9
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Jan Brochdorf Hansen;2
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Gerda Nicolaisen;2
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Børge Olsen;4
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;John Wiberg;1
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Anette Sand;8
1. Vallensbæk Idrætscenter;A;Socialdemokratiet;Lisbeth Schou;5
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Listestemmer;103
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Kurt Hockerup;548
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Henrik Rasmussen;19
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Anette Eriksen;38
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Jan Grubak;4
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Katja Lindblad;26
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Flemming Wetterstein;1
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Birgit Skytte;16
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Søren Sørensen;48
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Ingolf Mathiesen;8
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Jette Lauritzen;4
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Sophie Dahl;2
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Morten Jørgensen;9
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Lillian Gotfredsen;9
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Anette Carl;19
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Preben Rosenberg Hansen;1
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Pia Dræbye Lundager;2
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Birgit Jensen;1
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Jytte Bendtsen;7
1. Vallensbæk Idrætscenter;C;Det Konservative Folkeparti;Mogens Wilbert;10
1. Vallensbæk Idrætscenter;D;Centrum-Demokraterne;Listestemmer;1
1. Vallensbæk Idrætscenter;D;Centrum-Demokraterne;Christian Spang Jensen;5
1. Vallensbæk Idrætscenter;O;Dansk Folkeparti;Listestemmer;37
1. Vallensbæk Idrætscenter;O;Dansk Folkeparti;René Bondé Gravang;50
1. Vallensbæk Idrætscenter;O;Dansk Folkeparti;Jan Bondé Gravang;8
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Listestemmer;43
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Niels Jørgensen;64
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Dorthe Bjørndal;33
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Kirsten Flindt Christoffersen;2
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Christian Nielsen;3
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Martin Grønkjær Petersen;2
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Anne Christine M. Nielsen;9
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Else Nørgaard;0
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Tage Christoffersen;0
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Inge Jørgensen;7
1. Vallensbæk Idrætscenter;V;Venstre, Danmarks Liberale Parti;Ole Cederholm;1
2. Egholmskolen;A;Socialdemokratiet;Listestemmer;238
2. Egholmskolen;A;Socialdemokratiet;Søren Wiborg;284
2. Egholmskolen;A;Socialdemokratiet;Per Riis Larsen;13
2. Egholmskolen;A;Socialdemokratiet;Ole Christensen;4
2. Egholmskolen;A;Socialdemokratiet;Lis Sakran;37
2. Egholmskolen;A;Socialdemokratiet;Karen Frost;37
2. Egholmskolen;A;Socialdemokratiet;Benny Mørch-Sørensen;20
2. Egholmskolen;A;Socialdemokratiet;Jan Brochdorf Hansen;25
2. Egholmskolen;A;Socialdemokratiet;Gerda Nicolaisen;4
2. Egholmskolen;A;Socialdemokratiet;Børge Olsen;0
2. Egholmskolen;A;Socialdemokratiet;John Wiberg;6
2. Egholmskolen;A;Socialdemokratiet;Anette Sand;8
2. Egholmskolen;A;Socialdemokratiet;Lisbeth Schou;7
2. Egholmskolen;C;Det Konservative Folkeparti;Listestemmer;212
2. Egholmskolen;C;Det Konservative Folkeparti;Kurt Hockerup;878
2. Egholmskolen;C;Det Konservative Folkeparti;Henrik Rasmussen;96
2. Egholmskolen;C;Det Konservative Folkeparti;Anette Eriksen;67
2. Egholmskolen;C;Det Konservative Folkeparti;Jan Grubak;13
2. Egholmskolen;C;Det Konservative Folkeparti;Katja Lindblad;49
2. Egholmskolen;C;Det Konservative Folkeparti;Flemming Wetterstein;12
2. Egholmskolen;C;Det Konservative Folkeparti;Birgit Skytte;21
2. Egholmskolen;C;Det Konservative Folkeparti;Søren Sørensen;20
2. Egholmskolen;C;Det Konservative Folkeparti;Ingolf Mathiesen;30
2. Egholmskolen;C;Det Konservative Folkeparti;Jette Lauritzen;7
2. Egholmskolen;C;Det Konservative Folkeparti;Sophie Dahl;13
2. Egholmskolen;C;Det Konservative Folkeparti;Morten Jørgensen;31
2. Egholmskolen;C;Det Konservative Folkeparti;Lillian Gotfredsen;0
2. Egholmskolen;C;Det Konservative Folkeparti;Anette Carl;21
2. Egholmskolen;C;Det Konservative Folkeparti;Preben Rosenberg Hansen;6
2. Egholmskolen;C;Det Konservative Folkeparti;Pia Dræbye Lundager;2
2. Egholmskolen;C;Det Konservative Folkeparti;Birgit Jensen;0
2. Egholmskolen;C;Det Konservative Folkeparti;Jytte Bendtsen;50
2. Egholmskolen;C;Det Konservative Folkeparti;Mogens Wilbert;10
2. Egholmskolen;D;Centrum-Demokraterne;Listestemmer;4
2. Egholmskolen;D;Centrum-Demokraterne;Christian Spang Jensen;6
2. Egholmskolen;O;Dansk Folkeparti;Listestemmer;45
2. Egholmskolen;O;Dansk Folkeparti;René Bondé Gravang;27
2. Egholmskolen;O;Dansk Folkeparti;Jan Bondé Gravang;5
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Listestemmer;54
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Niels Jørgensen;45
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Dorthe Bjørndal;12
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Kirsten Flindt Christoffersen;0
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Christian Nielsen;1
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Martin Grønkjær Petersen;6
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Anne Christine M. Nielsen;1
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Else Nørgaard;2
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Tage Christoffersen;0
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Inge Jørgensen;1
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Ole Cederholm;1
3. Pilehaveskolen;A;Socialdemokratiet;Listestemmer;275
3. Pilehaveskolen;A;Socialdemokratiet;Søren Wiborg;228
3. Pilehaveskolen;A;Socialdemokratiet;Per Riis Larsen;68
3. Pilehaveskolen;A;Socialdemokratiet;Ole Christensen;8
3. Pilehaveskolen;A;Socialdemokratiet;Lis Sakran;42
3. Pilehaveskolen;A;Socialdemokratiet;Karen Frost;24
3. Pilehaveskolen;A;Socialdemokratiet;Benny Mørch-Sørensen;9
3. Pilehaveskolen;A;Socialdemokratiet;Jan Brochdorf Hansen;6
3. Pilehaveskolen;A;Socialdemokratiet;Gerda Nicolaisen;21
3. Pilehaveskolen;A;Socialdemokratiet;Børge Olsen;2
3. Pilehaveskolen;A;Socialdemokratiet;John Wiberg;21
3. Pilehaveskolen;A;Socialdemokratiet;Anette Sand;6
3. Pilehaveskolen;A;Socialdemokratiet;Lisbeth Schou;8
3. Pilehaveskolen;C;Det Konservative Folkeparti;Listestemmer;259
3. Pilehaveskolen;C;Det Konservative Folkeparti;Kurt Hockerup;1175
3. Pilehaveskolen;C;Det Konservative Folkeparti;Henrik Rasmussen;28
3. Pilehaveskolen;C;Det Konservative Folkeparti;Anette Eriksen;65
