Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
5271. Rødding;A1;Socialdemokratiet Vejen;Listestemmer;33
5271. Rødding;A1;Socialdemokratiet Vejen;Hardy Høll Nielsen;23
5271. Rødding;A1;Socialdemokratiet Vejen;Jakob Sander;3
5271. Rødding;A1;Socialdemokratiet Vejen;Charlotte Højmark Pedersen;0
5271. Rødding;A1;Socialdemokratiet Vejen;Jens Rahbek Pedersen;0
5271. Rødding;A1;Socialdemokratiet Vejen;Allan Lauenblad;0
5271. Rødding;A1;Socialdemokratiet Vejen;Kaj Heesche-Andersen;1
5271. Rødding;A1;Socialdemokratiet Vejen;John Raahauge;0
5271. Rødding;A1;Socialdemokratiet Vejen;Thomas Nørup Ganer;0
5271. Rødding;A1;Socialdemokratiet Vejen;Kirsten Sørensen;0
5271. Rødding;A1;Socialdemokratiet Vejen;Kristian Vinther;0
5271. Rødding;A1;Socialdemokratiet Vejen;Lilly Hansen Andreasen;1
5271. Rødding;A1;Socialdemokratiet Vejen;Ole Jensen;0
5271. Rødding;A1;Socialdemokratiet Vejen;Ulla Andersen;0
5271. Rødding;A2;Socialdemokratiet Rødding;Listestemmer;222
5271. Rødding;A2;Socialdemokratiet Rødding;Kjeld Thorsen;105
5271. Rødding;A2;Socialdemokratiet Rødding;Conja Jensen;67
5271. Rødding;A2;Socialdemokratiet Rødding;Anders Christensen;15
5271. Rødding;A2;Socialdemokratiet Rødding;Henning Lynggaard;1
5271. Rødding;A2;Socialdemokratiet Rødding;Bent Andersen;5
5271. Rødding;A2;Socialdemokratiet Rødding;Leif Andersen;0
5271. Rødding;A2;Socialdemokratiet Rødding;Gunnar Skov;15
5271. Rødding;A3;Socialdemokratiet Holsted;Listestemmer;1
5271. Rødding;A3;Socialdemokratiet Holsted;Bodil Staal;1
5271. Rødding;A3;Socialdemokratiet Holsted;Hans Chr. Schack;0
5271. Rødding;A3;Socialdemokratiet Holsted;Hanne Ertbølle Gerken;0
5271. Rødding;A3;Socialdemokratiet Holsted;Anders Bendix Kristensen;0
5271. Rødding;A4;Socialdemokratiet Brørup;Listestemmer;2
5271. Rødding;A4;Socialdemokratiet Brørup;Leif Kristensen;1
5271. Rødding;A4;Socialdemokratiet Brørup;Gitte-Irene N. Pedersen;1
5271. Rødding;A4;Socialdemokratiet Brørup;Jørgen Thøgersen;0
5271. Rødding;A4;Socialdemokratiet Brørup;Bent Nielsen;0
5271. Rødding;A4;Socialdemokratiet Brørup;Jan Erik Hansen;0
5271. Rødding;A4;Socialdemokratiet Brørup;Jens Ejner Olsen;0
5271. Rødding;B;Det Radikale Venstre;Listestemmer;29
5271. Rødding;B;Det Radikale Venstre;Ivar Sande;4
5271. Rødding;B;Det Radikale Venstre;Susanne Steiner;4
5271. Rødding;B;Det Radikale Venstre;Tharmakulasingam Tharuman;1
5271. Rødding;B;Det Radikale Venstre;Lars Bang Jeppesen;0
5271. Rødding;B;Det Radikale Venstre;Michael Ryttergaard Jakobsen;1
5271. Rødding;B;Det Radikale Venstre;Per Richard Hansen;0
5271. Rødding;B;Det Radikale Venstre;Karen Knudsen;1
5271. Rødding;C;Det Konservative Folkeparti;Listestemmer;379
5271. Rødding;C;Det Konservative Folkeparti;Frank Schmidt-Hansen, Rødding;346
5271. Rødding;C;Det Konservative Folkeparti;Aslak Skjøth, Brørup;1
5271. Rødding;C;Det Konservative Folkeparti;Poul Egelykke, Vejen;0
5271. Rødding;C;Det Konservative Folkeparti;Søren Hermansen, Hovborg;1
5271. Rødding;C;Det Konservative Folkeparti;Bjarne Holm, Sdr. Hygum;3
5271. Rødding;C;Det Konservative Folkeparti;Gitte Egelykke, Vejen;0
5271. Rødding;C;Det Konservative Folkeparti;Søren Steno, Vejen;0
5271. Rødding;C;Det Konservative Folkeparti;Søren Bjarke Laugesen, Vejen;0
5271. Rødding;C;Det Konservative Folkeparti;Bodil Kamstrup, Brørup;0
5271. Rødding;C;Det Konservative Folkeparti;Jeanette Kristensen, Holsted;0
