Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
6031. Brejning;A;Socialdemokratiet;Listestemmer;935
6031. Brejning;A;Socialdemokratiet;Leif Skov;698
6031. Brejning;A;Socialdemokratiet;Tom Skovgaard;4
6031. Brejning;A;Socialdemokratiet;Søren Peschardt;1
6031. Brejning;A;Socialdemokratiet;Hans E. Madsen;0
6031. Brejning;A;Socialdemokratiet;Svend Donby;0
6031. Brejning;A;Socialdemokratiet;Ellen Meldgaard Pedersen;6
6031. Brejning;A;Socialdemokratiet;Inge Holst;55
6031. Brejning;A;Socialdemokratiet;Lene Riisager;6
6031. Brejning;A;Socialdemokratiet;Martin Jensen;0
6031. Brejning;A;Socialdemokratiet;Dan Skjerning;22
6031. Brejning;A;Socialdemokratiet;Else Marie Neimann;0
6031. Brejning;A;Socialdemokratiet;Finn Bjerg;0
6031. Brejning;A;Socialdemokratiet;John Refsgaard;0
6031. Brejning;A;Socialdemokratiet;Christa Laursen;2
6031. Brejning;A;Socialdemokratiet;Anders Sørensen;1
6031. Brejning;A;Socialdemokratiet;Michael Due;5
6031. Brejning;A;Socialdemokratiet;Janne Lærke Kring;3
6031. Brejning;A;Socialdemokratiet;Bodil Neujahr;1
6031. Brejning;A;Socialdemokratiet;Lene Thiemer Hedegaard;0
6031. Brejning;A;Socialdemokratiet;Birtha Trine Rasmussen;4
6031. Brejning;A;Socialdemokratiet;Peter Sikær Kristensen;1
6031. Brejning;A;Socialdemokratiet;Hans Jakob Jakobsen;1
6031. Brejning;A;Socialdemokratiet;Anny Hauch;1
6031. Brejning;A;Socialdemokratiet;Jørgen Houmøller;0
6031. Brejning;A;Socialdemokratiet;Kirsten Almind;0
6031. Brejning;A;Socialdemokratiet;Morten Kristensen;83
6031. Brejning;A;Socialdemokratiet;Lotte Dahl;0
6031. Brejning;A;Socialdemokratiet;Juhl Mortensen;0
6031. Brejning;A;Socialdemokratiet;Erik Munch Sørensen;0
6031. Brejning;A;Socialdemokratiet;Oskar Christoffersen;0
6031. Brejning;A;Socialdemokratiet;Anker Loft;0
6031. Brejning;A;Socialdemokratiet;Ole Kjær;0
6031. Brejning;A;Socialdemokratiet;Bruno Nielsen;4
6031. Brejning;A;Socialdemokratiet;Helle Sejdelin;0
6031. Brejning;B;Det Radikale Venstre;Listestemmer;52
6031. Brejning;B;Det Radikale Venstre;Dorte Rørbye, Jelling;3
6031. Brejning;B;Det Radikale Venstre;Ole Stokkendal, Vejle;1
