Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
7931. Aalestrup;A;Socialdemokratiet;Listestemmer;342
7931. Aalestrup;A;Socialdemokratiet;Martin Glerup;54
7931. Aalestrup;A;Socialdemokratiet;Uffe Bro;0
7931. Aalestrup;A;Socialdemokratiet;Palle Jensen;0
7931. Aalestrup;A;Socialdemokratiet;Søren Peter Johansen;91
7931. Aalestrup;A;Socialdemokratiet;Herdis Brix;2
7931. Aalestrup;A;Socialdemokratiet;Hanne Christina Have Asmussen;2
7931. Aalestrup;A;Socialdemokratiet;Asger Andersen;3
7931. Aalestrup;A;Socialdemokratiet;Peder Vilsom Ditlev;0
7931. Aalestrup;A;Socialdemokratiet;Niels Ole Blak Arndt;1
7931. Aalestrup;A;Socialdemokratiet;Rasmus Sven Vetter;93
7931. Aalestrup;A;Socialdemokratiet;Lene Haugbølle;2
7931. Aalestrup;A;Socialdemokratiet;Arnold Aage Mortensen;0
7931. Aalestrup;A;Socialdemokratiet;Mogens Holm;0
7931. Aalestrup;A;Socialdemokratiet;Anne-Marie Niebuhr;0
7931. Aalestrup;A;Socialdemokratiet;Niels Carøe Skinnerup;24
7931. Aalestrup;A;Socialdemokratiet;Mikael Lisberg Toft;1
7931. Aalestrup;A;Socialdemokratiet;Ib Nøhr Johansen;0
7931. Aalestrup;A;Socialdemokratiet;Karl Johan Pedersen;0
7931. Aalestrup;A;Socialdemokratiet;Karsten Nielsen;0
7931. Aalestrup;A;Socialdemokratiet;Jan Ingaard Hansen;1
7931. Aalestrup;A;Socialdemokratiet;Doris Lauritzen;15
7931. Aalestrup;A;Socialdemokratiet;Leon Klysner Sørensen;0
7931. Aalestrup;A;Socialdemokratiet;Bjarne Larsen;0
7931. Aalestrup;A;Socialdemokratiet;Kirsten Elisabeth Jørgensen;0
7931. Aalestrup;A;Socialdemokratiet;Hans Peter Møller Nielsen;0
7931. Aalestrup;A;Socialdemokratiet;Ole Petersen;1
7931. Aalestrup;A;Socialdemokratiet;Jens Jørgen Sudergaard;0
7931. Aalestrup;A;Socialdemokratiet;Michael Timm;1
7931. Aalestrup;B;Det Radikale Venstre;Listestemmer;18
7931. Aalestrup;B;Det Radikale Venstre;Ninni Helle Lodahl Gjessing;2
7931. Aalestrup;B;Det Radikale Venstre;Hanne Tindal Madsen;1
7931. Aalestrup;B;Det Radikale Venstre;Knud Erik Christensen;1
7931. Aalestrup;B;Det Radikale Venstre;Gerda Vældgaard Sørensen;6
7931. Aalestrup;B;Det Radikale Venstre;Thomas Madsen Nielsen;0
7931. Aalestrup;B;Det Radikale Venstre;Ole Dalsgaard;0
7931. Aalestrup;B;Det Radikale Venstre;Henrik Andreas Toft Jørgensen;0
7931. Aalestrup;C;Det Konservative Folkeparti;Listestemmer;115
7931. Aalestrup;C;Det Konservative Folkeparti;Knud Vældgaard Kristensen;52
7931. Aalestrup;C;Det Konservative Folkeparti;Jette Thomsen;9
7931. Aalestrup;C;Det Konservative Folkeparti;Birgitte Tetzlaff Langgaard;0
7931. Aalestrup;C;Det Konservative Folkeparti;Bent Sloth;6
7931. Aalestrup;C;Det Konservative Folkeparti;Ernst Pinstrup Sørensen;0
7931. Aalestrup;C;Det Konservative Folkeparti;Ilse Merete Skadhauge Larsen;0
7931. Aalestrup;C;Det Konservative Folkeparti;Niels Krebs Hansen;0
7931. Aalestrup;C;Det Konservative Folkeparti;Henrik Christian Selch Jensen;0
7931. Aalestrup;C;Det Konservative Folkeparti;Klavs Viggo Bojsen;18
7931. Aalestrup;C;Det Konservative Folkeparti;Marianne Broust;0
7931. Aalestrup;C;Det Konservative Folkeparti;Hans Schmidt;1
7931. Aalestrup;C;Det Konservative Folkeparti;Mogens Juel;0
7931. Aalestrup;C;Det Konservative Folkeparti;Hanne Grabow;19
7931. Aalestrup;C;Det Konservative Folkeparti;Peder Godiksen;1
7931. Aalestrup;C;Det Konservative Folkeparti;Else Marie Sønderstrup;0
7931. Aalestrup;C;Det Konservative Folkeparti;Henrik Degn;0
7931. Aalestrup;C;Det Konservative Folkeparti;Svend Harry Nielsen;0
7931. Aalestrup;C;Det Konservative Folkeparti;Jesper Rose Vejen;0
7931. Aalestrup;C;Det Konservative Folkeparti;Ellen Marie Pedersen;0
7931. Aalestrup;F;Socialistisk Folkeparti;Listestemmer;24
7931. Aalestrup;F;Socialistisk Folkeparti;H Torben D Jensen;3
7931. Aalestrup;F;Socialistisk Folkeparti;Jørgen Grøn;1
7931. Aalestrup;F;Socialistisk Folkeparti;Niels Heebøll;14
7931. Aalestrup;F;Socialistisk Folkeparti;Jesper Bach;1
7931. Aalestrup;F;Socialistisk Folkeparti;Linda Mølgaard;2
7931. Aalestrup;F;Socialistisk Folkeparti;Arly Erling Møller Badstue;0
7931. Aalestrup;F;Socialistisk Folkeparti;Kate Cecilie Fallesen;0
7931. Aalestrup;F;Socialistisk Folkeparti;Ole Bang Nielsen;0
7931. Aalestrup;F;Socialistisk Folkeparti;Solveig Holme Godiksen;0
7931. Aalestrup;L;Borgerlisten Vesthimmerland;Listestemmer;299
7931. Aalestrup;L;Borgerlisten Vesthimmerland;Bjarne Jensen;5
7931. Aalestrup;L;Borgerlisten Vesthimmerland;Per Aagaard Pedersen;153
7931. Aalestrup;L;Borgerlisten Vesthimmerland;Mogens Jensen;1
7931. Aalestrup;L;Borgerlisten Vesthimmerland;Hanne Volbro Sæderup;0
7931. Aalestrup;L;Borgerlisten Vesthimmerland;Poul Erik Jensen;97
