Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Listestemmer;750
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Nicolai Wammen;1987
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Flemming Knudsen;144
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Susan Arac;208
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Hans Halvorsen;27
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Margrethe Bogner;20
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Jacob B. Johansen;39
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Ango Winther;10
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Karen Juul;11
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Tatiana Sørensen;33
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Diana Jensen;13
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Jette Gravesen;5
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Camilla Fabricius-Jensen;21
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Birte Rerup;3
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Marianne Thejl Jespersen;14
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Gete Villefrance;5
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Stig Langvad;6
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Claus Thomasbjerg;25
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Peter D. Baunsgaard;16
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Lisbeth Lorentsen;5
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Brian Sten Larsen;2
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Steen B. Andersen;5
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Kristian Würtz;54
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Margit Johansen;1
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Lene Christensen;9
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Bent Jensen;1
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Thure Østergaard;6
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Reza Taremian;10
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Klaus Jachobsen;0
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Jan Radzewicz;0
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Fazil K. Koc;0
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Ole Bøgh Vinther;2
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Børge Boldreel Sørensen;0
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Ivan D. C. A. Guzman;2
1. Skt. Anna Gades Skole;A;Socialdemokratiet;William Enevold Ehmsen;1
1. Skt. Anna Gades Skole;A;Socialdemokratiet;Maher Taha;2
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Listestemmer;424
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Peter Thyssen;88
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Uffe Elbæk;150
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Morten Skovsted;55
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Hanne Roed;31
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Kirsten Grønborg;23
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Stefan Seidler;7
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Søren Højlund Carlsen;3
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Kambiz K. Hormoozi;8
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Louise Okon Willie;5
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Rabih Azad-Ahmad;12
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Sander Jensen;3
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Jonna Fonnesbæk Hansen;2
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Astrid Egerod Leth;7
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Nadia Bawalsa;2
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Daniel Gräs Olesen;0
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Grethe Grønkjær;2
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Thorkild Dalsgaard;1
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Erling Pedersen;1
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Lise Telling Nielsen;2
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Ulla Grymer;6
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Palle Jørgensen;0
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Christian Vuust;14
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Marcus Sabri;0
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Lars Thue Hansen;1
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Jens Peder Kristensen;1
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Jeppe Ottow;3
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Zeljko Zarkovic;2
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Julie Ormholt Brink;0
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Betina Marcker;1
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Lars Theiss Errboe;0
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Henning Ank;0
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Michael Pedersen;0
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Stig Gulbæk;0
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Helle Hartmann;1
1. Skt. Anna Gades Skole;B;Det Radikale Venstre;Hanne Bisgaard;1
1. Skt. Anna Gades Skole;C;Det Konservative Folkeparti;Listestemmer;170
1. Skt. Anna Gades Skole;C;Det Konservative Folkeparti;Poul B. Skou;136
1. Skt. Anna Gades Skole;C;Det Konservative Folkeparti;Marc Perera Christensen;47
1. Skt. Anna Gades Skole;C;Det Konservative Folkeparti;Anne Mette Villadsen;26
1. Skt. Anna Gades Skole;C;Det Konservative Folkeparti;Poul Müller;11
