Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
4431. Marstal;A;Socialdemokratiet;Listestemmer;343
4431. Marstal;A;Socialdemokratiet;Jørgen Otto Jørgensen;42
4431. Marstal;A;Socialdemokratiet;Ole Wej Petersen;78
4431. Marstal;A;Socialdemokratiet;Christian Albertsen;8
4431. Marstal;A;Socialdemokratiet;Grethe Skov;71
4431. Marstal;A;Socialdemokratiet;Lone Engdam;3
4431. Marstal;A;Socialdemokratiet;Michael Christensen;6
4431. Marstal;A;Socialdemokratiet;Karin Thumilaire;7
4431. Marstal;A;Socialdemokratiet;Inge-Lise Kromann;27
4431. Marstal;A;Socialdemokratiet;Lisbeth Heinesen;10
4431. Marstal;A;Socialdemokratiet;Henrik Løkkegaard Sonne;24
4431. Marstal;A;Socialdemokratiet;Lars Grantzau;2
4431. Marstal;A;Socialdemokratiet;Henrik Bay Larsen;30
4431. Marstal;C;Det Konservative Folkeparti;Listestemmer;812
4431. Marstal;C;Det Konservative Folkeparti;Karsten Landro;529
4431. Marstal;C;Det Konservative Folkeparti;Jan Mortensen;72
4431. Marstal;C;Det Konservative Folkeparti;Chr. Bruun;2
4431. Marstal;C;Det Konservative Folkeparti;Vibeke Lykke Friis;6
4431. Marstal;C;Det Konservative Folkeparti;Knud A. Svendsen;0
4431. Marstal;C;Det Konservative Folkeparti;Erik B. Kromann;96
4431. Marstal;C;Det Konservative Folkeparti;Leo Holm;24
4431. Marstal;C;Det Konservative Folkeparti;Poul Elman Hansen;7
4431. Marstal;C;Det Konservative Folkeparti;Carsten Kristensen;11
4431. Marstal;C;Det Konservative Folkeparti;Troels Fryd;3
4431. Marstal;C;Det Konservative Folkeparti;Vivi Degner;6
4431. Marstal;C;Det Konservative Folkeparti;Poul Lomholt;0
4431. Marstal;C;Det Konservative Folkeparti;Orla Gravgaard;5
4431. Marstal;C;Det Konservative Folkeparti;Gert A. Hansen;8
4431. Marstal;C;Det Konservative Folkeparti;Per Andersen;5
4431. Marstal;F;Socialistisk Folkeparti;Listestemmer;42
4431. Marstal;F;Socialistisk Folkeparti;Carsten Møller Nielsen;8
4431. Marstal;F;Socialistisk Folkeparti;Bjørn Kay;11
4431. Marstal;F;Socialistisk Folkeparti;Georg Augustenborg;1
4431. Marstal;F;Socialistisk Folkeparti;Gerda Iversen;3
