Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Dragør Skole;A;Socialdemokratiet;Listestemmer;90
1. Dragør Skole;A;Socialdemokratiet;Allan Holst;248
1. Dragør Skole;A;Socialdemokratiet;Ole K. Svendsen;44
1. Dragør Skole;A;Socialdemokratiet;Lillian Knudsen;38
1. Dragør Skole;A;Socialdemokratiet;Bertel Riber;10
1. Dragør Skole;A;Socialdemokratiet;Knud Rosing;3
1. Dragør Skole;A;Socialdemokratiet;Finn Werner;0
1. Dragør Skole;A;Socialdemokratiet;Ole H. Hansen;5
1. Dragør Skole;A;Socialdemokratiet;Leif Ingersholm;4
1. Dragør Skole;A;Socialdemokratiet;Thomas Ulrik Johansson;2
1. Dragør Skole;A;Socialdemokratiet;Peter Grovermann;1
1. Dragør Skole;A;Socialdemokratiet;Signe Brix Arvin;10
1. Dragør Skole;A;Socialdemokratiet;Elisabeth Haase;0
1. Dragør Skole;A;Socialdemokratiet;Poul Breyen;1
1. Dragør Skole;A;Socialdemokratiet;Svend Erik Haase;1
1. Dragør Skole;A;Socialdemokratiet;Anni Mandsberg Christensen;1
1. Dragør Skole;A;Socialdemokratiet;Dorrit Kümmel Hansen;0
1. Dragør Skole;B;Det Radikale Venstre;Listestemmer;22
1. Dragør Skole;B;Det Radikale Venstre;Else Lykke Madsen;17
1. Dragør Skole;B;Det Radikale Venstre;Lars Richard Rasmussen;2
1. Dragør Skole;B;Det Radikale Venstre;Nicolaj Bertel Riber;6
1. Dragør Skole;B;Det Radikale Venstre;Arne Carlsen;0
1. Dragør Skole;B;Det Radikale Venstre;Anne Grønlund;6
1. Dragør Skole;B;Det Radikale Venstre;Niels Bloch;1
1. Dragør Skole;C;Det Konservative Folkeparti;Listestemmer;70
1. Dragør Skole;C;Det Konservative Folkeparti;Asger Larsen;136
1. Dragør Skole;C;Det Konservative Folkeparti;Signe Justesen;50
1. Dragør Skole;C;Det Konservative Folkeparti;Kim Munk;36
1. Dragør Skole;C;Det Konservative Folkeparti;Dorthe Brinck;17
1. Dragør Skole;C;Det Konservative Folkeparti;Richard Barth;14
1. Dragør Skole;C;Det Konservative Folkeparti;Kenneth Gøtterup;76
1. Dragør Skole;C;Det Konservative Folkeparti;Trine Hansen;3
1. Dragør Skole;C;Det Konservative Folkeparti;Uffe Jacobsen;20
1. Dragør Skole;C;Det Konservative Folkeparti;Svend Mathiasen;10
1. Dragør Skole;C;Det Konservative Folkeparti;Kurt Christensen;5
1. Dragør Skole;C;Det Konservative Folkeparti;Christian S. Larsen;15
1. Dragør Skole;C;Det Konservative Folkeparti;Bent Kofod;6
1. Dragør Skole;C;Det Konservative Folkeparti;Jan Christiansen;4
1. Dragør Skole;C;Det Konservative Folkeparti;Benny Gyngsø;1
1. Dragør Skole;F;SF - Socialistisk Folkeparti;Listestemmer;87
1. Dragør Skole;F;SF - Socialistisk Folkeparti;Kim Grønved Nielsen;32
1. Dragør Skole;F;SF - Socialistisk Folkeparti;Mette Mortensen;27
1. Dragør Skole;F;SF - Socialistisk Folkeparti;Allan Jansen;6
1. Dragør Skole;O;Dansk Folkeparti;Listestemmer;56
1. Dragør Skole;O;Dansk Folkeparti;Morten Dreyer;74
1. Dragør Skole;O;Dansk Folkeparti;Kim Grip-Hansen;18
1. Dragør Skole;O;Dansk Folkeparti;Jørgen Honoré;4
1. Dragør Skole;O;Dansk Folkeparti;Marianne Grip-Hansen;8
1. Dragør Skole;T;Tværpolitisk Liste;Listestemmer;169
1. Dragør Skole;T;Tværpolitisk Liste;Pernille Lundqvist;160
1. Dragør Skole;T;Tværpolitisk Liste;Peter Læssøe;78
1. Dragør Skole;T;Tværpolitisk Liste;Birgitte Rinhart;51
1. Dragør Skole;T;Tværpolitisk Liste;Ebbe Kyrø;21
1. Dragør Skole;T;Tværpolitisk Liste;Peter Gall;22
1. Dragør Skole;T;Tværpolitisk Liste;Rita Smedegaard;50
1. Dragør Skole;T;Tværpolitisk Liste;Jutta Hørlyck;14
1. Dragør Skole;T;Tværpolitisk Liste;Nemat Osmani;13
1. Dragør Skole;T;Tværpolitisk Liste;Lene Groth;7
1. Dragør Skole;T;Tværpolitisk Liste;Hanne Wanscher;5
1. Dragør Skole;T;Tværpolitisk Liste;Hannibal Langner-Christensen;17
1. Dragør Skole;T;Tværpolitisk Liste;Vanessa Gina Turri;18
1. Dragør Skole;T;Tværpolitisk Liste;Allan Larsen;2
1. Dragør Skole;T;Tværpolitisk Liste;Ea Damgaard;20
1. Dragør Skole;T;Tværpolitisk Liste;Jan Riis Flor;2
1. Dragør Skole;T;Tværpolitisk Liste;Kristine Bak;1
1. Dragør Skole;T;Tværpolitisk Liste;Ole Nørgaard;8
1. Dragør Skole;T;Tværpolitisk Liste;Bent Larsen;12
