Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Listestemmer;41
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Ib Sørensen;5
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Jørgen Hvidemose;5
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Marianne Røgen;7
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Vicky Holst Rasmussen;4
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Flemming Hoff Kjeldsen;24
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Per Elo Larsen;0
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Ole Lind Larsen;1
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Torben Rasmussen;2
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Lone Lunding;1
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Eva Fahnøe Buch;0
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Tina Olsen;1
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Listestemmer;6
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Christian Friis Bach;33
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Rikke Mortensen;4
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Paul Aywaz;0
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Carsten Johansson;0
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Anders Larsen;0
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Birgit Mortensen;0
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Søren Peter Kongsted;0
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Per Ammundsen;0
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Ole-Peter Petersen;0
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Erik Mortensen;1
1. Ledøje Forsamlingshus;B;Det Radikale Venstre;Leif Rasmussen;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Listestemmer;16
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Jens Jørgen Nygaard, Ledøje;281
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Susanne Barfoed, Veksø;4
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Erhard Filtenborg, Ølstykke;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Esben Vognsen Jensen, Smørumnedre;17
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Charlotte Haagendrup, Ølstykke;1
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Finn Højgaard Mortensen, Ganløse;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Natasha Enetoft, Smørumnedre;2
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Niels Lindhardt Johansen, Ganløse;1
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Mathias Barfoed, Veksø;1
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Ingrid Bay, Smørumnedre;2
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Karen Boesgaard, Smørumnedre;4
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Dan Haugbøl, Smørumnedre;8
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Eva Møller, Ølstykke;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Lars Jacobsen, Ganløse;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Bent Thyge Thygesen, Smørumnedre;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Knut Wolffbrandt, Stenløse;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Ric Jakobsen, Slagslunde;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Peter Sparholt, Edelgave Huse;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Susanne Christensen, Smørumnedre;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Kira von der Lippe Borges,Stenløse;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Søren Martinsen, Smørumnedre;0
1. Ledøje Forsamlingshus;E;Egedal-listen;Listestemmer;1
1. Ledøje Forsamlingshus;E;Egedal-listen;Svend Kjærgaard;3
1. Ledøje Forsamlingshus;E;Egedal-listen;Bjørn Groskopf;0
1. Ledøje Forsamlingshus;E;Egedal-listen;Bendt Tranekjær;0
1. Ledøje Forsamlingshus;E;Egedal-listen;Bjarne Larsen;1
1. Ledøje Forsamlingshus;E;Egedal-listen;Claus S. Madsen;0
1. Ledøje Forsamlingshus;E;Egedal-listen;Signe Blegmand;0
1. Ledøje Forsamlingshus;E;Egedal-listen;Lise Nielsen;0
1. Ledøje Forsamlingshus;E;Egedal-listen;Gitte Bjelke;1
1. Ledøje Forsamlingshus;E;Egedal-listen;Susanne Rousing Søndergaard;1
