Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Frederikssund Bymidte;A;Socialdemokratiet;Listestemmer;260
1. Frederikssund Bymidte;A;Socialdemokratiet;Ole Find Jensen;474
1. Frederikssund Bymidte;A;Socialdemokratiet;Tina Tving Stauning;207
1. Frederikssund Bymidte;A;Socialdemokratiet;Kirsten Weiland;26
1. Frederikssund Bymidte;A;Socialdemokratiet;Jesper Henriksen;13
1. Frederikssund Bymidte;A;Socialdemokratiet;Kim Rockhill;7
1. Frederikssund Bymidte;A;Socialdemokratiet;Guri Bjerregaard;36
1. Frederikssund Bymidte;A;Socialdemokratiet;Susanne Bettina Jørgensen;19
1. Frederikssund Bymidte;A;Socialdemokratiet;Anne-Lise Kuhre;5
1. Frederikssund Bymidte;A;Socialdemokratiet;Kenneth Jensen;43
1. Frederikssund Bymidte;A;Socialdemokratiet;Morten Christensen;11
1. Frederikssund Bymidte;A;Socialdemokratiet;Mogens A. Andersen;29
1. Frederikssund Bymidte;A;Socialdemokratiet;Torben Petterson;3
1. Frederikssund Bymidte;A;Socialdemokratiet;Christian Storminger;1
1. Frederikssund Bymidte;A;Socialdemokratiet;Jesper Wittenburg;94
1. Frederikssund Bymidte;A;Socialdemokratiet;Tom Lysgaard;10
1. Frederikssund Bymidte;A;Socialdemokratiet;Peter Jacobsen;4
1. Frederikssund Bymidte;A;Socialdemokratiet;Ulrik Jensen;13
1. Frederikssund Bymidte;A;Socialdemokratiet;Preben Karlsen;7
1. Frederikssund Bymidte;A;Socialdemokratiet;Ole Zester;5
1. Frederikssund Bymidte;B;Det Radikale Venstre;Listestemmer;33
1. Frederikssund Bymidte;B;Det Radikale Venstre;Mads Bondo Dydensborg;40
1. Frederikssund Bymidte;B;Det Radikale Venstre;Susanne Kirketerp-Møller;4
1. Frederikssund Bymidte;B;Det Radikale Venstre;Annette Rolsting;4
1. Frederikssund Bymidte;B;Det Radikale Venstre;Kristine Fog-Morrissette;2
1. Frederikssund Bymidte;B;Det Radikale Venstre;Tom Foged;2
1. Frederikssund Bymidte;B;Det Radikale Venstre;Keld Toftgaard Jakobsen;0
1. Frederikssund Bymidte;B;Det Radikale Venstre;Verner Bylov Larsen;0
1. Frederikssund Bymidte;B;Det Radikale Venstre;Birte Bondo Als;0
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Listestemmer;93
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Morten Skovgaard;253
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Ole Søbæk Christiansen;80
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Hanne Kyvsgaard;14
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Hanne Christiansen;12
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Jette Christensen;2
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Dorte Buhl;7
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Rasmus Mahler;2
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Søren Vester-Fabrin;2
1. Frederikssund Bymidte;C;Det Konservative Folkeparti;Leonilda Orrego Viera;26
1. Frederikssund Bymidte;F;SF - Socialistisk Folkeparti;Listestemmer;189
1. Frederikssund Bymidte;F;SF - Socialistisk Folkeparti;Grethe Olsen;242
1. Frederikssund Bymidte;F;SF - Socialistisk Folkeparti;Poul Henrik Hedeboe;35
1. Frederikssund Bymidte;F;SF - Socialistisk Folkeparti;Susan Stauersbøl;70
1. Frederikssund Bymidte;F;SF - Socialistisk Folkeparti;Jens Timm Jensen;3
1. Frederikssund Bymidte;F;SF - Socialistisk Folkeparti;Else Marie Klærke;3
1. Frederikssund Bymidte;F;SF - Socialistisk Folkeparti;Ole Goldbech;0
1. Frederikssund Bymidte;F;SF - Socialistisk Folkeparti;Marianne Vanghøj;2
1. Frederikssund Bymidte;F;SF - Socialistisk Folkeparti;Lisbeth Scherney;5
1. Frederikssund Bymidte;I;Liberal Alliance;Listestemmer;0
1. Frederikssund Bymidte;I;Liberal Alliance;Marianne Porsborg;12
1. Frederikssund Bymidte;I;Liberal Alliance;Thomas Knudsen;0
1. Frederikssund Bymidte;O;Dansk Folkeparti;Listestemmer;147
1. Frederikssund Bymidte;O;Dansk Folkeparti;Pia Adelsteen;136
1. Frederikssund Bymidte;O;Dansk Folkeparti;Kasper Andersen;12
1. Frederikssund Bymidte;O;Dansk Folkeparti;Claus Adelsteen Andersen;7
1. Frederikssund Bymidte;O;Dansk Folkeparti;Lili Haubjerg;7
1. Frederikssund Bymidte;O;Dansk Folkeparti;Sonja Laursen;4
1. Frederikssund Bymidte;O;Dansk Folkeparti;Maria Byth;7
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Listestemmer;168
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;John Schmidt Andersen;179
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Jens Ross Andersen;36
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Anne-Mette Risgaard Schmidt;27
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Lis Olsen;106
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Jesper Thorup;27
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Jørgen Bech;6
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Kristian Moberg;6
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Jens Jørgensen;3
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Camilla Dupont;16
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Jens Lindgreen;0
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;Jørgen Olsen;3
1. Frederikssund Bymidte;V;Venstre, Danmarks Liberale Parti;H. Romme;42
2. Frederikssund Nord;A;Socialdemokratiet;Listestemmer;216
2. Frederikssund Nord;A;Socialdemokratiet;Ole Find Jensen;335
2. Frederikssund Nord;A;Socialdemokratiet;Tina Tving Stauning;191
2. Frederikssund Nord;A;Socialdemokratiet;Kirsten Weiland;20
2. Frederikssund Nord;A;Socialdemokratiet;Jesper Henriksen;19
2. Frederikssund Nord;A;Socialdemokratiet;Kim Rockhill;15
2. Frederikssund Nord;A;Socialdemokratiet;Guri Bjerregaard;22
2. Frederikssund Nord;A;Socialdemokratiet;Susanne Bettina Jørgensen;8
2. Frederikssund Nord;A;Socialdemokratiet;Anne-Lise Kuhre;5
2. Frederikssund Nord;A;Socialdemokratiet;Kenneth Jensen;31
2. Frederikssund Nord;A;Socialdemokratiet;Morten Christensen;11
2. Frederikssund Nord;A;Socialdemokratiet;Mogens A. Andersen;42
2. Frederikssund Nord;A;Socialdemokratiet;Torben Petterson;5
2. Frederikssund Nord;A;Socialdemokratiet;Christian Storminger;5
2. Frederikssund Nord;A;Socialdemokratiet;Jesper Wittenburg;91
2. Frederikssund Nord;A;Socialdemokratiet;Tom Lysgaard;7
2. Frederikssund Nord;A;Socialdemokratiet;Peter Jacobsen;2
2. Frederikssund Nord;A;Socialdemokratiet;Ulrik Jensen;5
2. Frederikssund Nord;A;Socialdemokratiet;Preben Karlsen;1
2. Frederikssund Nord;A;Socialdemokratiet;Ole Zester;9
2. Frederikssund Nord;B;Det Radikale Venstre;Listestemmer;33
2. Frederikssund Nord;B;Det Radikale Venstre;Mads Bondo Dydensborg;68
2. Frederikssund Nord;B;Det Radikale Venstre;Susanne Kirketerp-Møller;9
2. Frederikssund Nord;B;Det Radikale Venstre;Annette Rolsting;5
2. Frederikssund Nord;B;Det Radikale Venstre;Kristine Fog-Morrissette;1
2. Frederikssund Nord;B;Det Radikale Venstre;Tom Foged;4
2. Frederikssund Nord;B;Det Radikale Venstre;Keld Toftgaard Jakobsen;0
2. Frederikssund Nord;B;Det Radikale Venstre;Verner Bylov Larsen;1
2. Frederikssund Nord;B;Det Radikale Venstre;Birte Bondo Als;0
2. Frederikssund Nord;C;Det Konservative Folkeparti;Listestemmer;129
2. Frederikssund Nord;C;Det Konservative Folkeparti;Morten Skovgaard;236
2. Frederikssund Nord;C;Det Konservative Folkeparti;Ole Søbæk Christiansen;99
2. Frederikssund Nord;C;Det Konservative Folkeparti;Hanne Kyvsgaard;7
2. Frederikssund Nord;C;Det Konservative Folkeparti;Hanne Christiansen;28
2. Frederikssund Nord;C;Det Konservative Folkeparti;Jette Christensen;9
2. Frederikssund Nord;C;Det Konservative Folkeparti;Dorte Buhl;8
2. Frederikssund Nord;C;Det Konservative Folkeparti;Rasmus Mahler;3
2. Frederikssund Nord;C;Det Konservative Folkeparti;Søren Vester-Fabrin;0
2. Frederikssund Nord;C;Det Konservative Folkeparti;Leonilda Orrego Viera;16
2. Frederikssund Nord;F;SF - Socialistisk Folkeparti;Listestemmer;189
2. Frederikssund Nord;F;SF - Socialistisk Folkeparti;Grethe Olsen;188
2. Frederikssund Nord;F;SF - Socialistisk Folkeparti;Poul Henrik Hedeboe;18
2. Frederikssund Nord;F;SF - Socialistisk Folkeparti;Susan Stauersbøl;78
2. Frederikssund Nord;F;SF - Socialistisk Folkeparti;Jens Timm Jensen;9
2. Frederikssund Nord;F;SF - Socialistisk Folkeparti;Else Marie Klærke;8
2. Frederikssund Nord;F;SF - Socialistisk Folkeparti;Ole Goldbech;0
2. Frederikssund Nord;F;SF - Socialistisk Folkeparti;Marianne Vanghøj;2
2. Frederikssund Nord;F;SF - Socialistisk Folkeparti;Lisbeth Scherney;4
2. Frederikssund Nord;I;Liberal Alliance;Listestemmer;4
2. Frederikssund Nord;I;Liberal Alliance;Marianne Porsborg;14
2. Frederikssund Nord;I;Liberal Alliance;Thomas Knudsen;0
2. Frederikssund Nord;O;Dansk Folkeparti;Listestemmer;143
2. Frederikssund Nord;O;Dansk Folkeparti;Pia Adelsteen;135
2. Frederikssund Nord;O;Dansk Folkeparti;Kasper Andersen;25
2. Frederikssund Nord;O;Dansk Folkeparti;Claus Adelsteen Andersen;8
2. Frederikssund Nord;O;Dansk Folkeparti;Lili Haubjerg;13
2. Frederikssund Nord;O;Dansk Folkeparti;Sonja Laursen;3
2. Frederikssund Nord;O;Dansk Folkeparti;Maria Byth;4
2. Frederikssund Nord;V;Venstre, Danmarks Liberale Parti;Listestemmer;228
2. Frederikssund Nord;V;Venstre, Danmarks Liberale Parti;John Schmidt Andersen;127
2. Frederikssund Nord;V;Venstre, Danmarks Liberale Parti;Jens Ross Andersen;46
2. Frederikssund Nord;V;Venstre, Danmarks Liberale Parti;Anne-Mette Risgaard Schmidt;47
2. Frederikssund Nord;V;Venstre, Danmarks Liberale Parti;Lis Olsen;62
