Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Nordvangskolen;A;Socialdemokratiet;Listestemmer;137
1. Nordvangskolen;A;Socialdemokratiet;Søren Enemark;137
1. Nordvangskolen;A;Socialdemokratiet;Peter Sørensen;30
1. Nordvangskolen;A;Socialdemokratiet;Jan Due;25
1. Nordvangskolen;A;Socialdemokratiet;Susanne Nordbjerg Bach;17
1. Nordvangskolen;A;Socialdemokratiet;Ketty Baggesen;10
1. Nordvangskolen;A;Socialdemokratiet;Michael Weiss;1
1. Nordvangskolen;A;Socialdemokratiet;Gitte Wallin Limkilde;18
1. Nordvangskolen;A;Socialdemokratiet;Per Hansen;11
1. Nordvangskolen;A;Socialdemokratiet;Freddie Rose;39
1. Nordvangskolen;A;Socialdemokratiet;Claus Nielsen;2
1. Nordvangskolen;A;Socialdemokratiet;Ole Hammer;7
1. Nordvangskolen;A;Socialdemokratiet;Ulf Taube;8
1. Nordvangskolen;A;Socialdemokratiet;Claus M. Riis;2
1. Nordvangskolen;A;Socialdemokratiet;Kjeld Pyrdol Nielsen;1
1. Nordvangskolen;A;Socialdemokratiet;Jesper Beckmann;2
1. Nordvangskolen;B;Det Radikale Venstre;Listestemmer;16
1. Nordvangskolen;B;Det Radikale Venstre;Erik Schmidt Andersen;2
1. Nordvangskolen;B;Det Radikale Venstre;Mustafa Temel;2
1. Nordvangskolen;B;Det Radikale Venstre;Michael Andersen;0
1. Nordvangskolen;B;Det Radikale Venstre;Per Greisen;0
1. Nordvangskolen;B;Det Radikale Venstre;Merle Andersen;1
1. Nordvangskolen;C;Det Konservative Folkeparti;Listestemmer;70
1. Nordvangskolen;C;Det Konservative Folkeparti;Lise Henriksen;45
1. Nordvangskolen;C;Det Konservative Folkeparti;Lars Høimark;39
1. Nordvangskolen;C;Det Konservative Folkeparti;Steffen Schlægelberger;10
1. Nordvangskolen;C;Det Konservative Folkeparti;Per Hatting;5
1. Nordvangskolen;C;Det Konservative Folkeparti;Benny Klitbo;3
1. Nordvangskolen;C;Det Konservative Folkeparti;Jette Matzen;1
1. Nordvangskolen;C;Det Konservative Folkeparti;Erling Linde;3
1. Nordvangskolen;C;Det Konservative Folkeparti;Jette Skovgaard Nielsen;2
1. Nordvangskolen;C;Det Konservative Folkeparti;Vibeke Anbro;0
1. Nordvangskolen;C;Det Konservative Folkeparti;Lise-Lotte Kiær;2
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Listestemmer;140
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Ane Ring Laursen;40
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Anya Jensen;39
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Palle Laustrup;38
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Charlotte Brangstrup;10
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Mette Vennerstrøm;7
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Jens Erik Larsen;6
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Mai Laustrup;13
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Børge Riisager;6
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Jørgen Skaaning;2
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Henning Richard Jensen;3
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Birgit Marie Knudsen;3
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Carsten Rasmussen;1
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Lis Alfastsen;7
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Edibe Baran;1
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Annie Christiansen;1
1. Nordvangskolen;G;Glostruplisten;Listestemmer;29
1. Nordvangskolen;G;Glostruplisten;Ove Bjerregaard-Madsen;57
