Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Frederiksborgcentret;A;Socialdemokratiet;Listestemmer;253
1. Frederiksborgcentret;A;Socialdemokratiet;Kirsten Jensen;519
1. Frederiksborgcentret;A;Socialdemokratiet;Peter Nisbeth;71
1. Frederiksborgcentret;A;Socialdemokratiet;Christina Høi;29
1. Frederiksborgcentret;A;Socialdemokratiet;Peder Bisgaard;50
1. Frederiksborgcentret;A;Socialdemokratiet;Lennart Weber;11
1. Frederiksborgcentret;A;Socialdemokratiet;René Silword;11
1. Frederiksborgcentret;A;Socialdemokratiet;Helle Eckeroth;8
1. Frederiksborgcentret;A;Socialdemokratiet;Mikael Lemberg;23
1. Frederiksborgcentret;A;Socialdemokratiet;Louise Colding;17
1. Frederiksborgcentret;A;Socialdemokratiet;Jamil Cheheibar;9
1. Frederiksborgcentret;A;Socialdemokratiet;Martin Larsen;1
1. Frederiksborgcentret;A;Socialdemokratiet;Lena Andersen;4
1. Frederiksborgcentret;A;Socialdemokratiet;Susanne Due Kristensen;7
1. Frederiksborgcentret;A;Socialdemokratiet;Tonny Hulvej Jensen;4
1. Frederiksborgcentret;A;Socialdemokratiet;Jesper Skovdal Christiansen;6
1. Frederiksborgcentret;A;Socialdemokratiet;Mads Lundgren;0
1. Frederiksborgcentret;A;Socialdemokratiet;Vivi Wøldike;16
1. Frederiksborgcentret;A;Socialdemokratiet;Dejan Zitarevic;10
1. Frederiksborgcentret;A;Socialdemokratiet;Hugo Holm Hansen;4
1. Frederiksborgcentret;A;Socialdemokratiet;Krunisa Stojkovic;27
1. Frederiksborgcentret;A;Socialdemokratiet;Gunde Odgaard;0
1. Frederiksborgcentret;B;Det Radikale Venstre;Listestemmer;68
1. Frederiksborgcentret;B;Det Radikale Venstre;Christina Thorholm, Nødebo;38
1. Frederiksborgcentret;B;Det Radikale Venstre;Elisabeth Nærum, Hillerød;11
1. Frederiksborgcentret;B;Det Radikale Venstre;Kåre Regnarsson, Ny Hammersholt;7
1. Frederiksborgcentret;B;Det Radikale Venstre;Birthe Lundsteen, Hillerød Øst;7
1. Frederiksborgcentret;B;Det Radikale Venstre;Mikael Togeby, Hillerød;3
1. Frederiksborgcentret;B;Det Radikale Venstre;Karsten Bille, Nødebo;0
1. Frederiksborgcentret;B;Det Radikale Venstre;Mette Grønvaldt, Hillerød Øst;1
1. Frederiksborgcentret;B;Det Radikale Venstre;Karen Tommerup, Ll. Lyngby;5
1. Frederiksborgcentret;B;Det Radikale Venstre;Torben Rode, Gadevang;0
1. Frederiksborgcentret;B;Det Radikale Venstre;Jesper Hauge, Ullerød;1
1. Frederiksborgcentret;B;Det Radikale Venstre;Bjarne Trog, Ullerød;0
1. Frederiksborgcentret;B;Det Radikale Venstre;René Carl Tiedemann Giese,Gadevang;0
1. Frederiksborgcentret;B;Det Radikale Venstre;Trine Bang, Hillerød;8
1. Frederiksborgcentret;B;Det Radikale Venstre;Hans Endrup Jacobsen, Hillerød;2
1. Frederiksborgcentret;B;Det Radikale Venstre;Thue Rabjerg, Uvelse;0
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Listestemmer;155
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Thomas Vang Christensen;106
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Dorte Meldgaard;24
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Vanessa de Oliveira Stephensen;23
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Sven-Ove Larsen;30
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Bente Claudi;78
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Caspar Lange Jensen;10
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Lotte Petri;17
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Carsten Viftrup Andersen;1
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Christina Backer Thomsen;4
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Ole Christian Petersen;20
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Brian Nedergaard;1
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Ingrid Feldbæk Wredstrøm;8
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Henning von Hauen;0
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Henrik Taankvist;3
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Jesper Ravn;3
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Anne Kyung Nielsen;19
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Jens Meyer;36
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Helle Kammann;3
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Jens Kofoed;6
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Brian Stahlhut Christiansen;1
1. Frederiksborgcentret;C;Det Konservative Folkeparti;Finn Hansen;12
1. Frederiksborgcentret;F;SF - Socialistisk Folkeparti;Listestemmer;326
1. Frederiksborgcentret;F;SF - Socialistisk Folkeparti;Rikke Macholm;167
