Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Listestemmer;186
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Jan Petersen;1173
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Lars Møller;109
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Niels Erik Iversen;130
1. Kulturhuset Pavillonen;A;Socialdemokratiet;John Saaby Jensen;1
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Valdemar Haumand;63
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Jesper Eriksen;34
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Tom Bytoft;1
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Else Søjmark;116
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Pia Bjerregaard;75
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Bente Hedegaard;2
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Allan Gjersbøl Jørgensen;102
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Erik Hoberg;28
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Brian Pedersen;5
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Tommy Glindvad;13
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Marianne Gade;30
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Erwin Maria Jöhnk;0
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Elin Willum Aabenhus;0
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Niels Basballe;40
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Peter Bo Jensen;3
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Karl Varmdal;9
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Allan Dantoft;13
1. Kulturhuset Pavillonen;A;Socialdemokratiet;René Skaarup;3
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Annette Leth Rasmussen;3
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Kurt Sørensen;0
1. Kulturhuset Pavillonen;A;Socialdemokratiet;Susanne Lykke Petersen;6
1. Kulturhuset Pavillonen;B;Det Radikale Venstre;Listestemmer;16
1. Kulturhuset Pavillonen;B;Det Radikale Venstre;Jan Rønne, Karlby;22
1. Kulturhuset Pavillonen;B;Det Radikale Venstre;Ole Juhl, Ørsted;1
1. Kulturhuset Pavillonen;B;Det Radikale Venstre;Jørn Juul Sørensen, Grenaa;5
1. Kulturhuset Pavillonen;B;Det Radikale Venstre;Marie Stræde Bjerk, Allingåbro;2
1. Kulturhuset Pavillonen;B;Det Radikale Venstre;Kim Jacobus Paulsen, Gjerrild;0
1. Kulturhuset Pavillonen;B;Det Radikale Venstre;Sven Skovmand, Stenvad;0
1. Kulturhuset Pavillonen;B;Det Radikale Venstre;Marianne Skovmand, Stenvad;0
1. Kulturhuset Pavillonen;C;Det Konservative Folkeparti;Listestemmer;50
1. Kulturhuset Pavillonen;C;Det Konservative Folkeparti;Benny Hammer, Grenaa;138
1. Kulturhuset Pavillonen;C;Det Konservative Folkeparti;Jens Christian Dahl, Auning;1
1. Kulturhuset Pavillonen;C;Det Konservative Folkeparti;Jeanette Christiansen, Aalsrode;5
1. Kulturhuset Pavillonen;C;Det Konservative Folkeparti;Morten Bech, Trustrup;10
1. Kulturhuset Pavillonen;C;Det Konservative Folkeparti;Peter Husum, Grenaa;17
1. Kulturhuset Pavillonen;C;Det Konservative Folkeparti;Per Skjødt Hansen, Bønnerup;0
1. Kulturhuset Pavillonen;C;Det Konservative Folkeparti;Alice Brask, Grenaa;11
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Listestemmer;117
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Mads Nikolajsen, Grenaa;166
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Jytte Schmidt, Vivild;17
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Jytte Dalgaard, Lyngby;25
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Nikolaj Andersen, Grenaa;44
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Helle Plougmann, Grenaa;33
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Winnie Åkesson, Auning;1
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Susanne Bindslev, Ørum;2
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Erik Knudsen, Grenaa;3
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Ulf Harbo, Glesborg;4
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Hanne Mogensen, Hedegård;2
1. Kulturhuset Pavillonen;F;SF - Socialistisk Folkeparti;Jytte Jacobsen, Hemmed;3
1. Kulturhuset Pavillonen;L;Borgerlisten Norddjurs;Listestemmer;20
1. Kulturhuset Pavillonen;L;Borgerlisten Norddjurs;Torben Jensen;199
1. Kulturhuset Pavillonen;L;Borgerlisten Norddjurs;Berit Byskov;3
1. Kulturhuset Pavillonen;L;Borgerlisten Norddjurs;Per Gotfredsen;0
1. Kulturhuset Pavillonen;L;Borgerlisten Norddjurs;Anette Hvid Greve;0
1. Kulturhuset Pavillonen;L;Borgerlisten Norddjurs;Olaf K. Madsen;1
1. Kulturhuset Pavillonen;L;Borgerlisten Norddjurs;John Malthøj Nielsen;0
1. Kulturhuset Pavillonen;L;Borgerlisten Norddjurs;Jørgen Vest Rasmussen;1
1. Kulturhuset Pavillonen;O;Dansk Folkeparti;Listestemmer;132
1. Kulturhuset Pavillonen;O;Dansk Folkeparti;Hans Fisker;71
1. Kulturhuset Pavillonen;O;Dansk Folkeparti;Steen T.Jensen;34
1. Kulturhuset Pavillonen;O;Dansk Folkeparti;Inger K. Andersen;27
1. Kulturhuset Pavillonen;O;Dansk Folkeparti;Christina Tofteng;14
1. Kulturhuset Pavillonen;O;Dansk Folkeparti;Henrik Stig;6
1. Kulturhuset Pavillonen;V;Venstre, Danmarks Liberale Parti;Listestemmer;221
1. Kulturhuset Pavillonen;V;Venstre, Danmarks Liberale Parti;Hans Husum, Grenaa;488
1. Kulturhuset Pavillonen;V;Venstre, Danmarks Liberale Parti;Eigil Henriksen, Glesborg;34
1. Kulturhuset Pavillonen;V;Venstre, Danmarks Liberale Parti;Jens Meilvang, Gjesing;30
1. Kulturhuset Pavillonen;V;Venstre, Danmarks Liberale Parti;Lars Sørensen, Auning;0
1. Kulturhuset Pavillonen;V;Venstre, Danmarks Liberale Parti;Kirsten Jensen, Grenaa;68
1. Kulturhuset Pavillonen;V;Venstre, Danmarks Liberale Parti;Lars Glerup, Skærvad;5
1. Kulturhuset Pavillonen;V;Venstre, Danmarks Liberale Parti;Lars Østergaard, Grenaa;170
