Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Fårvang;A;Socialdemokratiet;Listestemmer;65
1. Fårvang;A;Socialdemokratiet;Hanne Bæk Olsen;86
1. Fårvang;A;Socialdemokratiet;Søren Kristensen;4
1. Fårvang;A;Socialdemokratiet;Erling Prang;3
1. Fårvang;A;Socialdemokratiet;Carl-Erik Larsen;6
1. Fårvang;A;Socialdemokratiet;Lars Faarup;0
1. Fårvang;A;Socialdemokratiet;Helle Westergaard;2
1. Fårvang;A;Socialdemokratiet;Arne Lund;0
1. Fårvang;A;Socialdemokratiet;Rune Kristensen;4
1. Fårvang;A;Socialdemokratiet;Lars Munksø;1
1. Fårvang;A;Socialdemokratiet;Kurt Brunk Hansen;1
1. Fårvang;A;Socialdemokratiet;Ivan Greve;59
1. Fårvang;A;Socialdemokratiet;Bodil Jensen;3
1. Fårvang;A;Socialdemokratiet;Søren Stauning Goldmann;1
1. Fårvang;A;Socialdemokratiet;Christina Løvbjerg;1
1. Fårvang;A;Socialdemokratiet;Gert Nielsen;0
1. Fårvang;A;Socialdemokratiet;Christian Nolsøe Nielsen;0
1. Fårvang;A;Socialdemokratiet;Elisabeth Petursson;0
1. Fårvang;A;Socialdemokratiet;Keld Bonnerup Jepsen;1
1. Fårvang;A;Socialdemokratiet;Mads Hjortnæs;0
1. Fårvang;A;Socialdemokratiet;Mustafa Kellegöz;1
1. Fårvang;A;Socialdemokratiet;Gösta Pedersen;1
1. Fårvang;A;Socialdemokratiet;Lise Anthonsen;1
1. Fårvang;A;Socialdemokratiet;Mike H. Rasmussen;0
1. Fårvang;A;Socialdemokratiet;Palle Lundkjær Kristensen;0
1. Fårvang;B;Det Radikale Venstre;Listestemmer;7
1. Fårvang;B;Det Radikale Venstre;Svend Thue Damgaard, Kjellerup;2
1. Fårvang;B;Det Radikale Venstre;Pia Guldager Bilde, Silkeborg;2
1. Fårvang;B;Det Radikale Venstre;Dorthe Lindmann, Silkeborg;1
1. Fårvang;B;Det Radikale Venstre;Marcus Helk, Silkeborg;0
1. Fårvang;B;Det Radikale Venstre;Jes Juul Lauesen, Silkeborg;0
1. Fårvang;B;Det Radikale Venstre;Kristoffer Garne, Gjern;7
1. Fårvang;B;Det Radikale Venstre;Torben Friis, Silkeborg;0
1. Fårvang;B;Det Radikale Venstre;Villy Pedersen, Silkeborg;0
1. Fårvang;B;Det Radikale Venstre;Kim Kirkegaard, Silkeborg;2
1. Fårvang;C;Det Konservative Folkeparti;Listestemmer;20
1. Fårvang;C;Det Konservative Folkeparti;Frank Borch-Olsen;16
1. Fårvang;C;Det Konservative Folkeparti;Mia Schmidt;5
1. Fårvang;C;Det Konservative Folkeparti;Michael Nørgaard Nielsen;0
1. Fårvang;C;Det Konservative Folkeparti;Martin Jakobsen;0
1. Fårvang;C;Det Konservative Folkeparti;Camilla Hertzum Johansen;1
1. Fårvang;C;Det Konservative Folkeparti;Anne Lunde Andersen;1
1. Fårvang;C;Det Konservative Folkeparti;Mads Hovgaard Rytter;1
1. Fårvang;C;Det Konservative Folkeparti;Claus Møller-Nielsen;2
1. Fårvang;C;Det Konservative Folkeparti;Cecilie Alexandra Vogel;2
1. Fårvang;F;SF - Socialistisk Folkeparti;Listestemmer;54
1. Fårvang;F;SF - Socialistisk Folkeparti;Hans Okholm;15
1. Fårvang;F;SF - Socialistisk Folkeparti;Elin Sonne;16
1. Fårvang;F;SF - Socialistisk Folkeparti;Alexander Thorvaldsen;4
1. Fårvang;F;SF - Socialistisk Folkeparti;Naja Kjær Poulsen;2
1. Fårvang;F;SF - Socialistisk Folkeparti;Jørn Rye Rasmussen;5
1. Fårvang;F;SF - Socialistisk Folkeparti;Anders Henriksen;6
1. Fårvang;F;SF - Socialistisk Folkeparti;Erik Markvad Jørgensen;2
1. Fårvang;F;SF - Socialistisk Folkeparti;Finn Mosegaard;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Anette Freund;2
1. Fårvang;F;SF - Socialistisk Folkeparti;Stefan Rossel;13
1. Fårvang;F;SF - Socialistisk Folkeparti;Robert Thompson;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Ida Homilius;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Mikkel Yerst;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Karsten Brink;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Abdi Nur;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Nicolai Pape Mortensen;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Jesper Tuxen;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Poula Jensen;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Svend Jensen;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Niels J. Sørensen;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Tove Dan;0
1. Fårvang;F;SF - Socialistisk Folkeparti;Anders Gjedsted;0
1. Fårvang;G;Silkeborg Borgerliste;Listestemmer;1
1. Fårvang;G;Silkeborg Borgerliste;Poul Gudberg;6
1. Fårvang;G;Silkeborg Borgerliste;Søren Mortensen;0
1. Fårvang;I;Liberal Alliance;Listestemmer;1
1. Fårvang;I;Liberal Alliance;Holger Fløe Vestergaard,Alderslyst;1
1. Fårvang;I;Liberal Alliance;Jeanette Lynel, Funder;0
1. Fårvang;I;Liberal Alliance;Niels Peter Frede Sørensen, Balle;0
1. Fårvang;I;Liberal Alliance;Anton Revsgård Benkestok,Kjellerup;1
1. Fårvang;K;Kristendemokraterne;Listestemmer;2
1. Fårvang;K;Kristendemokraterne;Danuta Vestergaard, Silkeborg;1
1. Fårvang;K;Kristendemokraterne;Frits Madsen, Levring;1
1. Fårvang;K;Kristendemokraterne;Verner B. Andersen, Svostrup;1
1. Fårvang;O;Dansk Folkeparti;Listestemmer;49
1. Fårvang;O;Dansk Folkeparti;Leif Lund;35
1. Fårvang;O;Dansk Folkeparti;Harry E. Madsen;7
1. Fårvang;O;Dansk Folkeparti;Karina Due;7
1. Fårvang;O;Dansk Folkeparti;Trine Olesen;8
1. Fårvang;O;Dansk Folkeparti;Ib Andersen;0
1. Fårvang;O;Dansk Folkeparti;Kjeld Strack;1
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Listestemmer;64
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Steen Vindum;103
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Gitte Willumsen;7
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Bente Rands Mortensen;1
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Leif Bæk;1
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Britta Bang;6
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Søren Slott;0
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Hans-Jørgen Hørning;3
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Bent Dalsgaard Pedersen;4
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Helga Sandorf Jacobsen;39
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Anders Kaysen;3
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Kjeld Aagaard Kjærulff;2
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Bent Braüner;0
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Alan Bjerregaard;1
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Carsten Jacobsen;1
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Poul Dahl;3
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Peter D. Lunde;2
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Bent Jensen;1
1. Fårvang;V;Venstre, Danmarks Liberale Parti;Ole Holm;124
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;1
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Lene Fruelund, Funder;1
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Maj-Lie Majbækgaard, Vinderslev;0
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Lars Nyhuus Henriksen, Vrads;0
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Christian Juhl, Silkeborg;2
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Mariette Udengaard Hansen, Vrads;0
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Simon Kristensen, Gjern;1
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Helle Ipsen, Silkeborg;0
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Poul Anker Sørensen, Silkeborg;0
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Kirsten Gammelgaard, Silkeborg;0
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Bent Ove Pedersen, Silkeborg;0
1. Fårvang;Ø;Enhedslisten - De Rød-Grønne;Malte Bang, Silkeborg;0
2. Gjern;A;Socialdemokratiet;Listestemmer;77
2. Gjern;A;Socialdemokratiet;Hanne Bæk Olsen;77
2. Gjern;A;Socialdemokratiet;Søren Kristensen;9
2. Gjern;A;Socialdemokratiet;Erling Prang;1
2. Gjern;A;Socialdemokratiet;Carl-Erik Larsen;2
2. Gjern;A;Socialdemokratiet;Lars Faarup;0
2. Gjern;A;Socialdemokratiet;Helle Westergaard;1
2. Gjern;A;Socialdemokratiet;Arne Lund;2
2. Gjern;A;Socialdemokratiet;Rune Kristensen;3
2. Gjern;A;Socialdemokratiet;Lars Munksø;0
2. Gjern;A;Socialdemokratiet;Kurt Brunk Hansen;0
2. Gjern;A;Socialdemokratiet;Ivan Greve;58
2. Gjern;A;Socialdemokratiet;Bodil Jensen;1
2. Gjern;A;Socialdemokratiet;Søren Stauning Goldmann;0
2. Gjern;A;Socialdemokratiet;Christina Løvbjerg;1
2. Gjern;A;Socialdemokratiet;Gert Nielsen;0
2. Gjern;A;Socialdemokratiet;Christian Nolsøe Nielsen;0
2. Gjern;A;Socialdemokratiet;Elisabeth Petursson;0
2. Gjern;A;Socialdemokratiet;Keld Bonnerup Jepsen;0
2. Gjern;A;Socialdemokratiet;Mads Hjortnæs;1
2. Gjern;A;Socialdemokratiet;Mustafa Kellegöz;0
2. Gjern;A;Socialdemokratiet;Gösta Pedersen;1
2. Gjern;A;Socialdemokratiet;Lise Anthonsen;1
2. Gjern;A;Socialdemokratiet;Mike H. Rasmussen;0
2. Gjern;A;Socialdemokratiet;Palle Lundkjær Kristensen;0
2. Gjern;B;Det Radikale Venstre;Listestemmer;11
2. Gjern;B;Det Radikale Venstre;Svend Thue Damgaard, Kjellerup;3
2. Gjern;B;Det Radikale Venstre;Pia Guldager Bilde, Silkeborg;1
2. Gjern;B;Det Radikale Venstre;Dorthe Lindmann, Silkeborg;0
2. Gjern;B;Det Radikale Venstre;Marcus Helk, Silkeborg;1
2. Gjern;B;Det Radikale Venstre;Jes Juul Lauesen, Silkeborg;0
2. Gjern;B;Det Radikale Venstre;Kristoffer Garne, Gjern;16
2. Gjern;B;Det Radikale Venstre;Torben Friis, Silkeborg;0
2. Gjern;B;Det Radikale Venstre;Villy Pedersen, Silkeborg;0
2. Gjern;B;Det Radikale Venstre;Kim Kirkegaard, Silkeborg;0
2. Gjern;C;Det Konservative Folkeparti;Listestemmer;6
2. Gjern;C;Det Konservative Folkeparti;Frank Borch-Olsen;16
2. Gjern;C;Det Konservative Folkeparti;Mia Schmidt;6
2. Gjern;C;Det Konservative Folkeparti;Michael Nørgaard Nielsen;4
2. Gjern;C;Det Konservative Folkeparti;Martin Jakobsen;1
2. Gjern;C;Det Konservative Folkeparti;Camilla Hertzum Johansen;0
2. Gjern;C;Det Konservative Folkeparti;Anne Lunde Andersen;2
2. Gjern;C;Det Konservative Folkeparti;Mads Hovgaard Rytter;0
2. Gjern;C;Det Konservative Folkeparti;Claus Møller-Nielsen;32
2. Gjern;C;Det Konservative Folkeparti;Cecilie Alexandra Vogel;1
2. Gjern;F;SF - Socialistisk Folkeparti;Listestemmer;69
2. Gjern;F;SF - Socialistisk Folkeparti;Hans Okholm;19
2. Gjern;F;SF - Socialistisk Folkeparti;Elin Sonne;30
2. Gjern;F;SF - Socialistisk Folkeparti;Alexander Thorvaldsen;11
2. Gjern;F;SF - Socialistisk Folkeparti;Naja Kjær Poulsen;5
2. Gjern;F;SF - Socialistisk Folkeparti;Jørn Rye Rasmussen;7
2. Gjern;F;SF - Socialistisk Folkeparti;Anders Henriksen;11
