Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ebeltoft;A;Socialdemokratiet;Listestemmer;170
1. Ebeltoft;A;Socialdemokratiet;Ninna Thomsen, Ebeltoft;593
1. Ebeltoft;A;Socialdemokratiet;Jesper Mathiesen, Hornslet;4
1. Ebeltoft;A;Socialdemokratiet;Ole Bollesen, Knebel;32
1. Ebeltoft;A;Socialdemokratiet;Michael Nielsen, Pindstrup;1
1. Ebeltoft;A;Socialdemokratiet;Søren K. Lauridsen, Ugelbølle;4
1. Ebeltoft;A;Socialdemokratiet;Annemette Møller Walsted, Ebeltoft;63
1. Ebeltoft;A;Socialdemokratiet;Mogens T. Petersen, Skørring;2
1. Ebeltoft;A;Socialdemokratiet;H. Chr. Baltzer, Pindstrup;1
1. Ebeltoft;A;Socialdemokratiet;Bent Hansen, Balle;10
1. Ebeltoft;A;Socialdemokratiet;Jens Vinther, Hornslet;0
1. Ebeltoft;A;Socialdemokratiet;Frode Højen, Ebeltoft;44
1. Ebeltoft;A;Socialdemokratiet;Nikolaj W. Uhrenholt, Tirstrup;0
1. Ebeltoft;A;Socialdemokratiet;Anette Quist Busk, Pindstrup;11
1. Ebeltoft;A;Socialdemokratiet;Torben Juul Schou, Hornslet;0
1. Ebeltoft;A;Socialdemokratiet;Sally Isabella Salminen, Kolind;2
1. Ebeltoft;A;Socialdemokratiet;Kai Pedersen, Mørke;0
1. Ebeltoft;A;Socialdemokratiet;Kim Nielsen, Hornslet;0
1. Ebeltoft;A;Socialdemokratiet;Hans Jørgen Jensen, Lime;0
1. Ebeltoft;A;Socialdemokratiet;Kirsten Omø, Hornslet;3
1. Ebeltoft;A;Socialdemokratiet;Søren Hansen, Hvilsager;0
1. Ebeltoft;B;Det Radikale Venstre;Listestemmer;23
1. Ebeltoft;B;Det Radikale Venstre;Carsten Bech, Rønde;13
1. Ebeltoft;B;Det Radikale Venstre;Morten Bang Sørensen, Ryomgård;4
1. Ebeltoft;B;Det Radikale Venstre;Vibeke Tillemann, Ebeltoft;33
1. Ebeltoft;B;Det Radikale Venstre;Stefan Kalmar, Ryomgård;2
1. Ebeltoft;B;Det Radikale Venstre;Mogens Frederiksen, Rønde;0
1. Ebeltoft;B;Det Radikale Venstre;Anders Fruelund, Mørke;0
1. Ebeltoft;B;Det Radikale Venstre;Dorte Faurschou Hertz, Ådalen;0
1. Ebeltoft;B;Det Radikale Venstre;Irene Ehrle Sørensen, Thorsager;0
1. Ebeltoft;B;Det Radikale Venstre;Aslak Daa Funder, Rønde;0
1. Ebeltoft;B;Det Radikale Venstre;Peter Aksel Korsbjerg, Helgenæs;3
1. Ebeltoft;B;Det Radikale Venstre;Lina Gaarde, Hornslet;0
1. Ebeltoft;B;Det Radikale Venstre;Carsten Schacht, Vrinners;1
1. Ebeltoft;C;Det Konservative Folkeparti;Listestemmer;68
1. Ebeltoft;C;Det Konservative Folkeparti;Tommy Bøgehøj, Ebeltoft;490
1. Ebeltoft;C;Det Konservative Folkeparti;Kirstine Kahr Kvorning, Grønfeld;8
1. Ebeltoft;C;Det Konservative Folkeparti;Steen Fris, Hornslet;6
1. Ebeltoft;C;Det Konservative Folkeparti;Kira Munk Hansen, Rønde;12
1. Ebeltoft;C;Det Konservative Folkeparti;Diana Anette Bang, Ryomgård;3
1. Ebeltoft;C;Det Konservative Folkeparti;Gert Jakobsen, Hornslet;3
1. Ebeltoft;C;Det Konservative Folkeparti;Nis Kaper Buch, Ebeltoft;27
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Listestemmer;165
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Kirstine Bille, Balle;907
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Thea Hansen, Thorsager;28
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Marianne Als Nielsen, Knebel;17
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Bo Fisker, Egsmark;21
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Jens Rasmussen, Dråby;33
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Leif Andersen, Ebeltoft;17
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Niels Viderø, Hornslet;1
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Kim Lykke Jensen, Termestrup;1
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Arne Niebuhr, Thorsager;1
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Mårten Breum, Kolind;0
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Jens Olsen, Femmøller;3
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Bjarne Werther, Følle;0
1. Ebeltoft;F;SF - Socialistisk Folkeparti;Eva Dragheim, Helgenæs;3
1. Ebeltoft;L;Borgerlisten;Listestemmer;35
1. Ebeltoft;L;Borgerlisten;Jørgen Brøgger, Ebeltoft;296
1. Ebeltoft;L;Borgerlisten;Klaus Bertram Mikkelsen, Thorsager;13
1. Ebeltoft;L;Borgerlisten;Susanne Bech Nyholm Hansen, Ebelto;36
1. Ebeltoft;L;Borgerlisten;Bent Enemark, Thorsager;2
1. Ebeltoft;L;Borgerlisten;Tine Hjortstrøm, Tved;4
1. Ebeltoft;L;Borgerlisten;Frands Jensen, Søby;1
1. Ebeltoft;L;Borgerlisten;Søren Høg, Ebeltoft;42
1. Ebeltoft;L;Borgerlisten;Axel Hempel Andersen, Femmøller;3
1. Ebeltoft;L;Borgerlisten;Jørgen Hjortstrøm, Ebeltoft;3
1. Ebeltoft;L;Borgerlisten;Leif Hove, Ebeltoft;25
1. Ebeltoft;O;Dansk Folkeparti;Listestemmer;116
1. Ebeltoft;O;Dansk Folkeparti;Per Dalgaard, Ryomgård;68
1. Ebeltoft;O;Dansk Folkeparti;Michael Koch, Rønde;0
1. Ebeltoft;O;Dansk Folkeparti;Niels Lassen, Kolind;4
1. Ebeltoft;O;Dansk Folkeparti;Anni Juhl, Rønde;17
1. Ebeltoft;O;Dansk Folkeparti;Peter Dahl, Ebeltoft;96
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Listestemmer;173
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Claus Wistoft, Kolind;587
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Jørgen Brøgger, Attrup;78
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Marianne Kirkegaard Aude, Hornslet;24
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Gunnar Sørensen, Vrinners;6
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Ole Bjerregaard, Ebeltoft;194
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Flemming Hansen, Mørke;1
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Erling Post, Knebel;44
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Lars Christian Lauridsen, Hornslet;0
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Peter Krog-Meyer, Rønde;0
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Karen Østergaard, Thorsager;1
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Edvard Handberg, Kolind;0
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Carsten Bryrup, Nimtofte;0
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Tommy B. Kobberøe, Kolind;0
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Per Zeidler, Rønde;3
1. Ebeltoft;V;Venstre, Danmarks Liberale Parti;Steen Møller, Tirstrup;10
1. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;16
1. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;Chr. Bundgaard, Begtrup;16
1. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;Lasse S. Hansen, Rosmus;1
1. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;Karen Ejlersen, Feldballe;6
1. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;John Hansen, Hyllested;0
1. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;Mia Guldhammer, Femmøller;3
1. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;John Jørgensen, Feldballe;0
1. Ebeltoft;Ø;Enhedslisten - De Rød-Grønne;Ditlev V. Petersen, Termestrup;0
2. Mols;A;Socialdemokratiet;Listestemmer;64
2. Mols;A;Socialdemokratiet;Ninna Thomsen, Ebeltoft;145
2. Mols;A;Socialdemokratiet;Jesper Mathiesen, Hornslet;5
2. Mols;A;Socialdemokratiet;Ole Bollesen, Knebel;187
2. Mols;A;Socialdemokratiet;Michael Nielsen, Pindstrup;0
2. Mols;A;Socialdemokratiet;Søren K. Lauridsen, Ugelbølle;6
2. Mols;A;Socialdemokratiet;Annemette Møller Walsted, Ebeltoft;1
2. Mols;A;Socialdemokratiet;Mogens T. Petersen, Skørring;0
2. Mols;A;Socialdemokratiet;H. Chr. Baltzer, Pindstrup;0
2. Mols;A;Socialdemokratiet;Bent Hansen, Balle;0
2. Mols;A;Socialdemokratiet;Jens Vinther, Hornslet;1
2. Mols;A;Socialdemokratiet;Frode Højen, Ebeltoft;0
2. Mols;A;Socialdemokratiet;Nikolaj W. Uhrenholt, Tirstrup;0
2. Mols;A;Socialdemokratiet;Anette Quist Busk, Pindstrup;7
2. Mols;A;Socialdemokratiet;Torben Juul Schou, Hornslet;0
2. Mols;A;Socialdemokratiet;Sally Isabella Salminen, Kolind;2
2. Mols;A;Socialdemokratiet;Kai Pedersen, Mørke;3
2. Mols;A;Socialdemokratiet;Kim Nielsen, Hornslet;1
2. Mols;A;Socialdemokratiet;Hans Jørgen Jensen, Lime;0
2. Mols;A;Socialdemokratiet;Kirsten Omø, Hornslet;0
2. Mols;A;Socialdemokratiet;Søren Hansen, Hvilsager;1
2. Mols;B;Det Radikale Venstre;Listestemmer;10
2. Mols;B;Det Radikale Venstre;Carsten Bech, Rønde;11
2. Mols;B;Det Radikale Venstre;Morten Bang Sørensen, Ryomgård;1
2. Mols;B;Det Radikale Venstre;Vibeke Tillemann, Ebeltoft;5
2. Mols;B;Det Radikale Venstre;Stefan Kalmar, Ryomgård;0
2. Mols;B;Det Radikale Venstre;Mogens Frederiksen, Rønde;1
2. Mols;B;Det Radikale Venstre;Anders Fruelund, Mørke;0
2. Mols;B;Det Radikale Venstre;Dorte Faurschou Hertz, Ådalen;2
2. Mols;B;Det Radikale Venstre;Irene Ehrle Sørensen, Thorsager;0
2. Mols;B;Det Radikale Venstre;Aslak Daa Funder, Rønde;0
2. Mols;B;Det Radikale Venstre;Peter Aksel Korsbjerg, Helgenæs;9
2. Mols;B;Det Radikale Venstre;Lina Gaarde, Hornslet;1
2. Mols;B;Det Radikale Venstre;Carsten Schacht, Vrinners;2
2. Mols;C;Det Konservative Folkeparti;Listestemmer;21
2. Mols;C;Det Konservative Folkeparti;Tommy Bøgehøj, Ebeltoft;45
2. Mols;C;Det Konservative Folkeparti;Kirstine Kahr Kvorning, Grønfeld;33
2. Mols;C;Det Konservative Folkeparti;Steen Fris, Hornslet;0
2. Mols;C;Det Konservative Folkeparti;Kira Munk Hansen, Rønde;12
