Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Frederiks;A;Socialdemokratiet;Listestemmer;59
1. Frederiks;A;Socialdemokratiet;Karin Gaardsted, Viborg;135
1. Frederiks;A;Socialdemokratiet;Per Møller Jensen, Viborg;3
1. Frederiks;A;Socialdemokratiet;Katrine Ørnebjerg Larsen, Bjerring;1
1. Frederiks;A;Socialdemokratiet;Jens Ravn, Viborg;1
1. Frederiks;A;Socialdemokratiet;Mette Nielsen, Klejtrup;4
1. Frederiks;A;Socialdemokratiet;Eigil Jensen, Rødding;1
1. Frederiks;A;Socialdemokratiet;Gregers Laigaard, Grønhøj;321
1. Frederiks;A;Socialdemokratiet;Hans Jørgen Nørgaard, Vridsted;0
1. Frederiks;A;Socialdemokratiet;Eva Rye Johansen, Viborg;5
1. Frederiks;A;Socialdemokratiet;Niels Dueholm, Bjerringbro;0
1. Frederiks;A;Socialdemokratiet;Eva Pinnerup, Viborg;1
1. Frederiks;A;Socialdemokratiet;Carsten Hove, Hammershøj;2
1. Frederiks;A;Socialdemokratiet;Flemming Lund, Skals;0
1. Frederiks;A;Socialdemokratiet;Birthe Harritz, Ørum;0
1. Frederiks;A;Socialdemokratiet;Else Th. Pedersen, Sparkær;0
1. Frederiks;A;Socialdemokratiet;Henriette Mikkelsen, Viborg;7
1. Frederiks;A;Socialdemokratiet;Martin Sanderhoff, Bjerringbro;0
1. Frederiks;A;Socialdemokratiet;Salman Bustan, Viborg;4
1. Frederiks;A;Socialdemokratiet;Kristian Eeg Smidt, Viborg;0
1. Frederiks;A;Socialdemokratiet;Morten M. Rasmussen, Stoholm;0
1. Frederiks;A;Socialdemokratiet;Ove Elgaard, Lysgård;7
1. Frederiks;A;Socialdemokratiet;Ismail Hassan, Viborg;0
1. Frederiks;A;Socialdemokratiet;Klaus Madsen, Viborg;1
1. Frederiks;A;Socialdemokratiet;Ole Trier Nørskov, Viborg;1
1. Frederiks;A;Socialdemokratiet;Hans Peter Leest, Viborg;0
1. Frederiks;B;Det Radikale Venstre;Listestemmer;3
1. Frederiks;B;Det Radikale Venstre;Kenneth Mortensen, Viborg;4
1. Frederiks;B;Det Radikale Venstre;Kaj Madsen, Daugbjerg;4
1. Frederiks;B;Det Radikale Venstre;Kirsten Eisenhardt, Møldrup;2
1. Frederiks;B;Det Radikale Venstre;Tavs Nyord, Viborg;1
1. Frederiks;B;Det Radikale Venstre;Niels Halberg, Viborg;0
1. Frederiks;B;Det Radikale Venstre;Erland Erlandsen, Viborg;0
1. Frederiks;C;Det Konservative Folkeparti;Listestemmer;13
1. Frederiks;C;Det Konservative Folkeparti;Søren Pape Poulsen;46
1. Frederiks;C;Det Konservative Folkeparti;Ejner Bank Andreasen;1
1. Frederiks;C;Det Konservative Folkeparti;Samina Shah;1
1. Frederiks;C;Det Konservative Folkeparti;Torsten Nielsen;3
1. Frederiks;C;Det Konservative Folkeparti;Jens Saabye;0
1. Frederiks;C;Det Konservative Folkeparti;Henrik Laursen;1
1. Frederiks;C;Det Konservative Folkeparti;Claus Nielsen;2
1. Frederiks;C;Det Konservative Folkeparti;Frank Lund Andersen;0
1. Frederiks;C;Det Konservative Folkeparti;Anna Margrethe Engbæk;5
1. Frederiks;C;Det Konservative Folkeparti;Michael van der Sterren;0
1. Frederiks;C;Det Konservative Folkeparti;Lars Eegholm;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Listestemmer;70
1. Frederiks;F;SF - Socialistisk Folkeparti;Søren Gytz Olesen, Viborg;36
1. Frederiks;F;SF - Socialistisk Folkeparti;Kai O. Andersen, Viborg;2
1. Frederiks;F;SF - Socialistisk Folkeparti;Inger Jakobsen, Stoholm;2
1. Frederiks;F;SF - Socialistisk Folkeparti;Signe Munk, Viborg;10
1. Frederiks;F;SF - Socialistisk Folkeparti;Kirsten Winther Almind, Bjerringbr;1
1. Frederiks;F;SF - Socialistisk Folkeparti;Jan Hagerup, Hammershøj;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Mette Engholm, Rødding;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Lise Elmgaard, Skals;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Else Uhrskov, Frederiks;31
1. Frederiks;F;SF - Socialistisk Folkeparti;Abdul Ahad, Viborg;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Tune Boss, Knudby;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Bruno Bromberg, Vindum;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Elo Nielsen, Skals;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Pil Rahbek, Viborg;1
1. Frederiks;F;SF - Socialistisk Folkeparti;Morten Mc Candless, Karup;5
1. Frederiks;F;SF - Socialistisk Folkeparti;Poul Erik K. Pedersen, Stoholm;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Sarah Bülow Andersen, Viborg;0
1. Frederiks;F;SF - Socialistisk Folkeparti;John Nim, Bruunshåb;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Birgitte Anker Larsen, Bjerringbro;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Gertrud Tessing, Løgstrup;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Ditte Karla Lott Lauritsen, Doller;3
1. Frederiks;F;SF - Socialistisk Folkeparti;Poul Engholm, Tjele;0
1. Frederiks;F;SF - Socialistisk Folkeparti;Arne Dyekjær, Hald Ege;0
1. Frederiks;K;Kristendemokraterne;Listestemmer;1
1. Frederiks;K;Kristendemokraterne;Knud Gaarn-Larsen, Karup;77
1. Frederiks;K;Kristendemokraterne;Ingrid Bak, Bjerringbro;2
1. Frederiks;K;Kristendemokraterne;Torkild Jakobsen, Tjele;0
1. Frederiks;K;Kristendemokraterne;Lisbeth Kristiansen, Frederiks;11
1. Frederiks;K;Kristendemokraterne;Tommy Dalgaard, Ørum;0
1. Frederiks;K;Kristendemokraterne;Brita Bach Pedersen, Vindum;0
1. Frederiks;O;Dansk Folkeparti;Listestemmer;46
1. Frederiks;O;Dansk Folkeparti;Benny L. Ragner, Viborg;121
1. Frederiks;O;Dansk Folkeparti;Rikke Cramer Christiansen, Frederi;114
1. Frederiks;O;Dansk Folkeparti;Ove Kent Jørgensen, Viborg;2
1. Frederiks;O;Dansk Folkeparti;Leo Larsen, Viborg;0
1. Frederiks;O;Dansk Folkeparti;Niels Klavsen, Skals;0
1. Frederiks;O;Dansk Folkeparti;Torben Guldmann, Overlund;0
1. Frederiks;O;Dansk Folkeparti;Grethe Ørskov Sørensen, Tjele;0
1. Frederiks;O;Dansk Folkeparti;Jess Vejling Mikkelsen, Viborg;1
1. Frederiks;O;Dansk Folkeparti;Søren Iversen, Rødkærsbro;0
1. Frederiks;O;Dansk Folkeparti;Perry Dürr, Grønhøj;39
1. Frederiks;O;Dansk Folkeparti;Børge Møller Pedersen, Bjerringbro;0
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Listestemmer;74
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Ib Bjerregaard, Viborg;92
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Holger Andersen, Rødkærsbro;0
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Torben H. Andersen, Viborg;1
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Steffen Andreasen, Vammen;1
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Gudrun Bjerregaard, Løgstrup;2
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Allan Clifford Christensen, Karup;89
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Claus Clausen, Vroue;3
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Ole Engedal, Stoholm;1
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Lea Flarup, Stoholm;2
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Nina Hygum, Bjerringbro;0
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Åse Kubel Høeg, Viborg;6
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Anders Korsbæk Jensen, Hvam;1
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Ove Jensen, Ørum;0
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Ole Jespersen, Viborg;4
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Kirsten Kjærgaard, Hammershøj;0
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Hanne Kristiansen, Skals;0
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Jens Ingolf Nørgaard, Viborg;0
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Anders Tornegård Olesen, Bjerringb;1
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Jon Pugholm, Klejtrup;1
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Inge-Lise Sterup, Havredal;191
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Claus Trenckner, Vejrumbro;1
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Esben Tøttrup, Bjerringbro;0
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Armin Vakili, Viborg;0
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Johannes F.Vesterby, Løvel;1
1. Frederiks;V;Venstre, Danmarks Liberale Parti;Bent Vestergaard, Viborg;3
1. Frederiks;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;2
1. Frederiks;Ø;Enhedslisten - De Rød-Grønne;Flemming Gundersen;1
1. Frederiks;Ø;Enhedslisten - De Rød-Grønne;Aksel Rosager Johansen;0
1. Frederiks;Ø;Enhedslisten - De Rød-Grønne;Anja Bonde Fløjborg;5
2. Hald Ege;A;Socialdemokratiet;Listestemmer;96
2. Hald Ege;A;Socialdemokratiet;Karin Gaardsted, Viborg;266
2. Hald Ege;A;Socialdemokratiet;Per Møller Jensen, Viborg;28
2. Hald Ege;A;Socialdemokratiet;Katrine Ørnebjerg Larsen, Bjerring;3
2. Hald Ege;A;Socialdemokratiet;Jens Ravn, Viborg;10
2. Hald Ege;A;Socialdemokratiet;Mette Nielsen, Klejtrup;1
2. Hald Ege;A;Socialdemokratiet;Eigil Jensen, Rødding;1
2. Hald Ege;A;Socialdemokratiet;Gregers Laigaard, Grønhøj;8
2. Hald Ege;A;Socialdemokratiet;Hans Jørgen Nørgaard, Vridsted;1
2. Hald Ege;A;Socialdemokratiet;Eva Rye Johansen, Viborg;5
2. Hald Ege;A;Socialdemokratiet;Niels Dueholm, Bjerringbro;0
2. Hald Ege;A;Socialdemokratiet;Eva Pinnerup, Viborg;9
2. Hald Ege;A;Socialdemokratiet;Carsten Hove, Hammershøj;1
2. Hald Ege;A;Socialdemokratiet;Flemming Lund, Skals;1
2. Hald Ege;A;Socialdemokratiet;Birthe Harritz, Ørum;0
2. Hald Ege;A;Socialdemokratiet;Else Th. Pedersen, Sparkær;0
2. Hald Ege;A;Socialdemokratiet;Henriette Mikkelsen, Viborg;13
2. Hald Ege;A;Socialdemokratiet;Martin Sanderhoff, Bjerringbro;0
2. Hald Ege;A;Socialdemokratiet;Salman Bustan, Viborg;8
2. Hald Ege;A;Socialdemokratiet;Kristian Eeg Smidt, Viborg;5
2. Hald Ege;A;Socialdemokratiet;Morten M. Rasmussen, Stoholm;0
2. Hald Ege;A;Socialdemokratiet;Ove Elgaard, Lysgård;51
2. Hald Ege;A;Socialdemokratiet;Ismail Hassan, Viborg;3
2. Hald Ege;A;Socialdemokratiet;Klaus Madsen, Viborg;1
2. Hald Ege;A;Socialdemokratiet;Ole Trier Nørskov, Viborg;1
2. Hald Ege;A;Socialdemokratiet;Hans Peter Leest, Viborg;0
2. Hald Ege;B;Det Radikale Venstre;Listestemmer;16
2. Hald Ege;B;Det Radikale Venstre;Kenneth Mortensen, Viborg;18
2. Hald Ege;B;Det Radikale Venstre;Kaj Madsen, Daugbjerg;0
2. Hald Ege;B;Det Radikale Venstre;Kirsten Eisenhardt, Møldrup;1
2. Hald Ege;B;Det Radikale Venstre;Tavs Nyord, Viborg;3
2. Hald Ege;B;Det Radikale Venstre;Niels Halberg, Viborg;1
2. Hald Ege;B;Det Radikale Venstre;Erland Erlandsen, Viborg;2
2. Hald Ege;C;Det Konservative Folkeparti;Listestemmer;38
2. Hald Ege;C;Det Konservative Folkeparti;Søren Pape Poulsen;102
2. Hald Ege;C;Det Konservative Folkeparti;Ejner Bank Andreasen;1
2. Hald Ege;C;Det Konservative Folkeparti;Samina Shah;28
2. Hald Ege;C;Det Konservative Folkeparti;Torsten Nielsen;2
2. Hald Ege;C;Det Konservative Folkeparti;Jens Saabye;2
2. Hald Ege;C;Det Konservative Folkeparti;Henrik Laursen;1
2. Hald Ege;C;Det Konservative Folkeparti;Claus Nielsen;8
2. Hald Ege;C;Det Konservative Folkeparti;Frank Lund Andersen;1
2. Hald Ege;C;Det Konservative Folkeparti;Anna Margrethe Engbæk;10
2. Hald Ege;C;Det Konservative Folkeparti;Michael van der Sterren;0
2. Hald Ege;C;Det Konservative Folkeparti;Lars Eegholm;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Listestemmer;102
2. Hald Ege;F;SF - Socialistisk Folkeparti;Søren Gytz Olesen, Viborg;168
2. Hald Ege;F;SF - Socialistisk Folkeparti;Kai O. Andersen, Viborg;26
2. Hald Ege;F;SF - Socialistisk Folkeparti;Inger Jakobsen, Stoholm;10
2. Hald Ege;F;SF - Socialistisk Folkeparti;Signe Munk, Viborg;32
2. Hald Ege;F;SF - Socialistisk Folkeparti;Kirsten Winther Almind, Bjerringbr;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Jan Hagerup, Hammershøj;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Mette Engholm, Rødding;3
2. Hald Ege;F;SF - Socialistisk Folkeparti;Lise Elmgaard, Skals;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Else Uhrskov, Frederiks;4
2. Hald Ege;F;SF - Socialistisk Folkeparti;Abdul Ahad, Viborg;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Tune Boss, Knudby;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Bruno Bromberg, Vindum;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Elo Nielsen, Skals;1
2. Hald Ege;F;SF - Socialistisk Folkeparti;Pil Rahbek, Viborg;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Morten Mc Candless, Karup;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Poul Erik K. Pedersen, Stoholm;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Sarah Bülow Andersen, Viborg;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;John Nim, Bruunshåb;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Birgitte Anker Larsen, Bjerringbro;0
2. Hald Ege;F;SF - Socialistisk Folkeparti;Gertrud Tessing, Løgstrup;2
2. Hald Ege;F;SF - Socialistisk Folkeparti;Ditte Karla Lott Lauritsen, Doller;9
2. Hald Ege;F;SF - Socialistisk Folkeparti;Poul Engholm, Tjele;2
2. Hald Ege;F;SF - Socialistisk Folkeparti;Arne Dyekjær, Hald Ege;8
2. Hald Ege;K;Kristendemokraterne;Listestemmer;3
2. Hald Ege;K;Kristendemokraterne;Knud Gaarn-Larsen, Karup;4
2. Hald Ege;K;Kristendemokraterne;Ingrid Bak, Bjerringbro;1
2. Hald Ege;K;Kristendemokraterne;Torkild Jakobsen, Tjele;0
2. Hald Ege;K;Kristendemokraterne;Lisbeth Kristiansen, Frederiks;0
2. Hald Ege;K;Kristendemokraterne;Tommy Dalgaard, Ørum;0
2. Hald Ege;K;Kristendemokraterne;Brita Bach Pedersen, Vindum;0
2. Hald Ege;O;Dansk Folkeparti;Listestemmer;34
2. Hald Ege;O;Dansk Folkeparti;Benny L. Ragner, Viborg;39
2. Hald Ege;O;Dansk Folkeparti;Rikke Cramer Christiansen, Frederi;24
2. Hald Ege;O;Dansk Folkeparti;Ove Kent Jørgensen, Viborg;7
2. Hald Ege;O;Dansk Folkeparti;Leo Larsen, Viborg;9
2. Hald Ege;O;Dansk Folkeparti;Niels Klavsen, Skals;3
2. Hald Ege;O;Dansk Folkeparti;Torben Guldmann, Overlund;0
2. Hald Ege;O;Dansk Folkeparti;Grethe Ørskov Sørensen, Tjele;0
