Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Horne;A;Socialdemokratiet;Listestemmer;8
1. Horne;A;Socialdemokratiet;Arne Boelt;15
1. Horne;A;Socialdemokratiet;Bente Schjønning;2
1. Horne;A;Socialdemokratiet;Lilli Damsgaard;7
1. Horne;A;Socialdemokratiet;Peter Duetoft;10
1. Horne;A;Socialdemokratiet;Børge Bech;0
1. Horne;A;Socialdemokratiet;Ole Ørnbøl;1
1. Horne;A;Socialdemokratiet;Niss Ribergaard;0
1. Horne;A;Socialdemokratiet;Lars E. Christiansen;5
1. Horne;A;Socialdemokratiet;Tim Jensen;0
1. Horne;A;Socialdemokratiet;Annette Lassen;0
1. Horne;A;Socialdemokratiet;Jette Kirkeby;1
1. Horne;A;Socialdemokratiet;Niels Daugberg;0
1. Horne;A;Socialdemokratiet;Freddy Dam Christensen;0
1. Horne;A;Socialdemokratiet;Ivan Leth;0
1. Horne;A;Socialdemokratiet;John Bagger;0
1. Horne;A;Socialdemokratiet;Ole Eskesen;2
1. Horne;A;Socialdemokratiet;Torben Kristensen;0
1. Horne;A;Socialdemokratiet;Poul-H. Ejlertsen;1
1. Horne;A;Socialdemokratiet;Morten Skaanning;0
1. Horne;A;Socialdemokratiet;Preben Christensen;5
1. Horne;A;Socialdemokratiet;Kasper Poulsen;0
1. Horne;A;Socialdemokratiet;Poul Erik Harbo Olesen;3
1. Horne;B;Det Radikale Venstre;Listestemmer;1
1. Horne;B;Det Radikale Venstre;Thomas Mark, Hjørring;5
1. Horne;B;Det Radikale Venstre;Erik N. Rasmussen, Vrå;0
1. Horne;B;Det Radikale Venstre;Lis Skaanning, Sindal;0
1. Horne;B;Det Radikale Venstre;Anna Kolind, Hirtshals;7
1. Horne;B;Det Radikale Venstre;Heino Løvendahl, Bjergby;0
1. Horne;B;Det Radikale Venstre;Jens H. Bech, Hjørring;2
1. Horne;B;Det Radikale Venstre;Inger Møller, Hjørring;0
1. Horne;B;Det Radikale Venstre;Kasper Graarup, Vrå;0
1. Horne;B;Det Radikale Venstre;Poul-Martin Michno, Horne;7
1. Horne;C;Det Konservative Folkeparti;Listestemmer;4
1. Horne;C;Det Konservative Folkeparti;Jens Broen;3
1. Horne;C;Det Konservative Folkeparti;Per Larsen;0
1. Horne;C;Det Konservative Folkeparti;Susanne Fibiger;16
1. Horne;C;Det Konservative Folkeparti;Daniel Rugholm;4
1. Horne;C;Det Konservative Folkeparti;Hans Wulff;0
1. Horne;C;Det Konservative Folkeparti;Alfred Steensen;0
1. Horne;C;Det Konservative Folkeparti;Dan Kristensen;0
1. Horne;F;SF - Socialistisk Folkeparti;Listestemmer;11
1. Horne;F;SF - Socialistisk Folkeparti;Jørgen Bing;3
1. Horne;F;SF - Socialistisk Folkeparti;Bent Mikkelsen;4
1. Horne;F;SF - Socialistisk Folkeparti;Karl Emil Biegel;19
1. Horne;F;SF - Socialistisk Folkeparti;Jimmi Kruse Sørensen;0
1. Horne;F;SF - Socialistisk Folkeparti;Kristine Gjedde;1
1. Horne;F;SF - Socialistisk Folkeparti;Carsten Winther;0
1. Horne;F;SF - Socialistisk Folkeparti;Karin Bergh-Hanssen;0
1. Horne;F;SF - Socialistisk Folkeparti;Peter Berg;1
1. Horne;F;SF - Socialistisk Folkeparti;Albert Plug;0
1. Horne;F;SF - Socialistisk Folkeparti;Niels Kirkholm Nielsen;0
1. Horne;I;Liberal Alliance;Listestemmer;0
1. Horne;I;Liberal Alliance;Johan A. Johansen Knickrehm, Vrå;0
1. Horne;K;Kristendemokraterne;Listestemmer;0
1. Horne;K;Kristendemokraterne;Lene Meng Andersen, Tornby;2
1. Horne;K;Kristendemokraterne;Niels Helver, Sindal;1
1. Horne;K;Kristendemokraterne;Martin Grarup, Vrå;1
1. Horne;K;Kristendemokraterne;Gert Pedersen, Vrå;1
1. Horne;O;Dansk Folkeparti;Listestemmer;6
1. Horne;O;Dansk Folkeparti;Morten A. Petersen;4
1. Horne;O;Dansk Folkeparti;Vivi Peyk;1
1. Horne;O;Dansk Folkeparti;Jan Vigg;0
1. Horne;T;Lokallisten;Listestemmer;7
1. Horne;T;Lokallisten;Knud Størup, Hirtshals;135
1. Horne;T;Lokallisten;Viggo Bilde, Tversted;3
1. Horne;T;Lokallisten;Sven Bertelsen, Vrå;1
1. Horne;T;Lokallisten;Lene Berendt, Hirtshals;9
1. Horne;T;Lokallisten;John Nielsen, Hjørring;0
1. Horne;T;Lokallisten;Michael Harritslev, Hjørring;0
1. Horne;T;Lokallisten;Britta Astadatter, Hundelev;1
1. Horne;T;Lokallisten;Kim Bach, Løkken;0
1. Horne;T;Lokallisten;Christian Gajhede, Vrå;0
1. Horne;T;Lokallisten;Henning Sigsgaard, Tornby;3
