Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Sejerslev;A;Socialdemokratiet;Listestemmer;11
1. Sejerslev;A;Socialdemokratiet;Lauge Larsen;52
1. Sejerslev;A;Socialdemokratiet;Kjeld Bak;0
1. Sejerslev;A;Socialdemokratiet;Tove Bak;2
1. Sejerslev;A;Socialdemokratiet;Anna Noe Bovin;1
1. Sejerslev;A;Socialdemokratiet;Henni Buur;0
1. Sejerslev;A;Socialdemokratiet;Niels Otto Degn;6
1. Sejerslev;A;Socialdemokratiet;Steen B. Frederiksen;1
1. Sejerslev;A;Socialdemokratiet;Erik Fuglsang;0
1. Sejerslev;A;Socialdemokratiet;Christian Hansen;1
1. Sejerslev;A;Socialdemokratiet;Michael Jensen;0
1. Sejerslev;A;Socialdemokratiet;Vagn Kidmose;26
1. Sejerslev;A;Socialdemokratiet;Karina Bech Laursen;1
1. Sejerslev;A;Socialdemokratiet;Mie Nielsen;2
1. Sejerslev;A;Socialdemokratiet;Uffe Gorm Nielsen;8
1. Sejerslev;A;Socialdemokratiet;Viggo Nielsen;1
1. Sejerslev;A;Socialdemokratiet;Per Noe;0
1. Sejerslev;A;Socialdemokratiet;Anna Røntved;0
1. Sejerslev;A;Socialdemokratiet;Anton Toft;2
1. Sejerslev;A;Socialdemokratiet;Viggo Vangsgaard;16
1. Sejerslev;A;Socialdemokratiet;Per Ørberg;2
1. Sejerslev;A;Socialdemokratiet;Niels K. Østergaard;26
1. Sejerslev;C;Det Konservative Folkeparti;Listestemmer;3
1. Sejerslev;C;Det Konservative Folkeparti;Poul Roesen;179
1. Sejerslev;C;Det Konservative Folkeparti;Ole Sørensen;0
1. Sejerslev;C;Det Konservative Folkeparti;Hans Hensberg;0
1. Sejerslev;C;Det Konservative Folkeparti;Henning Christensen;0
1. Sejerslev;C;Det Konservative Folkeparti;Henrik Markmøller Bro;0
1. Sejerslev;C;Det Konservative Folkeparti;Kenneth Steffensen;0
1. Sejerslev;C;Det Konservative Folkeparti;Martin Jørgensen;0
1. Sejerslev;C;Det Konservative Folkeparti;Erik Borregaard;0
1. Sejerslev;C;Det Konservative Folkeparti;Louise Parkegaard-Ottosen;2
1. Sejerslev;C;Det Konservative Folkeparti;Thomas Dahlgaard;0
1. Sejerslev;F;SF-Socialistisk Folkeparti;Listestemmer;7
1. Sejerslev;F;SF-Socialistisk Folkeparti;Michael Dahlgaard;24
1. Sejerslev;F;SF-Socialistisk Folkeparti;Tore Müller;1
1. Sejerslev;F;SF-Socialistisk Folkeparti;Kirstine Jacobsen;4
1. Sejerslev;F;SF-Socialistisk Folkeparti;Andy Madsen;0
1. Sejerslev;F;SF-Socialistisk Folkeparti;Majbritt Nesager Jensen;2
1. Sejerslev;F;SF-Socialistisk Folkeparti;Jakob Korsgaard;0
1. Sejerslev;F;SF-Socialistisk Folkeparti;Poul N. Sørensen;0
1. Sejerslev;F;SF-Socialistisk Folkeparti;Peter Kjeldgaard;0
1. Sejerslev;F;SF-Socialistisk Folkeparti;Tom Bille Petersen;13
1. Sejerslev;F;SF-Socialistisk Folkeparti;Inger Lise Juhl;1
1. Sejerslev;F;SF-Socialistisk Folkeparti;Peter Appel;0
1. Sejerslev;L;LOKALLISTEN;Listestemmer;2
1. Sejerslev;L;LOKALLISTEN;Uffe Korsgaard;11
1. Sejerslev;L;LOKALLISTEN;Jørgen Andreasen;0
1. Sejerslev;L;LOKALLISTEN;Søren Christensen;2
1. Sejerslev;L;LOKALLISTEN;Knud Larsen;0
1. Sejerslev;M;MorsListen;Listestemmer;2
1. Sejerslev;M;MorsListen;Walther N. Mikkelsen;7
1. Sejerslev;M;MorsListen;Poul A. Overgaard;1
1. Sejerslev;M;MorsListen;Knud Lynggaard;4
1. Sejerslev;M;MorsListen;Torben Hedegaard;0
1. Sejerslev;M;MorsListen;Ejvind Furbo;0
1. Sejerslev;M;MorsListen;Michael Koch;0
1. Sejerslev;M;MorsListen;Alice Haugstrup;0
1. Sejerslev;M;MorsListen;Henning Jørgensen;0
1. Sejerslev;M;MorsListen;Thorkild Møller;0
1. Sejerslev;M;MorsListen;Jens Peter Zacho;0
1. Sejerslev;M;MorsListen;Annette T. Sørensen;1
1. Sejerslev;M;MorsListen;Ulla Andersen;6
1. Sejerslev;O;Dansk Folkeparti;Listestemmer;9
1. Sejerslev;O;Dansk Folkeparti;Meiner Nørgaard;21
1. Sejerslev;O;Dansk Folkeparti;Tommy Bach;0
1. Sejerslev;O;Dansk Folkeparti;Jørgen Andersen;1
1. Sejerslev;O;Dansk Folkeparti;Vita Jensen;0
1. Sejerslev;O;Dansk Folkeparti;Jari Tim Jepsen;1
1. Sejerslev;O;Dansk Folkeparti;Frede Pedersen;12
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Listestemmer;5
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Peter Therkildsen, Erslev;26
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Ansgar Riis Nygaard, Ørding;2
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Hans Ejner Bertelsen, Redsted;2
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Gunhild Olesen Møller, Sydmors;0
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Niels Bech, Dragstrup;1
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Bente Riis, Nykøbing M.;1
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Lone Falsig, Tæbring;0
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Andreas Kristensen, Nykøbing M.;0
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Poul Johansen, Nr. Dråby;34
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Henning Sørensen, Tødsø;10
1. Sejerslev;V;Venstre, Danmarks Liberale Parti;Lejf Berntsen, Nykøbing M.;7
