Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Gersagerskolen;A;Socialdemokratiet;Listestemmer;357
1. Gersagerskolen;A;Socialdemokratiet;Brian Hemmingsen;169
1. Gersagerskolen;A;Socialdemokratiet;Niclas Bekker Poulsen;39
1. Gersagerskolen;A;Socialdemokratiet;Lone Rytter Holm;83
1. Gersagerskolen;A;Socialdemokratiet;Bjarke Abel;41
1. Gersagerskolen;A;Socialdemokratiet;Jette Andersen;137
1. Gersagerskolen;A;Socialdemokratiet;Mikkel Peter Witthøft;39
1. Gersagerskolen;A;Socialdemokratiet;Bjarne Erichsen;8
1. Gersagerskolen;A;Socialdemokratiet;Daniel Brandt;8
1. Gersagerskolen;A;Socialdemokratiet;Preben Husted;160
1. Gersagerskolen;A;Socialdemokratiet;Inge Nielsen;13
1. Gersagerskolen;A;Socialdemokratiet;Birgitte Vegge Mikkelsen;6
1. Gersagerskolen;A;Socialdemokratiet;Jonas Gredal;6
1. Gersagerskolen;B;Det Radikale Venstre;Listestemmer;32
1. Gersagerskolen;B;Det Radikale Venstre;Henrik Gliese Pedersen, Hundige;20
1. Gersagerskolen;B;Det Radikale Venstre;Camilla Wammen, Mosede;10
1. Gersagerskolen;B;Det Radikale Venstre;Jytte Schou, Karlslunde;3
1. Gersagerskolen;B;Det Radikale Venstre;Hanne Bille, Greve Strand;3
1. Gersagerskolen;C;Det Konservative Folkeparti;Listestemmer;109
1. Gersagerskolen;C;Det Konservative Folkeparti;Hans Barlach, Hundige;169
1. Gersagerskolen;C;Det Konservative Folkeparti;Brigitte Klintskov Jerkel, Greve;88
1. Gersagerskolen;C;Det Konservative Folkeparti;Thomas Elm Kampmann, Greve Landsby;19
1. Gersagerskolen;C;Det Konservative Folkeparti;Jørgen Nielsen, Greve;23
1. Gersagerskolen;C;Det Konservative Folkeparti;Niels-Henrik Ørstrup, Hundige;7
1. Gersagerskolen;C;Det Konservative Folkeparti;Henrik Balleby Hansen, Tune;5
1. Gersagerskolen;C;Det Konservative Folkeparti;Thomas Klingspor-Bentzen, Greve;1
1. Gersagerskolen;C;Det Konservative Folkeparti;Louise Quaade, Hundige;20
1. Gersagerskolen;C;Det Konservative Folkeparti;Jørgen Einar Andersen, Hundige;9
1. Gersagerskolen;C;Det Konservative Folkeparti;Poul-Erik Sjøberg, Karlslunde Land;0
1. Gersagerskolen;E;Retsforbundet;Listestemmer;2
1. Gersagerskolen;E;Retsforbundet;Ulf Kobbernagel, Greve;2
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Listestemmer;292
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Hans Kristiansen;50
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Kai O. Svensson;54
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Christian Ingemann;14
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Leif Griffenfeldt Carlsen;6
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Battal Kücükavci;319
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Bent Jørgensen;8
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Birgitte Brozek;22
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Bitten Sørensen;16
1. Gersagerskolen;F;SF - Socialistiske Folkeparti;Else Nielsen;9
1. Gersagerskolen;G;Borgerlisten;Listestemmer;4
1. Gersagerskolen;G;Borgerlisten;Gert Frank, Tune;4
1. Gersagerskolen;G;Borgerlisten;Finn Bøge Larsen, Karlslunde;2
1. Gersagerskolen;G;Borgerlisten;Dan Bjerring, Tune;0
1. Gersagerskolen;G;Borgerlisten;Inge Jørgensen, Greve;1
1. Gersagerskolen;O;Dansk Folkeparti;Listestemmer;288
1. Gersagerskolen;O;Dansk Folkeparti;Liselott Blixt;179
1. Gersagerskolen;O;Dansk Folkeparti;Gert P. Christensen;40
1. Gersagerskolen;O;Dansk Folkeparti;I. Birch;9
1. Gersagerskolen;O;Dansk Folkeparti;Marianne Offenberg;35
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Listestemmer;216
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;René Milo;703
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Morten Dahlin;60
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Pernille Beckmann Andersen;36
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Lars Kilhof;13
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Sanne Matthiassen;8
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Jørgen Kristiansen;18
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Henrik Kjer;2
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Bo Johansen;21
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Jan Wammen Dam;7
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Kai Nielsen;28
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Kirsten Stuckert;35
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Anne Marie Lyduch;13
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Karsten Hansen;3
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Lars Bo Nielsen;2
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Gerda K. Thomassen;1
1. Gersagerskolen;V;Venstre, Danmarks Liberale Parti;Bjarne Hindsgaul;3
1. Gersagerskolen;Å;Danmarks Nationalsocialistiske Bev;Listestemmer;5
1. Gersagerskolen;Å;Danmarks Nationalsocialistiske Bev;Jonni Hansen;13
1. Gersagerskolen;Å;Danmarks Nationalsocialistiske Bev;Dennis Hansen;3
2. Tjørnelyskolen;A;Socialdemokratiet;Listestemmer;340
2. Tjørnelyskolen;A;Socialdemokratiet;Brian Hemmingsen;162
2. Tjørnelyskolen;A;Socialdemokratiet;Niclas Bekker Poulsen;20
2. Tjørnelyskolen;A;Socialdemokratiet;Lone Rytter Holm;127
2. Tjørnelyskolen;A;Socialdemokratiet;Bjarke Abel;21
2. Tjørnelyskolen;A;Socialdemokratiet;Jette Andersen;60
2. Tjørnelyskolen;A;Socialdemokratiet;Mikkel Peter Witthøft;46
2. Tjørnelyskolen;A;Socialdemokratiet;Bjarne Erichsen;8
2. Tjørnelyskolen;A;Socialdemokratiet;Daniel Brandt;15
