Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Køge By - Midt;A;Socialdemokratiet;Listestemmer;119
1. Køge By - Midt;A;Socialdemokratiet;Marie Stærke, Køge kommune;394
1. Køge By - Midt;A;Socialdemokratiet;Thomas Kielgast, Herfølge;44
1. Køge By - Midt;A;Socialdemokratiet;Erik Swiatek, Borup;0
1. Køge By - Midt;A;Socialdemokratiet;Marianne Wessmann, Køge kommune;19
1. Køge By - Midt;A;Socialdemokratiet;Lissie Kirk, Herfølge;6
1. Køge By - Midt;A;Socialdemokratiet;Randi Hansen, Ejby;4
1. Køge By - Midt;A;Socialdemokratiet;Erling Larsen, Ll. Skensved;10
1. Køge By - Midt;A;Socialdemokratiet;Nils Gisli, Køge;30
1. Køge By - Midt;A;Socialdemokratiet;Kirsten Persson, Bjæverskov;2
1. Køge By - Midt;A;Socialdemokratiet;Lene Andersen, Køge;8
1. Køge By - Midt;A;Socialdemokratiet;Verny Jensen, Herfølge;4
1. Køge By - Midt;A;Socialdemokratiet;David Bundvad, Borup;1
1. Køge By - Midt;A;Socialdemokratiet;Jonny Jarndorf, Køge;26
1. Køge By - Midt;A;Socialdemokratiet;Michel Gjern Vasilas, Herfølge;5
1. Køge By - Midt;A;Socialdemokratiet;Niels Bent Petersen, Køge;13
1. Køge By - Midt;A;Socialdemokratiet;Torben Andersen, Tureby;3
1. Køge By - Midt;A;Socialdemokratiet;Carl Calle Christensen, Køge;50
1. Køge By - Midt;B;Det Radikale Venstre;Listestemmer;27
1. Køge By - Midt;B;Det Radikale Venstre;Claus Steen Petersen;60
1. Køge By - Midt;B;Det Radikale Venstre;Mette Arthury;4
1. Køge By - Midt;B;Det Radikale Venstre;Curt Gyde Sørensen;1
1. Køge By - Midt;B;Det Radikale Venstre;Karl Guldberg Kristjansen;2
1. Køge By - Midt;C;Det Konservative Folkeparti;Listestemmer;62
1. Køge By - Midt;C;Det Konservative Folkeparti;Flemming Christensen, Køge;239
1. Køge By - Midt;C;Det Konservative Folkeparti;Lykke Outzen, Køge;38
1. Køge By - Midt;C;Det Konservative Folkeparti;Anette Simoni, Borup;5
1. Køge By - Midt;C;Det Konservative Folkeparti;Mads Andersen, Køge;24
1. Køge By - Midt;C;Det Konservative Folkeparti;Henrik Fougt, Køge;1
1. Køge By - Midt;C;Det Konservative Folkeparti;Tine Olesen, Borup;1
1. Køge By - Midt;C;Det Konservative Folkeparti;Arne T. Hansen, Køge;4
1. Køge By - Midt;C;Det Konservative Folkeparti;Ursula Lykke Hansen, Ejby;0
1. Køge By - Midt;C;Det Konservative Folkeparti;Søren Mathiesen, Tureby;7
1. Køge By - Midt;C;Det Konservative Folkeparti;Harry Nielsen, Ejby;0
1. Køge By - Midt;C;Det Konservative Folkeparti;Flemming Klausen, Bjæverskov;1
1. Køge By - Midt;C;Det Konservative Folkeparti;Søren M. Andersen, Borup;0
1. Køge By - Midt;C;Det Konservative Folkeparti;Torben Hansson, Vemmedrup;0
1. Køge By - Midt;C;Det Konservative Folkeparti;Ellen Margrethe Månsson,Bjæverskov;0
1. Køge By - Midt;C;Det Konservative Folkeparti;Arne C. Ipsen, Borup;0
1. Køge By - Midt;C;Det Konservative Folkeparti;Lotte Holle Andersen, Bjæverskov;0
1. Køge By - Midt;C;Det Konservative Folkeparti;Per Stryhn, Herfølge;0
1. Køge By - Midt;D;Demokratilisten;Listestemmer;5
1. Køge By - Midt;D;Demokratilisten;Finn Buch Petersen, Nr. Dalby;73
1. Køge By - Midt;D;Demokratilisten;Bendt Lundsbjerg, Bjæverskov;0
1. Køge By - Midt;D;Demokratilisten;Lis Hesselberg, Borup;0
1. Køge By - Midt;D;Demokratilisten;Tanja Glückstadt, Slimminge;1
1. Køge By - Midt;D;Demokratilisten;Suzan Christensen, Vemmedrup;0
1. Køge By - Midt;D;Demokratilisten;Catrine Kirkegaard Bek, Køge;6
1. Køge By - Midt;D;Demokratilisten;Claus Oster, Borup;1
1. Køge By - Midt;D;Demokratilisten;Margit Tranders, Ejby;1
1. Køge By - Midt;D;Demokratilisten;Erling Fundal, Borup;0
1. Køge By - Midt;D;Demokratilisten;Preben Christensen, Bjæverskov;0
1. Køge By - Midt;D;Demokratilisten;Svend Åge Jørgensen, Bjæverskov;0
1. Køge By - Midt;D;Demokratilisten;Mogens Tranders, Ejby;0
1. Køge By - Midt;D;Demokratilisten;Christian Maabjerg, Ll.Skensved;0
1. Køge By - Midt;D;Demokratilisten;Ole Schuldt-Larsen, Borup;1
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Listestemmer;147
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Johnna Stark, Ll. Skensved;58
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Jacob Mark, Herfølge;51
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Torben Haack, Ølsemagle;13
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Mogens Møller, Køge;17
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Annabella Al-Nafousi, Køge;52
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Orla Johannsen, Bjæverskov;1
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Louise Abildå, Borup;1
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Peter Høj, Borup;1
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Martin Juul Jensen, Slimminge;0
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Jeppe Juul, Borup;0
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Lone Voigt, Herfølge;4
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Axel Kanne, Borup;0
1. Køge By - Midt;F;SF - Socialistisk Folkeparti;Bent Ramsnæs, Borup;0
1. Køge By - Midt;G;Køge-Listen;Listestemmer;2
1. Køge By - Midt;G;Køge-Listen;Bjarne Graulund, Køge Nord;3
1. Køge By - Midt;H;Visionspartiet;Listestemmer;0
1. Køge By - Midt;H;Visionspartiet;Mickal P. N. Andersen, Køge;6
1. Køge By - Midt;I;Liberal Alliance;Listestemmer;1
1. Køge By - Midt;I;Liberal Alliance;Rolf Larsen, Borup;0
1. Køge By - Midt;I;Liberal Alliance;Jacob Hatt, Køge;1
1. Køge By - Midt;O;Dansk Folkeparti;Listestemmer;59
1. Køge By - Midt;O;Dansk Folkeparti;Dora Olsen, Borup;22
1. Køge By - Midt;O;Dansk Folkeparti;Søren D. Brask, Ølby;5
1. Køge By - Midt;O;Dansk Folkeparti;John Kellberg, Køge;63
1. Køge By - Midt;O;Dansk Folkeparti;Rene Jespersen, Ølsemagle;1
1. Køge By - Midt;O;Dansk Folkeparti;Carsten Nielsen, Ejby;0
1. Køge By - Midt;O;Dansk Folkeparti;Hanne Kellberg, Køge;7
1. Køge By - Midt;O;Dansk Folkeparti;Erland Blounsø, Herfølge;1
1. Køge By - Midt;T;Borger Centrum;Listestemmer;6
1. Køge By - Midt;T;Borger Centrum;Christian Danielsen, Køge;24
1. Køge By - Midt;T;Borger Centrum;Tanja Nymann, Ll. Skensved;3
1. Køge By - Midt;T;Borger Centrum;John Danielsen, Garvegården, Køge;32
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Listestemmer;157
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Hans Erik Jensen;90
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Ali Ünsal;10
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Mette Jorsø;19
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Liselotte Nyboe;6
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Lars Peter Skaarup;3
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Henrik Szokody;2
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Mads Møller;3
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Peter Dits Christensen;4
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Steen Mikkelsen;2
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Lone Palle;5
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Per Küster;1
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Frank Hyldal;3
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Stig Sørensen;3
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Henning Lübcke;4
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Palle Svendsen;92
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Hanne Grøn Veggerby;0
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Henning Bjørn Christiansen;23
1. Køge By - Midt;V;Venstre, Danmarks Liberale Parti;Karen Ejlersen;3
1. Køge By - Midt;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;7
1. Køge By - Midt;Ø;Enhedslisten - De Rød-Grønne;Niels Rolskov, Tessebølle;13
1. Køge By - Midt;Ø;Enhedslisten - De Rød-Grønne;Robert Petersen, Køge;5
1. Køge By - Midt;Ø;Enhedslisten - De Rød-Grønne;Nina Holm Jensen, St. Salby;2
1. Køge By - Midt;Ø;Enhedslisten - De Rød-Grønne;Jens Wiberg Lindrup, Borup;0
1. Køge By - Midt;Ø;Enhedslisten - De Rød-Grønne;Amira Öblom Poulsen, Ølby;1
1. Køge By - Midt;Ø;Enhedslisten - De Rød-Grønne;Thyge Kofoed Pind, Herfølge;0
1. Køge By - Midt;Ø;Enhedslisten - De Rød-Grønne;Arlen Carstensen, Tureby;0
1. Køge By - Midt;Ø;Enhedslisten - De Rød-Grønne;Flemming Knudsen, Borup;0
2. Køge By - Vest;A;Socialdemokratiet;Listestemmer;135
2. Køge By - Vest;A;Socialdemokratiet;Marie Stærke, Køge kommune;635
2. Køge By - Vest;A;Socialdemokratiet;Thomas Kielgast, Herfølge;39
2. Køge By - Vest;A;Socialdemokratiet;Erik Swiatek, Borup;1
2. Køge By - Vest;A;Socialdemokratiet;Marianne Wessmann, Køge kommune;28
2. Køge By - Vest;A;Socialdemokratiet;Lissie Kirk, Herfølge;12
2. Køge By - Vest;A;Socialdemokratiet;Randi Hansen, Ejby;11
2. Køge By - Vest;A;Socialdemokratiet;Erling Larsen, Ll. Skensved;14
2. Køge By - Vest;A;Socialdemokratiet;Nils Gisli, Køge;82
