Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Dalmose;A;Socialdemokratiet;Listestemmer;52
1. Dalmose;A;Socialdemokratiet;Lis Tribler, Slagelse;84
1. Dalmose;A;Socialdemokratiet;Flemming Erichsen, Korsør;2
1. Dalmose;A;Socialdemokratiet;Steen Olsen, Eggeslevmagle;5
1. Dalmose;A;Socialdemokratiet;Niels O. Pedersen, Gimlinge;106
1. Dalmose;A;Socialdemokratiet;Niels Christian Nielsen, Tystofte;0
1. Dalmose;A;Socialdemokratiet;Helle Blak, Slagelse;8
1. Dalmose;A;Socialdemokratiet;Anders Nielsen, Korsør;4
1. Dalmose;A;Socialdemokratiet;Emine Koca, Slagelse;2
1. Dalmose;A;Socialdemokratiet;Ole Quist, Korsør;4
1. Dalmose;A;Socialdemokratiet;Bodil Knudsen, Slagelse;1
1. Dalmose;A;Socialdemokratiet;Jacob Borello Carlsen, Bisserup;13
1. Dalmose;A;Socialdemokratiet;Ebbe Henriksen, Slagelse;1
1. Dalmose;A;Socialdemokratiet;Claus B. Jørgensen, Korsør;0
1. Dalmose;A;Socialdemokratiet;Kurt Rasmussen, Slagelse;1
1. Dalmose;A;Socialdemokratiet;Ebbe Jens Ahlgren, Korsør;0
1. Dalmose;A;Socialdemokratiet;Mogens E. Knudsen, Slagelse;1
1. Dalmose;A;Socialdemokratiet;Hans Larsen, Korsør;0
1. Dalmose;A;Socialdemokratiet;Claes Dudzinski, Slagelse;0
1. Dalmose;A;Socialdemokratiet;Kirsten Kildegaard Rasmussen, Skæl;0
1. Dalmose;A;Socialdemokratiet;Jacob L. Larsen, Sørbymagle;2
1. Dalmose;A;Socialdemokratiet;Danny Vøttrup, Korsør;1
1. Dalmose;A;Socialdemokratiet;Tony Bomholt Rasmussen, Korsør;3
1. Dalmose;A;Socialdemokratiet;Benjamin Erichsen, Korsør;3
1. Dalmose;A;Socialdemokratiet;Bjarne Balodis Olsen, Skælskør;1
1. Dalmose;A;Socialdemokratiet;Jesper Hansen, Korsør;0
1. Dalmose;B;Det Radikale Venstre;Listestemmer;7
1. Dalmose;B;Det Radikale Venstre;Ali Yavuz;8
1. Dalmose;B;Det Radikale Venstre;Jon Ahrensbøll;0
1. Dalmose;B;Det Radikale Venstre;Leon K. Johansen;0
1. Dalmose;B;Det Radikale Venstre;Poul Bek-Pedersen;0
1. Dalmose;B;Det Radikale Venstre;Ole Rygaard Jensen;0
1. Dalmose;C;Det Konservative Folkeparti;Listestemmer;19
1. Dalmose;C;Det Konservative Folkeparti;Niels Jørgensen, Slagelse;12
1. Dalmose;C;Det Konservative Folkeparti;Helena Vedholm, Korsør;2
1. Dalmose;C;Det Konservative Folkeparti;Karen Tranekær, Slagelse;2
1. Dalmose;C;Det Konservative Folkeparti;Orla Nielsen, Slagelse;0
1. Dalmose;C;Det Konservative Folkeparti;Allan Nicolaisen, Skælskør;0
1. Dalmose;C;Det Konservative Folkeparti;Peter Rørdam, Skælskør;1
1. Dalmose;C;Det Konservative Folkeparti;Susanne H. Sandholdt, Vemmelev;0
1. Dalmose;C;Det Konservative Folkeparti;Jørn Ninn-Hansen, Slagelse;0
1. Dalmose;C;Det Konservative Folkeparti;Karsten Skov Petersen, Slagelse;0
1. Dalmose;C;Det Konservative Folkeparti;Søren Hejbøll Sørensen, Boeslunde;0
1. Dalmose;E;Tværfaglig-Lokalpolitisk-Vælgerfor;Listestemmer;0
1. Dalmose;E;Tværfaglig-Lokalpolitisk-Vælgerfor;Frede Olsen;2
1. Dalmose;F;SF - Socialistisk Folkeparti;Listestemmer;37
1. Dalmose;F;SF - Socialistisk Folkeparti;Jørgen Andersen;2
1. Dalmose;F;SF - Socialistisk Folkeparti;Ib Larsen;2
1. Dalmose;F;SF - Socialistisk Folkeparti;Lene Wibroe;26
1. Dalmose;F;SF - Socialistisk Folkeparti;Leif Scharling;2
1. Dalmose;F;SF - Socialistisk Folkeparti;Helle Dalsgaard;4
1. Dalmose;F;SF - Socialistisk Folkeparti;Jan E. Jensen;0
1. Dalmose;F;SF - Socialistisk Folkeparti;Arne B. Pedersen;0
1. Dalmose;F;SF - Socialistisk Folkeparti;Leif Dam Pedersen;0
1. Dalmose;F;SF - Socialistisk Folkeparti;Josephine von Bülow;2
1. Dalmose;F;SF - Socialistisk Folkeparti;Bo Hartmann;1
1. Dalmose;F;SF - Socialistisk Folkeparti;Thomas Back Hansen;0
1. Dalmose;F;SF - Socialistisk Folkeparti;Lissi Brandt Pedersen;0
1. Dalmose;F;SF - Socialistisk Folkeparti;Niels Jacobsen;1
1. Dalmose;F;SF - Socialistisk Folkeparti;Peter Kürstein;0
1. Dalmose;F;SF - Socialistisk Folkeparti;Rune Petersen;1
1. Dalmose;G;Det Grønne Slagelse;Listestemmer;3
1. Dalmose;G;Det Grønne Slagelse;Gert Nielsen;0
1. Dalmose;G;Det Grønne Slagelse;Geert Jensen;0
1. Dalmose;I;Liberal Alliance;Listestemmer;2
1. Dalmose;I;Liberal Alliance;Villum Christensen;8
1. Dalmose;I;Liberal Alliance;Rikke Jakobsen;0
1. Dalmose;I;Liberal Alliance;Lam-Phol Lam;0
1. Dalmose;I;Liberal Alliance;Thomas Vesth;10
1. Dalmose;I;Liberal Alliance;Thomas S. Olsen;0
1. Dalmose;I;Liberal Alliance;Anders Thorup;2
1. Dalmose;K;Kristendemokraterne;Listestemmer;0
1. Dalmose;K;Kristendemokraterne;Mette Guldager, Slagelse;0
