Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Havdrup;A;Socialdemokratiet;Listestemmer;111
1. Havdrup;A;Socialdemokratiet;Tonny Lauridsen;221
1. Havdrup;A;Socialdemokratiet;Claus Redder Madsen;10
1. Havdrup;A;Socialdemokratiet;John Klausen;11
1. Havdrup;A;Socialdemokratiet;Jytte Willendrup;6
1. Havdrup;A;Socialdemokratiet;Dorte Monggaard;8
1. Havdrup;A;Socialdemokratiet;Per Bringsjord;0
1. Havdrup;A;Socialdemokratiet;Connie Klüwer Jensen;1
1. Havdrup;A;Socialdemokratiet;Bendt Kirk;0
1. Havdrup;A;Socialdemokratiet;Gerhard Bredo Simonsen;1
1. Havdrup;A;Socialdemokratiet;Flemming F.Andersen;3
1. Havdrup;B;Det Radikale Venstre;Listestemmer;16
1. Havdrup;B;Det Radikale Venstre;Kim Pagels;11
1. Havdrup;B;Det Radikale Venstre;Edris Qasimi;2
1. Havdrup;B;Det Radikale Venstre;Bjarne Sommer;3
1. Havdrup;B;Det Radikale Venstre;Hanne Gunthel;0
1. Havdrup;B;Det Radikale Venstre;Kurt Hatting;0
1. Havdrup;C;Det Konservative Folkeparti;Listestemmer;31
1. Havdrup;C;Det Konservative Folkeparti;Hans Nydam Buch;35
1. Havdrup;C;Det Konservative Folkeparti;Marianne Høglund;8
1. Havdrup;C;Det Konservative Folkeparti;John Mogensen;49
1. Havdrup;C;Det Konservative Folkeparti;Preben Snedsted Nielsen;0
1. Havdrup;C;Det Konservative Folkeparti;Steen Knuppert-Hansen;0
1. Havdrup;C;Det Konservative Folkeparti;Jørgen Clausen;0
1. Havdrup;C;Det Konservative Folkeparti;Birgit Grubbe;8
1. Havdrup;D;SolrødListen;Listestemmer;4
1. Havdrup;D;SolrødListen;Hans Odder;1
1. Havdrup;D;SolrødListen;Henrik Røge;0
1. Havdrup;D;SolrødListen;Emil Tvilling;2
1. Havdrup;D;SolrødListen;Thomas Larsen;0
1. Havdrup;D;SolrødListen;Ann Røge;2
1. Havdrup;D;SolrødListen;Ann Gunhild Odder;0
1. Havdrup;D;SolrødListen;Lene Fly;2
1. Havdrup;F;SF-Socialistisk Folkeparti;Listestemmer;75
1. Havdrup;F;SF-Socialistisk Folkeparti;Marianne Svane;39
1. Havdrup;F;SF-Socialistisk Folkeparti;Henrik T.Larsen;5
1. Havdrup;F;SF-Socialistisk Folkeparti;Søren Enevoldsen;50
1. Havdrup;F;SF-Socialistisk Folkeparti;Tove Wentzel;4
1. Havdrup;F;SF-Socialistisk Folkeparti;Anne Grete Gerhauge;2
1. Havdrup;F;SF-Socialistisk Folkeparti;Susanne Flagfeldt;19
1. Havdrup;L;Havdruplisten;Listestemmer;383
1. Havdrup;L;Havdruplisten;Henning Christiansen;237
1. Havdrup;L;Havdruplisten;Karina Petersen Bergenholtz;115
1. Havdrup;L;Havdruplisten;Finn Jensen;86
1. Havdrup;L;Havdruplisten;Anders Nordentoft;29
1. Havdrup;L;Havdruplisten;Hanna Lill Larsson;60
1. Havdrup;L;Havdruplisten;Fayna Sørensen;20
1. Havdrup;L;Havdruplisten;Lars Møller Hardis;67
1. Havdrup;L;Havdruplisten;Birgitte Rasmussen;28
1. Havdrup;O;Dansk Folkeparti;Listestemmer;69
1. Havdrup;O;Dansk Folkeparti;Bjarne Larsen;43
1. Havdrup;O;Dansk Folkeparti;Christen Bøgh Kristensen;2
1. Havdrup;O;Dansk Folkeparti;Flemming Johansen;5
1. Havdrup;O;Dansk Folkeparti;Flemming Bugge;1
1. Havdrup;O;Dansk Folkeparti;Torben Sørensen;4
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Listestemmer;87
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Niels Hörup;137
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Ivar Haugaard-Hansen;16
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Karin S.Viftrup;6
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Naima Simring;8
1. Havdrup;V;Venstre, Danmarks Liberale Parti;John Kjær Olesen;0
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Kim Sunesen;4
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Svend Heiselberg;16
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Dina Oxfeldt;1
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Cecilia Catharina Buchtrup;7
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Charlotte H.Jørgensen;3
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Jørgen Kreutzer;25
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Benny Buchtrup;0
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Bjørn Lundsteen;1
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Niels Valstedgaard;14
1. Havdrup;V;Venstre, Danmarks Liberale Parti;Finn Larsen;0
2. Solrød;A;Socialdemokratiet;Listestemmer;18
2. Solrød;A;Socialdemokratiet;Tonny Lauridsen;16
2. Solrød;A;Socialdemokratiet;Claus Redder Madsen;5
2. Solrød;A;Socialdemokratiet;John Klausen;2
2. Solrød;A;Socialdemokratiet;Jytte Willendrup;8
2. Solrød;A;Socialdemokratiet;Dorte Monggaard;7
2. Solrød;A;Socialdemokratiet;Per Bringsjord;1
2. Solrød;A;Socialdemokratiet;Connie Klüwer Jensen;1
2. Solrød;A;Socialdemokratiet;Bendt Kirk;0
2. Solrød;A;Socialdemokratiet;Gerhard Bredo Simonsen;0
2. Solrød;A;Socialdemokratiet;Flemming F.Andersen;0
2. Solrød;B;Det Radikale Venstre;Listestemmer;2
2. Solrød;B;Det Radikale Venstre;Kim Pagels;2
2. Solrød;B;Det Radikale Venstre;Edris Qasimi;4
2. Solrød;B;Det Radikale Venstre;Bjarne Sommer;2
2. Solrød;B;Det Radikale Venstre;Hanne Gunthel;0
2. Solrød;B;Det Radikale Venstre;Kurt Hatting;4
2. Solrød;C;Det Konservative Folkeparti;Listestemmer;14
