Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Billund;A;Socialdemokratiet;Listestemmer;147
1. Billund;A;Socialdemokratiet;Gitte Ottosen;374
1. Billund;A;Socialdemokratiet;Frede Nørskov;143
1. Billund;A;Socialdemokratiet;Arne V. Thomsen;4
1. Billund;A;Socialdemokratiet;Michael Schrøder;26
1. Billund;A;Socialdemokratiet;Eva Kristensen;8
1. Billund;A;Socialdemokratiet;Marlene Thomsen;1
1. Billund;A;Socialdemokratiet;Ilse C. Thrane;3
1. Billund;A;Socialdemokratiet;Amal. Anov;18
1. Billund;A;Socialdemokratiet;Jens Erik Starup;1
1. Billund;A;Socialdemokratiet;Søren Christensen;1
1. Billund;A;Socialdemokratiet;Flemming Andersen;3
1. Billund;A;Socialdemokratiet;Kurt Zirblad;0
1. Billund;A;Socialdemokratiet;Ann Charlotte Gaardsvig Vilstrup;159
1. Billund;B;Det Radikale Venstre;Listestemmer;10
1. Billund;B;Det Radikale Venstre;Kai Bayer, Grindsted;44
1. Billund;B;Det Radikale Venstre;Hans Jørgen Skriver, Grindsted;3
1. Billund;B;Det Radikale Venstre;Niels Kr. Refstrup, Billund;48
1. Billund;B;Det Radikale Venstre;Dawn M. Mortensen, Grindsted;2
1. Billund;B;Det Radikale Venstre;Ina Frisdahl, Grindsted;1
1. Billund;B;Det Radikale Venstre;Ulla Gudiksen, Sdr. Omme;0
1. Billund;C;Det Konservative Folkeparti;Listestemmer;56
1. Billund;C;Det Konservative Folkeparti;Kim Gosvig Hansen, Billund;388
1. Billund;C;Det Konservative Folkeparti;Jette Seidenschnur, Grindsted;17
1. Billund;C;Det Konservative Folkeparti;Hans Tüchsen, Sdr. Omme;1
1. Billund;C;Det Konservative Folkeparti;Flemming Nissen, Filskov;1
1. Billund;C;Det Konservative Folkeparti;Svend Højrup, Hejnsvig;1
1. Billund;C;Det Konservative Folkeparti;Jari Toftkjær Sørensen, Billund;134
1. Billund;C;Det Konservative Folkeparti;Jonna Andersen, Sdr. Omme;1
1. Billund;C;Det Konservative Folkeparti;Pia Rose Birkegaard, Grindsted;8
1. Billund;C;Det Konservative Folkeparti;Bo Linnet, Sdr. Omme;2
1. Billund;F;SF - Socialistisk Folkeparti;Listestemmer;85
1. Billund;F;SF - Socialistisk Folkeparti;Ole Marcussen, Grindsted;89
1. Billund;F;SF - Socialistisk Folkeparti;Susanne Mathiesen, Grindsted;31
1. Billund;F;SF - Socialistisk Folkeparti;Mads Brichstein Bay, Billund;81
1. Billund;F;SF - Socialistisk Folkeparti;Frederik Djernæs, Sdr. Omme;1
1. Billund;F;SF - Socialistisk Folkeparti;John Milland, Billund;19
1. Billund;F;SF - Socialistisk Folkeparti;Majken Andersson, Grindsted;3
1. Billund;F;SF - Socialistisk Folkeparti;Sasi S. Selvarajah;15
1. Billund;F;SF - Socialistisk Folkeparti;Karl Gustav Gull Pedersen;1
1. Billund;F;SF - Socialistisk Folkeparti;Frank Gripping;1
1. Billund;K;Kristendemokraterne;Listestemmer;5
1. Billund;K;Kristendemokraterne;Gunner Kristensen, Morsbøl;7
1. Billund;K;Kristendemokraterne;Doris Fredsgaard Larsen,Vesterhede;4
1. Billund;K;Kristendemokraterne;Muthu Anthonipillai, Sønder Omme;3
1. Billund;O;Dansk Folkeparti;Listestemmer;90
1. Billund;O;Dansk Folkeparti;Bjarne Jensen;80
1. Billund;O;Dansk Folkeparti;Per Nyhus;18
1. Billund;O;Dansk Folkeparti;HP Thomsen;72
1. Billund;V;Venstre, Danmarks Liberale Parti;Listestemmer;110
1. Billund;V;Venstre, Danmarks Liberale Parti;Ib Kristensen, Grindsted;45
1. Billund;V;Venstre, Danmarks Liberale Parti;Klara Lyskjær Noer, Billund;349
1. Billund;V;Venstre, Danmarks Liberale Parti;Ruth Lauridsen, Grindsted;11
1. Billund;V;Venstre, Danmarks Liberale Parti;Ivar Nørlund, Grindsted;1
1. Billund;V;Venstre, Danmarks Liberale Parti;Preben Jensen, Billund;276
1. Billund;V;Venstre, Danmarks Liberale Parti;Majbrit Rasmussen, Hejnsvig;1
1. Billund;V;Venstre, Danmarks Liberale Parti;Jørgen Uth, Billund;140
1. Billund;V;Venstre, Danmarks Liberale Parti;Jørgen Clement, Sdr. Omme;0
1. Billund;V;Venstre, Danmarks Liberale Parti;Lona Linding, Stenderup Krogager;1
1. Billund;V;Venstre, Danmarks Liberale Parti;Frits S. Kristensen, Vorbasse;3
1. Billund;V;Venstre, Danmarks Liberale Parti;Robert Terkelsen, Filskov;4
1. Billund;V;Venstre, Danmarks Liberale Parti;Bent Kirkegaard, Grindsted;1
1. Billund;V;Venstre, Danmarks Liberale Parti;Helle Andersen, Grindsted;1
1. Billund;V;Venstre, Danmarks Liberale Parti;Uffe Schmidt, Hejnsvig;3
1. Billund;V;Venstre, Danmarks Liberale Parti;Jens Jakobsgaard, Sdr. Omme;1
1. Billund;V;Venstre, Danmarks Liberale Parti;Lars Thomsen, Billund;157
1. Billund;V;Venstre, Danmarks Liberale Parti;Uffe Jacobsen, Grindsted;0
1. Billund;V;Venstre, Danmarks Liberale Parti;Henrik Mahler, Billund;89
1. Billund;V;Venstre, Danmarks Liberale Parti;Leif Krarup, Grindsted;0
2. Sdr. Omme;A;Socialdemokratiet;Listestemmer;43
2. Sdr. Omme;A;Socialdemokratiet;Gitte Ottosen;53
2. Sdr. Omme;A;Socialdemokratiet;Frede Nørskov;1
2. Sdr. Omme;A;Socialdemokratiet;Arne V. Thomsen;1
2. Sdr. Omme;A;Socialdemokratiet;Michael Schrøder;2
2. Sdr. Omme;A;Socialdemokratiet;Eva Kristensen;1
2. Sdr. Omme;A;Socialdemokratiet;Marlene Thomsen;228
2. Sdr. Omme;A;Socialdemokratiet;Ilse C. Thrane;1
2. Sdr. Omme;A;Socialdemokratiet;Amal. Anov;0
2. Sdr. Omme;A;Socialdemokratiet;Jens Erik Starup;4
2. Sdr. Omme;A;Socialdemokratiet;Søren Christensen;47
2. Sdr. Omme;A;Socialdemokratiet;Flemming Andersen;1
2. Sdr. Omme;A;Socialdemokratiet;Kurt Zirblad;0
2. Sdr. Omme;A;Socialdemokratiet;Ann Charlotte Gaardsvig Vilstrup;0
2. Sdr. Omme;B;Det Radikale Venstre;Listestemmer;3
2. Sdr. Omme;B;Det Radikale Venstre;Kai Bayer, Grindsted;6
2. Sdr. Omme;B;Det Radikale Venstre;Hans Jørgen Skriver, Grindsted;4
2. Sdr. Omme;B;Det Radikale Venstre;Niels Kr. Refstrup, Billund;0
2. Sdr. Omme;B;Det Radikale Venstre;Dawn M. Mortensen, Grindsted;0
2. Sdr. Omme;B;Det Radikale Venstre;Ina Frisdahl, Grindsted;0
2. Sdr. Omme;B;Det Radikale Venstre;Ulla Gudiksen, Sdr. Omme;8
2. Sdr. Omme;C;Det Konservative Folkeparti;Listestemmer;8
2. Sdr. Omme;C;Det Konservative Folkeparti;Kim Gosvig Hansen, Billund;3
2. Sdr. Omme;C;Det Konservative Folkeparti;Jette Seidenschnur, Grindsted;9
2. Sdr. Omme;C;Det Konservative Folkeparti;Hans Tüchsen, Sdr. Omme;155
2. Sdr. Omme;C;Det Konservative Folkeparti;Flemming Nissen, Filskov;8
2. Sdr. Omme;C;Det Konservative Folkeparti;Svend Højrup, Hejnsvig;0
2. Sdr. Omme;C;Det Konservative Folkeparti;Jari Toftkjær Sørensen, Billund;1
2. Sdr. Omme;C;Det Konservative Folkeparti;Jonna Andersen, Sdr. Omme;117
2. Sdr. Omme;C;Det Konservative Folkeparti;Pia Rose Birkegaard, Grindsted;2
2. Sdr. Omme;C;Det Konservative Folkeparti;Bo Linnet, Sdr. Omme;22
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;Listestemmer;27
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;Ole Marcussen, Grindsted;20
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;Susanne Mathiesen, Grindsted;14
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;Mads Brichstein Bay, Billund;4
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;Frederik Djernæs, Sdr. Omme;26
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;John Milland, Billund;0
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;Majken Andersson, Grindsted;1
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;Sasi S. Selvarajah;5
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;Karl Gustav Gull Pedersen;70
2. Sdr. Omme;F;SF - Socialistisk Folkeparti;Frank Gripping;0
2. Sdr. Omme;K;Kristendemokraterne;Listestemmer;0
2. Sdr. Omme;K;Kristendemokraterne;Gunner Kristensen, Morsbøl;0
2. Sdr. Omme;K;Kristendemokraterne;Doris Fredsgaard Larsen,Vesterhede;0
2. Sdr. Omme;K;Kristendemokraterne;Muthu Anthonipillai, Sønder Omme;0
2. Sdr. Omme;O;Dansk Folkeparti;Listestemmer;29
2. Sdr. Omme;O;Dansk Folkeparti;Bjarne Jensen;40
2. Sdr. Omme;O;Dansk Folkeparti;Per Nyhus;8
2. Sdr. Omme;O;Dansk Folkeparti;HP Thomsen;4
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Listestemmer;47
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Ib Kristensen, Grindsted;50
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Klara Lyskjær Noer, Billund;0
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Ruth Lauridsen, Grindsted;2
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Ivar Nørlund, Grindsted;4
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Preben Jensen, Billund;5
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Majbrit Rasmussen, Hejnsvig;1
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Jørgen Uth, Billund;1
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Jørgen Clement, Sdr. Omme;103
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Lona Linding, Stenderup Krogager;2
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Frits S. Kristensen, Vorbasse;0
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Robert Terkelsen, Filskov;5
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Bent Kirkegaard, Grindsted;0
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Helle Andersen, Grindsted;2
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Uffe Schmidt, Hejnsvig;0
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Jens Jakobsgaard, Sdr. Omme;61
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Lars Thomsen, Billund;1
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Uffe Jacobsen, Grindsted;0
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Henrik Mahler, Billund;0
2. Sdr. Omme;V;Venstre, Danmarks Liberale Parti;Leif Krarup, Grindsted;0
3. Vorbasse;A;Socialdemokratiet;Listestemmer;42
3. Vorbasse;A;Socialdemokratiet;Gitte Ottosen;126
3. Vorbasse;A;Socialdemokratiet;Frede Nørskov;39
3. Vorbasse;A;Socialdemokratiet;Arne V. Thomsen;0
3. Vorbasse;A;Socialdemokratiet;Michael Schrøder;0
3. Vorbasse;A;Socialdemokratiet;Eva Kristensen;2
3. Vorbasse;A;Socialdemokratiet;Marlene Thomsen;2
3. Vorbasse;A;Socialdemokratiet;Ilse C. Thrane;2
3. Vorbasse;A;Socialdemokratiet;Amal. Anov;0
3. Vorbasse;A;Socialdemokratiet;Jens Erik Starup;2
3. Vorbasse;A;Socialdemokratiet;Søren Christensen;0
3. Vorbasse;A;Socialdemokratiet;Flemming Andersen;58
3. Vorbasse;A;Socialdemokratiet;Kurt Zirblad;0
3. Vorbasse;A;Socialdemokratiet;Ann Charlotte Gaardsvig Vilstrup;30
3. Vorbasse;B;Det Radikale Venstre;Listestemmer;5
3. Vorbasse;B;Det Radikale Venstre;Kai Bayer, Grindsted;5
3. Vorbasse;B;Det Radikale Venstre;Hans Jørgen Skriver, Grindsted;1
