Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Nordby;A;Socialdemokratiet;Listestemmer;61
1. Nordby;A;Socialdemokratiet;Johan Brink Jensen, Fanø;83
1. Nordby;A;Socialdemokratiet;Jeppe Wille-Jørgensen, Nordby;75
1. Nordby;A;Socialdemokratiet;Kurt Lützhøft, Nordby;41
1. Nordby;A;Socialdemokratiet;Svend Lauridsen, Fanø;6
1. Nordby;A;Socialdemokratiet;Mads O. Lindquist, Fanø;11
1. Nordby;B;Det Radikale Venstre;Listestemmer;16
1. Nordby;B;Det Radikale Venstre;Anette Schleicher;84
1. Nordby;B;Det Radikale Venstre;Morten Halkjær;9
1. Nordby;B;Det Radikale Venstre;Nina Rose Christoffersen;7
1. Nordby;B;Det Radikale Venstre;Thorkild Møller;0
1. Nordby;B;Det Radikale Venstre;Marianne Svarrer Jakobsen;2
1. Nordby;B;Det Radikale Venstre;Edin Karahusic;4
1. Nordby;C;Det Konservative Folkeparti;Listestemmer;12
1. Nordby;C;Det Konservative Folkeparti;Lena Hestbek Jensen;71
1. Nordby;C;Det Konservative Folkeparti;Merete Engsted;34
1. Nordby;C;Det Konservative Folkeparti;Kaj Svarrer;21
1. Nordby;C;Det Konservative Folkeparti;Morten Frank Christensen;55
1. Nordby;C;Det Konservative Folkeparti;Jens Kristensen;19
1. Nordby;C;Det Konservative Folkeparti;Bjørn Viig;25
1. Nordby;F;SF - Socialistisk Folkeparti;Listestemmer;53
1. Nordby;F;SF - Socialistisk Folkeparti;Søren Vinding;150
1. Nordby;F;SF - Socialistisk Folkeparti;Anni Nystrup Bach;24
1. Nordby;F;SF - Socialistisk Folkeparti;Mathias Fischer;8
1. Nordby;F;SF - Socialistisk Folkeparti;Britt Schak Hansen;24
1. Nordby;F;SF - Socialistisk Folkeparti;Brian Kousgaard Kristensen;8
1. Nordby;L;Fanø Borgerliste;Listestemmer;7
1. Nordby;L;Fanø Borgerliste;Bent Overgaard;56
1. Nordby;L;Fanø Borgerliste;Martin Udsen Overgaard;2
1. Nordby;L;Fanø Borgerliste;Knud Erik Nielsen;2
1. Nordby;L;Fanø Borgerliste;Claus Bacher;7
1. Nordby;M;Miljølisten;Listestemmer;30
1. Nordby;M;Miljølisten;Niels Heinel;70
1. Nordby;M;Miljølisten;Peter Uhrbrand;22
1. Nordby;M;Miljølisten;Else Møller;14
1. Nordby;M;Miljølisten;Bjørn Themsen;8
1. Nordby;M;Miljølisten;Mogens Valbjørn;6
1. Nordby;M;Miljølisten;Annette Frederiksen;7
1. Nordby;V;Venstre, Danmarks Liberale Parti;Listestemmer;43
1. Nordby;V;Venstre, Danmarks Liberale Parti;Erik Nørreby;388
1. Nordby;V;Venstre, Danmarks Liberale Parti;Jørgen Chr. Jensen;37
1. Nordby;V;Venstre, Danmarks Liberale Parti;Dennis Feldberg;76
1. Nordby;V;Venstre, Danmarks Liberale Parti;Erling Krog;23
1. Nordby;V;Venstre, Danmarks Liberale Parti;Lone Müller Sigaard;36
1. Nordby;V;Venstre, Danmarks Liberale Parti;Emil Hoffmann Madsen;18
1. Nordby;V;Venstre, Danmarks Liberale Parti;Jens Nordberg;15
1. Nordby;V;Venstre, Danmarks Liberale Parti;Jens Martin Christiansen;21
1. Nordby;V;Venstre, Danmarks Liberale Parti;Hanne Thyssen;14
1. Nordby;V;Venstre, Danmarks Liberale Parti;Oluf Møller;11
2. Sønderho;A;Socialdemokratiet;Listestemmer;5
2. Sønderho;A;Socialdemokratiet;Johan Brink Jensen, Fanø;42
2. Sønderho;A;Socialdemokratiet;Jeppe Wille-Jørgensen, Nordby;0
2. Sønderho;A;Socialdemokratiet;Kurt Lützhøft, Nordby;2
2. Sønderho;A;Socialdemokratiet;Svend Lauridsen, Fanø;17
2. Sønderho;A;Socialdemokratiet;Mads O. Lindquist, Fanø;0
2. Sønderho;B;Det Radikale Venstre;Listestemmer;1
2. Sønderho;B;Det Radikale Venstre;Anette Schleicher;1
2. Sønderho;B;Det Radikale Venstre;Morten Halkjær;0
2. Sønderho;B;Det Radikale Venstre;Nina Rose Christoffersen;3
2. Sønderho;B;Det Radikale Venstre;Thorkild Møller;2
