Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Gram;A;Socialdemokratiet;Listestemmer;71
1. Gram;A;Socialdemokratiet;Jens Chr. Gjesing, Haderslev;122
1. Gram;A;Socialdemokratiet;Finn Lykkeskov, Vojens;4
1. Gram;A;Socialdemokratiet;Lone Ravn, Haderslev;4
1. Gram;A;Socialdemokratiet;Søren Rishøj Jakobsen, Haderslev;0
1. Gram;A;Socialdemokratiet;Markvard Hovmøller, Hammelev;0
1. Gram;A;Socialdemokratiet;Tonny Thomsen, Haderslev;0
1. Gram;A;Socialdemokratiet;Irene Høgh, Vojens;1
1. Gram;A;Socialdemokratiet;Maria Damgaard, Haderslev;9
1. Gram;A;Socialdemokratiet;Jan Christensen, Sommersted;1
1. Gram;A;Socialdemokratiet;Kim Qvist, Starup;6
1. Gram;A;Socialdemokratiet;Bent Steenberg Olsen, Nustrup;1
1. Gram;A;Socialdemokratiet;Karina Grundahl Lindgaard, Starup;1
1. Gram;A;Socialdemokratiet;Bent K. Andersen, Arnitlund;0
1. Gram;A;Socialdemokratiet;Karl Gunnar Gregersen, Gram;166
1. Gram;A;Socialdemokratiet;Annette Grundtvig Larsen, Hadersle;0
1. Gram;A;Socialdemokratiet;Carsten Worch, Starup;1
1. Gram;A;Socialdemokratiet;Allan Nissen, Bevtoft;0
1. Gram;A;Socialdemokratiet;Carsten Ørnsholt, Haderslev;1
1. Gram;A;Socialdemokratiet;Jette Olesen, Jegerup;0
1. Gram;A;Socialdemokratiet;Bo Morthorst Rasmussen, Fjelstrup;0
1. Gram;A;Socialdemokratiet;Peter Caspersen, Skrydstrup;1
1. Gram;A;Socialdemokratiet;Jesper Nielsen, Haderslev;0
1. Gram;A;Socialdemokratiet;René Andersen Dele, Haderslev;0
1. Gram;A;Socialdemokratiet;Holger Eskildsen, Vonsbæk;0
1. Gram;A;Socialdemokratiet;Kurt Koch, Haderslev;1
1. Gram;A;Socialdemokratiet;Ingelise Vilsen, Vojens;0
1. Gram;A;Socialdemokratiet;Rasmus Hejsel, Haderslev;0
1. Gram;A;Socialdemokratiet;Harry Schrøder, Hammelev;0
1. Gram;A;Socialdemokratiet;Svend Aage Jepsen, Haderslev;0
1. Gram;A;Socialdemokratiet;Morten Finnemann, Marstrup;3
1. Gram;B;Det Radikale Venstre;Listestemmer;7
1. Gram;B;Det Radikale Venstre;Lisanette Qvortrup, Vojens;6
1. Gram;B;Det Radikale Venstre;Henrik Møller, Haderslev;0
1. Gram;B;Det Radikale Venstre;Flemming Pedersen, Haderslev;0
1. Gram;B;Det Radikale Venstre;Lars Holst Pedersen, Starup;0
1. Gram;B;Det Radikale Venstre;Helle Høj Thomsen, Haderslev;1
1. Gram;B;Det Radikale Venstre;Lars Holst, Kelstrup;0
1. Gram;B;Det Radikale Venstre;Martin Skovbo, Starup;0
1. Gram;B;Det Radikale Venstre;Jørn Buch, Haderslev;0
1. Gram;B;Det Radikale Venstre;Dennis Voss Stensgaard, Nustrup;0
1. Gram;B;Det Radikale Venstre;Tommy Preben Jensen, Gram;3
1. Gram;C;Det Konservative Folkeparti;Listestemmer;8
1. Gram;C;Det Konservative Folkeparti;Gunnar Nielsen, Starup;2
1. Gram;C;Det Konservative Folkeparti;Bente Langeberg, Bramdrup;0
1. Gram;C;Det Konservative Folkeparti;Kjeld Thrane, Haderslev;1
1. Gram;C;Det Konservative Folkeparti;Olaf Hansen, Tiset;38
1. Gram;C;Det Konservative Folkeparti;Marie K. Skovshoved, Kelstrup;0
1. Gram;C;Det Konservative Folkeparti;Anders Therkelsen, Haderslev;1
