Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Listestemmer;38
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Erik Skov Christensen;236
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Niels-Peter Sejersen;8
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Hans Albert Pedersen;10
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Annette Piil;10
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Jesper Nielsen;7
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Louise Dyrhave;8
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Carl Aage Leth;3
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Vibeke Franziska L Ejlertsen;0
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Peter Jordhøj;6
1. Aunslev Forsamlingshus;A;Socialdemokratiet;John Schmidt;1
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Claus Jørgen Madsen;6
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Ninna Charlotte Cramer Buch Larsen;3
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Jan Reimer Christiansen;1
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Frits Christensen;1
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Frihild Ey á Grømma Ammentorp;2
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Lars Guldberg Michelsen;3
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Per Chrone Jespersen;1
1. Aunslev Forsamlingshus;A;Socialdemokratiet;Tommy Benny Larsen;0
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Listestemmer;5
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Jesper Trampedach;8
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Helle Hende Stærmose;6
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Kenneth Vennerstrøm;0
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Dorit Myltoft;0
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Leif Bjørkskov;0
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Jens Christian Solvang;0
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Ingrid Kirsten Jönsson;0
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Birgit Vendt Hansen;0
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Richard Lund;0
1. Aunslev Forsamlingshus;B;Det Radikale Venstre;Jørn Hansen;0
1. Aunslev Forsamlingshus;C;Det Konservative Folkeparti;Listestemmer;15
1. Aunslev Forsamlingshus;C;Det Konservative Folkeparti;Hans Henrik Kongsmark;21
1. Aunslev Forsamlingshus;C;Det Konservative Folkeparti;Jørgen Jørgensen;1
1. Aunslev Forsamlingshus;C;Det Konservative Folkeparti;Jeanette Laursen Wied;4
1. Aunslev Forsamlingshus;C;Det Konservative Folkeparti;Martin Huus;4
1. Aunslev Forsamlingshus;C;Det Konservative Folkeparti;Mogens Skyttegaard-Nielsen;2
1. Aunslev Forsamlingshus;C;Det Konservative Folkeparti;Henrik Sonne-Schmidt;0
1. Aunslev Forsamlingshus;C;Det Konservative Folkeparti;Jessika Hanna Marie J Harboe;0
1. Aunslev Forsamlingshus;C;Det Konservative Folkeparti;Kjeld Ahrendsen;1
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Listestemmer;43
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Knud Theil Nielsen;38
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Elsa Viola Evelyn Lund Knudsen;11
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Jette Iben Bohr;8
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Hans Biering;2
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Thomas Børgesen Laursen;22
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Marianne Arenholt Christensen;1
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Henning Nielsen;1
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Steffen Aarestrup Nielsen;1
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Finn Borring Thomsen;0
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Ivan Fruergaard;0
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Dorte Irene Lundorff;10
1. Aunslev Forsamlingshus;F;SF - Socialistisk Folkeparti;Jens Eriksen;0
1. Aunslev Forsamlingshus;O;Dansk Folkeparti;Listestemmer;31
1. Aunslev Forsamlingshus;O;Dansk Folkeparti;Carsten Bredtved Kudsk;37
1. Aunslev Forsamlingshus;O;Dansk Folkeparti;Esben Drejer;4
1. Aunslev Forsamlingshus;O;Dansk Folkeparti;Helle Frøslev Hansen;3
1. Aunslev Forsamlingshus;O;Dansk Folkeparti;Finn Andersen;5
1. Aunslev Forsamlingshus;O;Dansk Folkeparti;Ib Jørgen Kristensen;0
1. Aunslev Forsamlingshus;O;Dansk Folkeparti;Knud Erik Thom Petersen;0
1. Aunslev Forsamlingshus;O;Dansk Folkeparti;Bente Nygaard Sønderskov Damhave;9
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Listestemmer;39
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Kaj Jacobsen Refslund;109
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Jørn Terndrup;46
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Erik Rosengaard Larsen;12
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Søren Ejnar Svendsen;3
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Kjeld Livoni;7
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Anja Lærke Kongsdal;89
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Peter Hviid Jensen;3
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Thyra Isaura Rasmussen;17
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Kim Fabricius;2
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Kenneth Taanquist;0
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Klaus Jørgen Pedersen;1
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Karsten Knudsen;2
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Bjarne Matthiesen;0
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Jørgen Østergaard Mortensen;2
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Ninna Augusta Møller;3
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Jacob Nilsson;0
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Søren Thor;2
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Hanna Kirsten Quaade;0
1. Aunslev Forsamlingshus;V;Venstre, Danmarks Liberale Parti;Erik Feldthaus;2
1. Aunslev Forsamlingshus;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;4
1. Aunslev Forsamlingshus;Ø;Enhedslisten - De Rød-Grønne;Benny Lammert Pieszak;17
1. Aunslev Forsamlingshus;Ø;Enhedslisten - De Rød-Grønne;Anni Bremholm Jakobsen;2
1. Aunslev Forsamlingshus;Ø;Enhedslisten - De Rød-Grønne;Preben Bjerno;0
2. Nyborghallen;A;Socialdemokratiet;Listestemmer;304
2. Nyborghallen;A;Socialdemokratiet;Erik Skov Christensen;836
2. Nyborghallen;A;Socialdemokratiet;Niels-Peter Sejersen;90
2. Nyborghallen;A;Socialdemokratiet;Hans Albert Pedersen;151
2. Nyborghallen;A;Socialdemokratiet;Annette Piil;62
2. Nyborghallen;A;Socialdemokratiet;Jesper Nielsen;49
2. Nyborghallen;A;Socialdemokratiet;Louise Dyrhave;39
2. Nyborghallen;A;Socialdemokratiet;Carl Aage Leth;14
2. Nyborghallen;A;Socialdemokratiet;Vibeke Franziska L Ejlertsen;22
2. Nyborghallen;A;Socialdemokratiet;Peter Jordhøj;19
2. Nyborghallen;A;Socialdemokratiet;John Schmidt;100
2. Nyborghallen;A;Socialdemokratiet;Claus Jørgen Madsen;25
2. Nyborghallen;A;Socialdemokratiet;Ninna Charlotte Cramer Buch Larsen;4
2. Nyborghallen;A;Socialdemokratiet;Jan Reimer Christiansen;1
2. Nyborghallen;A;Socialdemokratiet;Frits Christensen;4
