Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Brøndbyvester Skole;A;Socialdemokratiet;Listestemmer;286
1. Brøndbyvester Skole;A;Socialdemokratiet;Ib Terp;225
1. Brøndbyvester Skole;A;Socialdemokratiet;Kent Max Magelund;112
1. Brøndbyvester Skole;A;Socialdemokratiet;Arno Hurup Christiansen;22
1. Brøndbyvester Skole;A;Socialdemokratiet;Franz Hansen;102
1. Brøndbyvester Skole;A;Socialdemokratiet;Eva Roed;65
1. Brøndbyvester Skole;A;Socialdemokratiet;Per Jensen;35
1. Brøndbyvester Skole;A;Socialdemokratiet;Beate Andreassen;15
1. Brøndbyvester Skole;A;Socialdemokratiet;Per Arge;1
1. Brøndbyvester Skole;A;Socialdemokratiet;Tina Smed Laursen;11
1. Brøndbyvester Skole;A;Socialdemokratiet;Youssef Idiab;0
1. Brøndbyvester Skole;A;Socialdemokratiet;Michael Buch Barnes;14
1. Brøndbyvester Skole;A;Socialdemokratiet;Jesper Stegler;28
1. Brøndbyvester Skole;A;Socialdemokratiet;Lars Olsen;4
1. Brøndbyvester Skole;A;Socialdemokratiet;Anne-Mette Stampe;14
1. Brøndbyvester Skole;A;Socialdemokratiet;Hajg Zanazanian;21
1. Brøndbyvester Skole;A;Socialdemokratiet;Mette Line Kunckel;2
1. Brøndbyvester Skole;A;Socialdemokratiet;Emil Bill Larsen;3
1. Brøndbyvester Skole;A;Socialdemokratiet;Anne Hartvig;3
1. Brøndbyvester Skole;A;Socialdemokratiet;Syed Aejaz Haider Bukhari;8
1. Brøndbyvester Skole;A;Socialdemokratiet;Mahmut Erdem;4
1. Brøndbyvester Skole;B;Radikale Venstre;Listestemmer;35
1. Brøndbyvester Skole;B;Radikale Venstre;Elif Demir Gökce;19
1. Brøndbyvester Skole;B;Radikale Venstre;Louise Vinther Alis;18
1. Brøndbyvester Skole;B;Radikale Venstre;Henrik Hauge Lauridsen;9
1. Brøndbyvester Skole;B;Radikale Venstre;Lars Fjordager;1
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Listestemmer;41
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Carsten B. Nielsen;24
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Tommy Wohlers Sørensen;4
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Roman Smigielski;2
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Hans-Kristian Andersen;4
1. Brøndbyvester Skole;C;Det Konservative Folkeparti;Anette Søleen;4
1. Brøndbyvester Skole;F;SF - Socialistisk Folkeparti;Listestemmer;67
1. Brøndbyvester Skole;F;SF - Socialistisk Folkeparti;Vagn Kjær-Hansen;39
1. Brøndbyvester Skole;F;SF - Socialistisk Folkeparti;Jette Jul Jensen;28
1. Brøndbyvester Skole;F;SF - Socialistisk Folkeparti;Jihad Vallentin;4
1. Brøndbyvester Skole;F;SF - Socialistisk Folkeparti;Alexander Johansen;7
1. Brøndbyvester Skole;F;SF - Socialistisk Folkeparti;Louise Stenbæk;29
1. Brøndbyvester Skole;F;SF - Socialistisk Folkeparti;Asger Pedersen;4
1. Brøndbyvester Skole;F;SF - Socialistisk Folkeparti;Annette Reckendorph;2
1. Brøndbyvester Skole;F;SF - Socialistisk Folkeparti;John Barber;1
1. Brøndbyvester Skole;I;Liberal Alliance;Listestemmer;23
1. Brøndbyvester Skole;I;Liberal Alliance;Carsten Zacho;38
1. Brøndbyvester Skole;I;Liberal Alliance;Martin Rønsholdt Melecini;1
1. Brøndbyvester Skole;I;Liberal Alliance;Annitta Andersen;1
1. Brøndbyvester Skole;I;Liberal Alliance;Martin Pedersen;0
1. Brøndbyvester Skole;L;Lavere Skatter og Afgifter;Listestemmer;2
1. Brøndbyvester Skole;L;Lavere Skatter og Afgifter;Martin Tidsvilde;3
1. Brøndbyvester Skole;O;Dansk Folkeparti;Listestemmer;258
1. Brøndbyvester Skole;O;Dansk Folkeparti;Allan Runager;93
1. Brøndbyvester Skole;O;Dansk Folkeparti;Tom Bech Fredriksen;25
1. Brøndbyvester Skole;O;Dansk Folkeparti;Ole Valsgaard Hansen;3
1. Brøndbyvester Skole;O;Dansk Folkeparti;Henrik Rademacher;12
1. Brøndbyvester Skole;O;Dansk Folkeparti;Jan Andreasen;4
1. Brøndbyvester Skole;O;Dansk Folkeparti;Susanne Hansen;14
1. Brøndbyvester Skole;O;Dansk Folkeparti;Lotte Marnow;9
1. Brøndbyvester Skole;O;Dansk Folkeparti;Poul Gaardbo;7
1. Brøndbyvester Skole;O;Dansk Folkeparti;Carsten Horn;58
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Listestemmer;175
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Mette Engelbrecht;218
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Lene Rasmussen;8
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Kurt Damsted;25
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Inge-Lise Juel Hansen;0
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Martin Grønkjær;12
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Kimmie Rasmussen;1
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Jan Lundquist;12
1. Brøndbyvester Skole;V;Venstre, Danmarks Liberale Parti;Annie Hassenkam;0
1. Brøndbyvester Skole;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;58
1. Brøndbyvester Skole;Ø;Enhedslisten - De Rød-Grønne;Steen Andersen, Brøndbyøster;36
1. Brøndbyvester Skole;Ø;Enhedslisten - De Rød-Grønne;Fatih Baran, Brøndby Strand;15
