Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Værløse;A;Socialdemokratiet;Listestemmer;378
1. Værløse;A;Socialdemokratiet;Ole Bondo Christensen;1553
1. Værløse;A;Socialdemokratiet;Preben Sandberg Pettersson;29
1. Værløse;A;Socialdemokratiet;Neslihan Diksan;20
1. Værløse;A;Socialdemokratiet;Martin William Behbahani;16
1. Værløse;A;Socialdemokratiet;Henrik Poulsen;7
1. Værløse;A;Socialdemokratiet;Niels Bjerre Degn;14
1. Værløse;A;Socialdemokratiet;Lene Munch-Petersen;48
1. Værløse;A;Socialdemokratiet;Zacharias Polonius;5
1. Værløse;A;Socialdemokratiet;Ursula Sandberg Schmidt;12
1. Værløse;A;Socialdemokratiet;Per Brøgger Jensen;54
1. Værløse;A;Socialdemokratiet;Sabine Dedlow;9
1. Værløse;A;Socialdemokratiet;Malene Murmann Artvig;10
1. Værløse;A;Socialdemokratiet;Gitte Tørnkvist;9
1. Værløse;A;Socialdemokratiet;Lone Christensen;68
1. Værløse;A;Socialdemokratiet;Sven Martin Nørgaard;12
1. Værløse;A;Socialdemokratiet;Søren Knap;11
1. Værløse;A;Socialdemokratiet;Karsten Bruun;1
1. Værløse;A;Socialdemokratiet;Heidi Storck;34
1. Værløse;A;Socialdemokratiet;Hasan Yilmaz;21
1. Værløse;A;Socialdemokratiet;Celal Kilic;36
1. Værløse;B;Radikale Venstre;Listestemmer;130
1. Værløse;B;Radikale Venstre;Helle Katrine Møller;152
1. Værløse;B;Radikale Venstre;Tine Hessner;119
1. Værløse;B;Radikale Venstre;Peder Friis Erlandsen;6
1. Værløse;B;Radikale Venstre;Bo Jellesmark Thorsen;14
1. Værløse;B;Radikale Venstre;Lisbet Møller Nielsen;8
1. Værløse;B;Radikale Venstre;David Dupont-Mouritzen;9
1. Værløse;B;Radikale Venstre;Lena Baden;8
1. Værløse;C;Det Konservative Folkeparti;Listestemmer;170
1. Værløse;C;Det Konservative Folkeparti;Susanne Mortensen;604
1. Værløse;C;Det Konservative Folkeparti;John Ingemann Allentoft;140
1. Værløse;C;Det Konservative Folkeparti;Lars Carstensen;39
1. Værløse;C;Det Konservative Folkeparti;Berit Torm;17
1. Værløse;C;Det Konservative Folkeparti;Egil F. Hulgaard;26
1. Værløse;C;Det Konservative Folkeparti;Yuying Chen;25
1. Værløse;C;Det Konservative Folkeparti;Gitte Melchiorsen;1
1. Værløse;C;Det Konservative Folkeparti;Sven Krarup Nielsen;2
1. Værløse;C;Det Konservative Folkeparti;Erik Hammer;6
1. Værløse;C;Det Konservative Folkeparti;Tine Sahlgren;1
1. Værløse;C;Det Konservative Folkeparti;Henrik Røgind;0
