Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Bagsværd;A;Socialdemokratiet;Listestemmer;425
1. Bagsværd;A;Socialdemokratiet;Karin Søjberg Holst;438
1. Bagsværd;A;Socialdemokratiet;Trine Græse;36
1. Bagsværd;A;Socialdemokratiet;Katrine Skov;59
1. Bagsværd;A;Socialdemokratiet;Camilla Pedersen;27
1. Bagsværd;A;Socialdemokratiet;Kristine Henriksen;23
1. Bagsværd;A;Socialdemokratiet;Peter Berg Nellemann;18
1. Bagsværd;A;Socialdemokratiet;Eva Nielsen;30
1. Bagsværd;A;Socialdemokratiet;Tom Vang Knudsen;3
1. Bagsværd;A;Socialdemokratiet;Jakob Skovgaard Koed;13
1. Bagsværd;A;Socialdemokratiet;Henrik V. Pedersen;11
1. Bagsværd;A;Socialdemokratiet;Ole Skrald;26
1. Bagsværd;A;Socialdemokratiet;Christina Arnesen;15
1. Bagsværd;A;Socialdemokratiet;Ole Juel Larsen;2
1. Bagsværd;A;Socialdemokratiet;Karin Dencker;4
1. Bagsværd;A;Socialdemokratiet;Kai Andersen;1
1. Bagsværd;A;Socialdemokratiet;Peter Brooker;5
1. Bagsværd;A;Socialdemokratiet;Mona Groth;4
1. Bagsværd;A;Socialdemokratiet;Leon Friis Jørgensen;9
1. Bagsværd;A;Socialdemokratiet;Bjarne Henriksen;2
1. Bagsværd;B;Radikale Venstre;Listestemmer;101
1. Bagsværd;B;Radikale Venstre;Claus Wachmann;46
1. Bagsværd;B;Radikale Venstre;Lis Smidsholm;29
1. Bagsværd;B;Radikale Venstre;Cheri-Mae M. Williamson;43
1. Bagsværd;B;Radikale Venstre;Flemming Ytzen;1
1. Bagsværd;B;Radikale Venstre;Martin Karbech Mouritsen;8
1. Bagsværd;B;Radikale Venstre;Lis Berling Løj;1
1. Bagsværd;B;Radikale Venstre;Bjarne Tolboe Christiansen;3
1. Bagsværd;B;Radikale Venstre;Nick Nouri;1
1. Bagsværd;B;Radikale Venstre;Jakob Trier;1
1. Bagsværd;B;Radikale Venstre;Arne Hermann;7
1. Bagsværd;C;Det Konservative Folkeparti;Listestemmer;77
1. Bagsværd;C;Det Konservative Folkeparti;Lars Abel;184
1. Bagsværd;C;Det Konservative Folkeparti;Kristoffer Beck;57
1. Bagsværd;C;Det Konservative Folkeparti;Henrik Sørensen;23
1. Bagsværd;C;Det Konservative Folkeparti;Merete L. Sørensen;16
1. Bagsværd;C;Det Konservative Folkeparti;Morten Kornbech Larsen;32
1. Bagsværd;C;Det Konservative Folkeparti;Peder Cabion Hansen;1
1. Bagsværd;C;Det Konservative Folkeparti;Jan Nørregaard;3
1. Bagsværd;F;SF - Socialistisk Folkeparti;Listestemmer;83
1. Bagsværd;F;SF - Socialistisk Folkeparti;Serdal Benli;53
1. Bagsværd;F;SF - Socialistisk Folkeparti;Susanne Palsig;33
1. Bagsværd;F;SF - Socialistisk Folkeparti;Poul Reher Jensen;10
1. Bagsværd;F;SF - Socialistisk Folkeparti;Thomas Monberg;32
1. Bagsværd;F;SF - Socialistisk Folkeparti;Dorthe Wichmand Müller;15
1. Bagsværd;F;SF - Socialistisk Folkeparti;Jørgen Sørensen;3
1. Bagsværd;F;SF - Socialistisk Folkeparti;Astrid Breum;6
1. Bagsværd;F;SF - Socialistisk Folkeparti;Signe Ejersbo;9
1. Bagsværd;F;SF - Socialistisk Folkeparti;Johnny Ancher Ipsen;0
1. Bagsværd;F;SF - Socialistisk Folkeparti;Jonatan Birch Petersen;2
1. Bagsværd;F;SF - Socialistisk Folkeparti;Anne Breum;1
1. Bagsværd;F;SF - Socialistisk Folkeparti;Stine Riis;1
1. Bagsværd;F;SF - Socialistisk Folkeparti;Mogens Seider;2
1. Bagsværd;F;SF - Socialistisk Folkeparti;Troels Bom;1
1. Bagsværd;F;SF - Socialistisk Folkeparti;David Gibson;4
1. Bagsværd;F;SF - Socialistisk Folkeparti;Frederik Hoedeman;0
1. Bagsværd;F;SF - Socialistisk Folkeparti;Jeanne Jacobsen;0
1. Bagsværd;F;SF - Socialistisk Folkeparti;Lars Kallehauge;2
1. Bagsværd;F;SF - Socialistisk Folkeparti;Mette Lise Jensen;0
1. Bagsværd;F;SF - Socialistisk Folkeparti;Bent Gravesen;2
1. Bagsværd;I;Liberal Alliance;Listestemmer;94
1. Bagsværd;I;Liberal Alliance;Michele Fejø;45
1. Bagsværd;I;Liberal Alliance;Just Pedersen;27
1. Bagsværd;I;Liberal Alliance;Lenny Dueholm;9
1. Bagsværd;I;Liberal Alliance;Sahar Aslani;4
1. Bagsværd;I;Liberal Alliance;Linda Maceska;15
1. Bagsværd;I;Liberal Alliance;Frank Dahlgaard;35
1. Bagsværd;I;Liberal Alliance;Jeanne Norring;0
1. Bagsværd;I;Liberal Alliance;Mikkel Buhelt;0
1. Bagsværd;J;Liste Fleks;Listestemmer;2
1. Bagsværd;J;Liste Fleks;Jørn Karlsson Højslev;7
1. Bagsværd;O;Dansk Folkeparti;Listestemmer;151
1. Bagsværd;O;Dansk Folkeparti;Kristian Niebuhr;49
1. Bagsværd;O;Dansk Folkeparti;Mogens Camre;76
1. Bagsværd;O;Dansk Folkeparti;Klaus Kjær;13
1. Bagsværd;O;Dansk Folkeparti;Gitte Greve Larsen;22
1. Bagsværd;O;Dansk Folkeparti;Klaus Fritzbøger;6
1. Bagsværd;O;Dansk Folkeparti;Leif Carlsen;5
1. Bagsværd;O;Dansk Folkeparti;Sara Niebuhr;10
1. Bagsværd;R;Robbin Koefoed;Listestemmer;0
1. Bagsværd;R;Robbin Koefoed;Robbin Koefoed;0
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Listestemmer;243
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Ebbe Skovsgaard;152
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Pia Skou;37
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Lone Yalcinkaya;52
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Kim Wessel-Tolvig;80
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Thomas Koed;14
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Astrid Søborg;33
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Gunnar Sumberg;7
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Søren Abildgaard;10
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Benny Badenfeldt;1
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Mads Glenn Wehlast;12
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Michael Priess;17
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Hanne Calberg;4
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Morten Berthelsen;0
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;213
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Trine Henriksen;73
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Flemming Holst;9
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Susanne Yazdanyar;16
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Casper Pedersen;3
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Kenn Schoop;3
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Maria Reumert Gjerding;12
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Mogens Steenbuch;3
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Isabella Mørch;5
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Jan Willemoes;5
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Anja Nørager-Nielsen;7
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Jørgen Hansen;2
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Fadumo A. Waise;3
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Hans Genefke Jørgensen;4
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Anne Backlund;16
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Thomas Eisler;3
2. Buddinge;A;Socialdemokratiet;Listestemmer;333
2. Buddinge;A;Socialdemokratiet;Karin Søjberg Holst;319
2. Buddinge;A;Socialdemokratiet;Trine Græse;30
2. Buddinge;A;Socialdemokratiet;Katrine Skov;33
2. Buddinge;A;Socialdemokratiet;Camilla Pedersen;10
2. Buddinge;A;Socialdemokratiet;Kristine Henriksen;18
2. Buddinge;A;Socialdemokratiet;Peter Berg Nellemann;11
2. Buddinge;A;Socialdemokratiet;Eva Nielsen;12
2. Buddinge;A;Socialdemokratiet;Tom Vang Knudsen;8
2. Buddinge;A;Socialdemokratiet;Jakob Skovgaard Koed;15
2. Buddinge;A;Socialdemokratiet;Henrik V. Pedersen;4
2. Buddinge;A;Socialdemokratiet;Ole Skrald;24
2. Buddinge;A;Socialdemokratiet;Christina Arnesen;13
2. Buddinge;A;Socialdemokratiet;Ole Juel Larsen;9
2. Buddinge;A;Socialdemokratiet;Karin Dencker;4
2. Buddinge;A;Socialdemokratiet;Kai Andersen;6
2. Buddinge;A;Socialdemokratiet;Peter Brooker;3
2. Buddinge;A;Socialdemokratiet;Mona Groth;3
2. Buddinge;A;Socialdemokratiet;Leon Friis Jørgensen;2
2. Buddinge;A;Socialdemokratiet;Bjarne Henriksen;2
2. Buddinge;B;Radikale Venstre;Listestemmer;55
2. Buddinge;B;Radikale Venstre;Claus Wachmann;29
2. Buddinge;B;Radikale Venstre;Lis Smidsholm;11
2. Buddinge;B;Radikale Venstre;Cheri-Mae M. Williamson;22
2. Buddinge;B;Radikale Venstre;Flemming Ytzen;1
2. Buddinge;B;Radikale Venstre;Martin Karbech Mouritsen;3
2. Buddinge;B;Radikale Venstre;Lis Berling Løj;2
2. Buddinge;B;Radikale Venstre;Bjarne Tolboe Christiansen;5
2. Buddinge;B;Radikale Venstre;Nick Nouri;2
2. Buddinge;B;Radikale Venstre;Jakob Trier;5
2. Buddinge;B;Radikale Venstre;Arne Hermann;1
2. Buddinge;C;Det Konservative Folkeparti;Listestemmer;44
